not_tf_neigh	tf_neigh	tf	type
117	0	ENSG00000100906	regulatory
6202	29	ENSG00000100906	not_regulatory
1629	6	ENSG00000118689	regulatory
4701	12	ENSG00000118689	not_regulatory
4140	21	ENSG00000119138	regulatory
2169	18	ENSG00000119138	not_regulatory
4126	0	ENSG00000125347	regulatory
2221	1	ENSG00000125347	not_regulatory
2786	1	ENSG00000150907	regulatory
3561	0	ENSG00000150907	not_regulatory
9	0	ENSG00000168874	regulatory
6330	9	ENSG00000168874	not_regulatory
3	0	ENSG00000179094	regulatory
6318	27	ENSG00000179094	not_regulatory
3735	0	ENSG00000185551	regulatory
2612	1	ENSG00000185551	not_regulatory
2723	5	ENSG00000221869	regulatory
3616	4	ENSG00000221869	not_regulatory
920	2	ENSG00000057657	regulatory
5408	18	ENSG00000057657	not_regulatory
2596	5	ENSG00000019549	regulatory
3728	19	ENSG00000019549	not_regulatory
