not_tf_neigh	tf_neigh	tf	type
4109	10	ENSG00000125651	regulatory
2227	2	ENSG00000125651	not_regulatory
2290	1	ENSG00000131061	regulatory
4056	1	ENSG00000131061	not_regulatory
480	1	ENSG00000136870	regulatory
5867	0	ENSG00000136870	not_regulatory
319	0	ENSG00000138336	regulatory
6027	2	ENSG00000138336	not_regulatory
111	0	ENSG00000143321	regulatory
6225	12	ENSG00000143321	not_regulatory
1618	1	ENSG00000158941	regulatory
4729	0	ENSG00000158941	not_regulatory
21	0	ENSG00000163346	regulatory
6318	9	ENSG00000163346	not_regulatory
4634	1	ENSG00000167182	regulatory
1713	0	ENSG00000167182	not_regulatory
291	2	ENSG00000167674	regulatory
6033	22	ENSG00000167674	not_regulatory
3589	1	ENSG00000172534	regulatory
2757	1	ENSG00000172534	not_regulatory
27	0	ENSG00000173545	regulatory
6316	5	ENSG00000173545	not_regulatory
1	0	ENSG00000176619	regulatory
6346	1	ENSG00000176619	not_regulatory
1910	1	ENSG00000177463	regulatory
4437	0	ENSG00000177463	not_regulatory
28	0	ENSG00000184481	regulatory
6316	4	ENSG00000184481	not_regulatory
695	0	ENSG00000204304	regulatory
5652	1	ENSG00000204304	not_regulatory
887	1	ENSG00000116350	regulatory
5457	3	ENSG00000116350	not_regulatory
5797	1	ENSG00000127616	regulatory
550	0	ENSG00000127616	not_regulatory
