not_tf_neigh	tf_neigh	tf	type
189	2	ENSG00000053254	regulatory
6082	75	ENSG00000053254	not_regulatory
170	0	ENSG00000102935	regulatory
6173	5	ENSG00000102935	not_regulatory
780	3	ENSG00000124225	regulatory
5544	21	ENSG00000124225	not_regulatory
3172	1	ENSG00000143437	regulatory
3175	0	ENSG00000143437	not_regulatory
22	0	ENSG00000164684	regulatory
6324	2	ENSG00000164684	not_regulatory
3245	2	ENSG00000172943	regulatory
3100	1	ENSG00000172943	not_regulatory
327	0	ENSG00000256683	regulatory
6019	2	ENSG00000256683	not_regulatory
484	0	ENSG00000025293	regulatory
5863	1	ENSG00000025293	not_regulatory
1062	1	ENSG00000134982	regulatory
5283	2	ENSG00000134982	not_regulatory
1782	1	ENSG00000107077	regulatory
4565	0	ENSG00000107077	not_regulatory
