not_tf_neigh	tf_neigh	tf	type
182	0	ENSG00000171467	regulatory
5824	2	ENSG00000171467	not_regulatory
264	0	ENSG00000196812	regulatory
5742	2	ENSG00000196812	not_regulatory
0	0	ENSG00000197062	regulatory
6003	5	ENSG00000197062	not_regulatory
2200	3	ENSG00000204231	regulatory
3803	2	ENSG00000204231	not_regulatory
776	0	ENSG00000204304	regulatory
5230	2	ENSG00000204304	not_regulatory
1960	0	ENSG00000065029	regulatory
4044	4	ENSG00000065029	not_regulatory
70	0	ENSG00000112118	regulatory
5937	1	ENSG00000112118	not_regulatory
1946	2	ENSG00000137185	regulatory
4058	2	ENSG00000137185	not_regulatory
2559	1	ENSG00000204227	regulatory
3448	0	ENSG00000204227	not_regulatory
209	0	ENSG00000204228	regulatory
5797	2	ENSG00000204228	not_regulatory
