not_tf_neigh	tf_neigh	tf	type
2	0	ENSG00000105136	regulatory
5994	12	ENSG00000105136	not_regulatory
236	1	ENSG00000121406	regulatory
5760	11	ENSG00000121406	not_regulatory
60	1	ENSG00000152433	regulatory
5944	3	ENSG00000152433	not_regulatory
2	0	ENSG00000183647	regulatory
5991	15	ENSG00000183647	not_regulatory
6	0	ENSG00000188785	regulatory
5996	6	ENSG00000188785	not_regulatory
0	0	ENSG00000198131	regulatory
6005	3	ENSG00000198131	not_regulatory
222	0	ENSG00000213762	regulatory
5767	19	ENSG00000213762	not_regulatory
1	0	ENSG00000083817	regulatory
5994	13	ENSG00000083817	not_regulatory
783	1	ENSG00000083844	regulatory
5222	2	ENSG00000083844	not_regulatory
