ensembl_id	uniprot_id	file
ENSG00000080603	Q6ZRS2	Q6ZRS2.txt
ENSG00000083812	O75467	O75467.txt
ENSG00000101126	Q9H2P0	Q9H2P0.txt
ENSG00000102974	P49711	P49711.txt
ENSG00000147133	P21675	P21675.txt
ENSG00000149136	Q08945	Q08945.txt
ENSG00000162599	Q12857	Q12857.txt
ENSG00000169957	Q9H5H4	Q9H5H4.txt
ENSG00000174197	Q8IWI9	Q8IWI9.txt
ENSG00000204859	P10074	P10074.txt
ENSG00000088930	Q9H0D6	Q9H0D6.txt
ENSG00000064490	O14593	O14593.txt
ENSG00000055609	Q8NEZ4	Q8NEZ4.txt
ENSG00000104852	P08621	P08621.txt
ENSG00000077150	Q00653	Q00653.txt
ENSG00000140262	Q99081	Q99081.txt
ENSG00000079246	P13010	P13010.txt
