ensembl_id	uniprot_id	file
ENSG00000077092	P10826	P10826.txt
ENSG00000099381	O15047	O15047.txt
ENSG00000120075	P09067	P09067.txt
ENSG00000126218	P00742	P00742.txt
ENSG00000137486	P49407	P49407.txt
ENSG00000169057	P51608	P51608.txt
ENSG00000171467	Q5VUA4	Q5VUA4.txt
ENSG00000177030	O75398	O75398.txt
ENSG00000179348	P23769	P23769.txt
ENSG00000185591	P08047	P08047.txt
ENSG00000188612	P61956	P61956.txt
ENSG00000105996	O43364	O43364.txt
ENSG00000081059	P36402	P36402.txt
ENSG00000120149	P35548	P35548.txt
ENSG00000105229	Q8N2W9	Q8N2W9.txt
ENSG00000111087	P08151	P08151.txt
ENSG00000124789	P49790	P49790.txt
