not_tf_neigh	tf_neigh	tf	type
94	1	ENSG00000120616	regulatory
6241	12	ENSG00000120616	not_regulatory
1815	0	ENSG00000158636	regulatory
4531	2	ENSG00000158636	not_regulatory
4589	3	ENSG00000158773	regulatory
1756	0	ENSG00000158773	not_regulatory
4164	1	ENSG00000164190	regulatory
2183	0	ENSG00000164190	not_regulatory
1063	1	ENSG00000164916	regulatory
5279	5	ENSG00000164916	not_regulatory
2	0	ENSG00000168826	regulatory
6340	6	ENSG00000168826	not_regulatory
1472	0	ENSG00000185630	regulatory
4875	1	ENSG00000185630	not_regulatory
123	1	ENSG00000196150	regulatory
6212	12	ENSG00000196150	not_regulatory
189	0	ENSG00000197063	regulatory
6155	4	ENSG00000197063	not_regulatory
2303	2	ENSG00000215271	regulatory
4041	2	ENSG00000215271	not_regulatory
7	0	ENSG00000015171	regulatory
6340	1	ENSG00000015171	not_regulatory
4424	2	ENSG00000103495	regulatory
1922	0	ENSG00000103495	not_regulatory
53	0	ENSG00000059728	regulatory
6292	3	ENSG00000059728	not_regulatory
4937	3	ENSG00000108055	regulatory
1408	0	ENSG00000108055	not_regulatory
0	0	ENSG00000095951	regulatory
6347	1	ENSG00000095951	not_regulatory
