not_tf_neigh	tf_neigh	tf	type
3650	13	ENSG00000122877	regulatory
2671	14	ENSG00000122877	not_regulatory
1883	5	ENSG00000123358	regulatory
4431	29	ENSG00000123358	not_regulatory
1186	9	ENSG00000128016	regulatory
5134	19	ENSG00000128016	not_regulatory
5054	5	ENSG00000136826	regulatory
1287	2	ENSG00000136826	not_regulatory
1642	0	ENSG00000144802	regulatory
4705	1	ENSG00000144802	not_regulatory
30	0	ENSG00000162775	regulatory
6302	16	ENSG00000162775	not_regulatory
964	0	ENSG00000164920	regulatory
5383	1	ENSG00000164920	not_regulatory
72	0	ENSG00000168795	regulatory
6273	3	ENSG00000168795	not_regulatory
5861	1	ENSG00000169083	regulatory
486	0	ENSG00000169083	not_regulatory
4427	10	ENSG00000170345	regulatory
1908	3	ENSG00000170345	not_regulatory
2426	1	ENSG00000177565	regulatory
3921	0	ENSG00000177565	not_regulatory
6	0	ENSG00000185650	regulatory
6339	3	ENSG00000185650	not_regulatory
16	0	ENSG00000028839	regulatory
6327	5	ENSG00000028839	not_regulatory
