not_tf_neigh	tf_neigh	tf	type
0	0	ENSG00000077092	regulatory
6339	9	ENSG00000077092	not_regulatory
527	0	ENSG00000099381	regulatory
5819	2	ENSG00000099381	not_regulatory
1	0	ENSG00000120075	regulatory
6343	4	ENSG00000120075	not_regulatory
43	0	ENSG00000126218	regulatory
6289	16	ENSG00000126218	not_regulatory
1922	1	ENSG00000137486	regulatory
4417	8	ENSG00000137486	not_regulatory
812	1	ENSG00000169057	regulatory
5535	0	ENSG00000169057	not_regulatory
194	0	ENSG00000171467	regulatory
6152	2	ENSG00000171467	not_regulatory
794	0	ENSG00000177030	regulatory
5553	1	ENSG00000177030	not_regulatory
5313	1	ENSG00000179348	regulatory
1034	0	ENSG00000179348	not_regulatory
5826	1	ENSG00000185591	regulatory
521	0	ENSG00000185591	not_regulatory
4526	1	ENSG00000188612	regulatory
1819	2	ENSG00000188612	not_regulatory
74	0	ENSG00000105996	regulatory
6271	3	ENSG00000105996	not_regulatory
756	0	ENSG00000081059	regulatory
5591	1	ENSG00000081059	not_regulatory
5	0	ENSG00000120149	regulatory
6340	3	ENSG00000120149	not_regulatory
15	0	ENSG00000105229	regulatory
6331	2	ENSG00000105229	not_regulatory
27	0	ENSG00000111087	regulatory
6320	1	ENSG00000111087	not_regulatory
673	0	ENSG00000124789	regulatory
5673	2	ENSG00000124789	not_regulatory
