from	to
ENSG00000049618	ENSG00000002016
ENSG00000049618	ENSG00000002330
ENSG00000049618	ENSG00000002822
ENSG00000049618	ENSG00000003402
ENSG00000049618	ENSG00000004059
ENSG00000049618	ENSG00000004478
ENSG00000049618	ENSG00000004487
ENSG00000049618	ENSG00000004838
ENSG00000049618	ENSG00000005075
ENSG00000049618	ENSG00000005100
ENSG00000049618	ENSG00000005810
ENSG00000049618	ENSG00000006607
ENSG00000049618	ENSG00000006831
ENSG00000049618	ENSG00000007202
ENSG00000049618	ENSG00000007306
ENSG00000049618	ENSG00000008083
ENSG00000049618	ENSG00000008282
ENSG00000049618	ENSG00000008952
ENSG00000049618	ENSG00000008988
ENSG00000049618	ENSG00000009844
ENSG00000049618	ENSG00000010292
ENSG00000049618	ENSG00000010322
ENSG00000049618	ENSG00000010361
ENSG00000049618	ENSG00000010438
ENSG00000049618	ENSG00000010539
ENSG00000049618	ENSG00000010803
ENSG00000049618	ENSG00000011009
ENSG00000049618	ENSG00000011052
ENSG00000049618	ENSG00000011422
ENSG00000049618	ENSG00000011485
ENSG00000049618	ENSG00000012223
ENSG00000049618	ENSG00000012660
ENSG00000049618	ENSG00000017427
ENSG00000049618	ENSG00000017483
ENSG00000049618	ENSG00000018510
ENSG00000049618	ENSG00000020577
ENSG00000049618	ENSG00000021355
ENSG00000049618	ENSG00000022556
ENSG00000049618	ENSG00000022567
ENSG00000049618	ENSG00000023445
ENSG00000049618	ENSG00000023892
ENSG00000049618	ENSG00000023909
ENSG00000049618	ENSG00000026652
ENSG00000049618	ENSG00000027847
ENSG00000049618	ENSG00000028116
ENSG00000049618	ENSG00000028203
ENSG00000049618	ENSG00000029534
ENSG00000049618	ENSG00000035720
ENSG00000049618	ENSG00000036549
ENSG00000049618	ENSG00000036672
ENSG00000049618	ENSG00000038532
ENSG00000049618	ENSG00000039560
ENSG00000049618	ENSG00000039650
ENSG00000049618	ENSG00000040633
ENSG00000049618	ENSG00000047457
ENSG00000049618	ENSG00000047648
ENSG00000049618	ENSG00000049323
ENSG00000049618	ENSG00000049759
ENSG00000049618	ENSG00000050438
ENSG00000049618	ENSG00000051620
ENSG00000049618	ENSG00000053524
ENSG00000049618	ENSG00000054983
ENSG00000049618	ENSG00000055483
ENSG00000049618	ENSG00000055950
ENSG00000049618	ENSG00000055955
ENSG00000049618	ENSG00000056586
ENSG00000049618	ENSG00000057019
ENSG00000049618	ENSG00000057663
ENSG00000049618	ENSG00000058262
ENSG00000049618	ENSG00000058804
ENSG00000049618	ENSG00000058866
ENSG00000049618	ENSG00000059145
ENSG00000049618	ENSG00000059758
ENSG00000049618	ENSG00000060982
ENSG00000049618	ENSG00000061656
ENSG00000049618	ENSG00000061676
ENSG00000049618	ENSG00000063244
ENSG00000049618	ENSG00000064419
ENSG00000049618	ENSG00000064601
ENSG00000049618	ENSG00000064886
ENSG00000049618	ENSG00000065268
ENSG00000049618	ENSG00000065361
ENSG00000049618	ENSG00000065485
ENSG00000049618	ENSG00000065621
ENSG00000049618	ENSG00000065911
ENSG00000049618	ENSG00000066032
ENSG00000049618	ENSG00000066135
ENSG00000049618	ENSG00000066136
ENSG00000049618	ENSG00000066468
ENSG00000049618	ENSG00000066697
ENSG00000049618	ENSG00000067082
ENSG00000049618	ENSG00000067182
ENSG00000049618	ENSG00000067208
ENSG00000049618	ENSG00000067221
ENSG00000049618	ENSG00000067225
ENSG00000049618	ENSG00000068024
ENSG00000049618	ENSG00000068305
ENSG00000049618	ENSG00000068724
ENSG00000049618	ENSG00000068784
ENSG00000049618	ENSG00000068903
ENSG00000049618	ENSG00000069011
ENSG00000049618	ENSG00000069020
ENSG00000049618	ENSG00000069188
