ensembl_id	uniprot_id	file
ENSG00000100697	Q9UPY3	Q9UPY3.txt
ENSG00000100714	P11586	P11586.txt
ENSG00000114416	P51114	P51114.txt
ENSG00000128573	O15409	O15409.txt
ENSG00000134532	P35711	P35711.txt
ENSG00000146648	P00533	P00533.txt
ENSG00000153560	Q9NZI7	Q9NZI7.txt
ENSG00000168283	P35226	P35226.txt
ENSG00000173757	P51692	P51692.txt
ENSG00000181220	Q6NUN9	Q6NUN9.txt
ENSG00000183624	Q96FZ2	Q96FZ2.txt
ENSG00000186951	Q07869	Q07869.txt
ENSG00000245848	P49715	P49715.txt
ENSG00000257923	P39880	P39880.txt
ENSG00000114062	Q05086	Q05086.txt
ENSG00000114861	Q9H334	Q9H334.txt
ENSG00000006194	O14978	O14978.txt
ENSG00000104973	Q71SY5	Q71SY5.txt
ENSG00000182568	Q01826	Q01826.txt
ENSG00000108001	Q9H4W6	Q9H4W6.txt
