not_tf_neigh	tf_neigh	tf	type
4165	10	ENSG00000067369	regulatory
1829	4	ENSG00000067369	not_regulatory
0	0	ENSG00000114062	regulatory
6000	8	ENSG00000114062	not_regulatory
5225	0	ENSG00000140262	regulatory
782	1	ENSG00000140262	not_regulatory
360	0	ENSG00000140265	regulatory
5640	8	ENSG00000140265	not_regulatory
119	0	ENSG00000140307	regulatory
5886	3	ENSG00000140307	not_regulatory
1	0	ENSG00000166200	regulatory
6000	7	ENSG00000166200	not_regulatory
4937	1	ENSG00000166949	regulatory
1070	0	ENSG00000166949	not_regulatory
4983	11	ENSG00000169375	regulatory
1013	1	ENSG00000169375	not_regulatory
922	1	ENSG00000198146	regulatory
5078	7	ENSG00000198146	not_regulatory
2492	2	ENSG00000033800	regulatory
3513	1	ENSG00000033800	not_regulatory
