not_tf_neigh	tf_neigh	tf	type
5368	2	ENSG00000134954	regulatory
978	0	ENSG00000134954	not_regulatory
0	0	ENSG00000166200	regulatory
6345	3	ENSG00000166200	not_regulatory
2878	0	ENSG00000185122	regulatory
3469	1	ENSG00000185122	not_regulatory
794	1	ENSG00000197111	regulatory
5549	4	ENSG00000197111	not_regulatory
2006	0	ENSG00000074266	regulatory
4341	1	ENSG00000074266	not_regulatory
1689	0	ENSG00000102098	regulatory
4658	1	ENSG00000102098	not_regulatory
4409	1	ENSG00000147050	regulatory
1938	0	ENSG00000147050	not_regulatory
3660	1	ENSG00000147140	regulatory
2687	0	ENSG00000147140	not_regulatory
5557	1	ENSG00000100811	regulatory
790	0	ENSG00000100811	not_regulatory
