not_tf_neigh	tf_neigh	tf	type
7	0	ENSG00000100697	regulatory
6335	6	ENSG00000100697	not_regulatory
6	0	ENSG00000100714	regulatory
6280	62	ENSG00000100714	not_regulatory
259	1	ENSG00000114416	regulatory
6079	9	ENSG00000114416	not_regulatory
816	1	ENSG00000128573	regulatory
5522	9	ENSG00000128573	not_regulatory
1704	2	ENSG00000134532	regulatory
4638	4	ENSG00000134532	not_regulatory
5	0	ENSG00000146648	regulatory
6342	1	ENSG00000146648	not_regulatory
432	0	ENSG00000153560	regulatory
5914	2	ENSG00000153560	not_regulatory
3286	1	ENSG00000168283	regulatory
3060	1	ENSG00000168283	not_regulatory
4587	1	ENSG00000173757	regulatory
1760	0	ENSG00000173757	not_regulatory
23	0	ENSG00000181220	regulatory
6322	3	ENSG00000181220	not_regulatory
0	0	ENSG00000183624	regulatory
6347	1	ENSG00000183624	not_regulatory
2	0	ENSG00000186951	regulatory
6327	19	ENSG00000186951	not_regulatory
4695	28	ENSG00000245848	regulatory
1608	17	ENSG00000245848	not_regulatory
103	0	ENSG00000257923	regulatory
6243	2	ENSG00000257923	not_regulatory
0	0	ENSG00000114062	regulatory
6346	2	ENSG00000114062	not_regulatory
4479	1	ENSG00000114861	regulatory
1868	0	ENSG00000114861	not_regulatory
2260	1	ENSG00000006194	regulatory
4086	1	ENSG00000006194	not_regulatory
13	0	ENSG00000104973	regulatory
6333	2	ENSG00000104973	not_regulatory
136	0	ENSG00000182568	regulatory
6211	1	ENSG00000182568	not_regulatory
1410	0	ENSG00000108001	regulatory
4937	1	ENSG00000108001	not_regulatory
