not_tf_neigh	tf_neigh	tf	type
125	0	ENSG00000065970	regulatory
6217	6	ENSG00000065970	not_regulatory
359	0	ENSG00000105516	regulatory
5981	8	ENSG00000105516	not_regulatory
450	1	ENSG00000108924	regulatory
5894	3	ENSG00000108924	not_regulatory
219	0	ENSG00000118263	regulatory
6127	2	ENSG00000118263	not_regulatory
3651	6	ENSG00000133794	regulatory
2691	0	ENSG00000133794	not_regulatory
2045	2	ENSG00000165030	regulatory
4298	3	ENSG00000165030	not_regulatory
120	1	ENSG00000196387	regulatory
6223	4	ENSG00000196387	not_regulatory
