not_tf_neigh	tf_neigh	tf	type
179	0	ENSG00000080603	regulatory
6168	1	ENSG00000080603	not_regulatory
903	0	ENSG00000083812	regulatory
5441	4	ENSG00000083812	not_regulatory
31	1	ENSG00000101126	regulatory
6301	15	ENSG00000101126	not_regulatory
5793	1	ENSG00000102974	regulatory
554	0	ENSG00000102974	not_regulatory
5498	1	ENSG00000147133	regulatory
848	1	ENSG00000147133	not_regulatory
2068	1	ENSG00000149136	regulatory
4278	1	ENSG00000149136	not_regulatory
948	0	ENSG00000162599	regulatory
5398	2	ENSG00000162599	not_regulatory
131	0	ENSG00000169957	regulatory
6214	3	ENSG00000169957	not_regulatory
250	0	ENSG00000174197	regulatory
6096	2	ENSG00000174197	not_regulatory
3014	1	ENSG00000204859	regulatory
3331	2	ENSG00000204859	not_regulatory
786	1	ENSG00000088930	regulatory
5555	6	ENSG00000088930	not_regulatory
1414	1	ENSG00000064490	regulatory
4930	3	ENSG00000064490	not_regulatory
2534	1	ENSG00000055609	regulatory
3813	0	ENSG00000055609	not_regulatory
109	0	ENSG00000104852	regulatory
6238	1	ENSG00000104852	not_regulatory
3245	1	ENSG00000077150	regulatory
3101	1	ENSG00000077150	not_regulatory
5231	1	ENSG00000140262	regulatory
1116	0	ENSG00000140262	not_regulatory
3803	1	ENSG00000079246	regulatory
2544	0	ENSG00000079246	not_regulatory
