ensembl_id	uniprot_id	file
ENSG00000065970	Q9P0K8	Q9P0K8.txt
ENSG00000067369	Q12888	Q12888.txt
ENSG00000080603	Q6ZRS2	Q6ZRS2.txt
ENSG00000083093	Q86YC2	Q86YC2.txt
ENSG00000092203	O94842	O94842.txt
ENSG00000099381	O15047	O15047.txt
ENSG00000100714	P11586	P11586.txt
ENSG00000100811	P25490	P25490.txt
ENSG00000103275	P63279	P63279.txt
ENSG00000104885	Q8TEK3	Q8TEK3.txt
ENSG00000104973	Q71SY5	Q71SY5.txt
ENSG00000105229	Q8N2W9	Q8N2W9.txt
ENSG00000105556	Q8N344	Q8N344.txt
ENSG00000108055	Q9UQE7	Q9UQE7.txt
ENSG00000112592	P20226	P20226.txt
ENSG00000114062	Q05086	Q05086.txt
ENSG00000117713	O14497	O14497.txt
ENSG00000117748	P15927	P15927.txt
ENSG00000118689	O43524	O43524.txt
ENSG00000120616	Q9H2F5	Q9H2F5.txt
ENSG00000120733	Q7LBC6	Q7LBC6.txt
ENSG00000125651	P35269	P35269.txt
ENSG00000125952	P61244	P61244.txt
ENSG00000127054	Q5TA45	Q5TA45.txt
ENSG00000127616	P51532	P51532.txt
ENSG00000130816	P26358	P26358.txt
ENSG00000131462	P23258	P23258.txt
ENSG00000134058	P50613	P50613.txt
ENSG00000134453	Q96I25	Q96I25.txt
ENSG00000140262	Q99081	Q99081.txt
ENSG00000140265	Q8IWY8	Q8IWY8.txt
ENSG00000140307	P52657	P52657.txt
ENSG00000142599	Q9P2R6	Q9P2R6.txt
ENSG00000143373	Q8N1G0	Q8N1G0.txt
ENSG00000146587	Q9NYW8	Q9NYW8.txt
ENSG00000155545	Q7Z3K6	Q7Z3K6.txt
ENSG00000157933	P12755	P12755.txt
ENSG00000158773	P22415	P22415.txt
ENSG00000160741	Q53ET0	Q53ET0.txt
ENSG00000161021	Q92585	Q92585.txt
ENSG00000166200	P61201	P61201.txt
ENSG00000166949	P84022	P84022.txt
ENSG00000167685	Q8N0Y2	Q8N0Y2.txt
ENSG00000167967	Q66K89	Q66K89.txt
ENSG00000168795	O15062	O15062.txt
ENSG00000169375	Q96ST3	Q96ST3.txt
ENSG00000169957	Q9H5H4	Q9H5H4.txt
ENSG00000172062	Q16637	Q16637.txt
ENSG00000176619	Q03252	Q03252.txt
ENSG00000177463	P49116	P49116.txt
ENSG00000179627	B2RXF5	B2RXF5.txt
ENSG00000186020	Q6P280	Q6P280.txt
ENSG00000186300	Q8NEP9	Q8NEP9.txt
ENSG00000187555	Q93009	Q93009.txt
ENSG00000188612	P61956	P61956.txt
ENSG00000189190	Q6ZNG1	Q6ZNG1.txt
ENSG00000196235	O00267	O00267.txt
ENSG00000196387	P52738	P52738.txt
ENSG00000198040	P51523	P51523.txt
ENSG00000198146	Q6IQ21	Q6IQ21.txt
ENSG00000205903	A6NFI3	A6NFI3.txt
ENSG00000245680	Q52M93	Q52M93.txt
ENSG00000254004	Q3ZCT1	Q3ZCT1.txt
ENSG00000256223	P21506	P21506.txt
ENSG00000272333	Q9UMN6	Q9UMN6.txt
ENSG00000006194	O14978	O14978.txt
ENSG00000015171	Q15326	Q15326.txt
ENSG00000102908	O94916	O94916.txt
ENSG00000064961	Q9P0W2	Q9P0W2.txt
ENSG00000010244	O43670	O43670.txt
ENSG00000107175	O43889	O43889.txt
ENSG00000089775	P24278	P24278.txt
ENSG00000025293	Q9BVI0	Q9BVI0.txt
ENSG00000071564	P15923	P15923.txt
ENSG00000102974	P49711	P49711.txt
ENSG00000033800	O75925	O75925.txt
ENSG00000049618	Q8NFD5	Q8NFD5.txt
ENSG00000107077	Q9H3R0	Q9H3R0.txt
ENSG00000114416	P51114	P51114.txt
ENSG00000070495	Q6NYC1	Q6NYC1.txt
ENSG00000089094	Q8NHM5	Q8NHM5.txt
ENSG00000180257	Q0VGE8	Q0VGE8.txt
ENSG00000161298	Q96SR6	Q96SR6.txt
