from	to	site_count	MI	distance	row_num	interaction_type	tf	community
ENSG00000067369	ENSG00000198690	1	0.125494	12499209	16348	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000180979	3	0.119763	865241	19330	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000166887	1	0.128356	1244360	14998	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000159459	2	0.177449	460164	4112	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000140319	2	0.143269	3367322	9859	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000140265	1	0.121277	44889	18498	Intra-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000134153	1	0.121036	9319044	18643	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000103932	2	0.119166	1885885	19679	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000092531	1	0.149439	911828	8326	Inter-Cytoband	ENSG00000067369	671
ENSG00000067369	ENSG00000021776	1	0.160058	8551279	6324	Inter-Cytoband	ENSG00000067369	671
ENSG00000080603	ENSG00000005339	1	0.13556000000000001	26973155	12187	Inter-Cytoband	ENSG00000080603	671
ENSG00000083093	ENSG00000103356	1	0.160436	81146	6258	Intra-Cytoband	ENSG00000083093	671
ENSG00000099381	ENSG00000103510	1	0.153431	158460	7459	Intra-Cytoband	ENSG00000099381	671
ENSG00000099381	ENSG00000080603	1	0.220004	259085	1547	Intra-Cytoband	ENSG00000099381	671
ENSG00000100811	ENSG00000099814	1	0.121901	4626982	18145	Inter-Cytoband	ENSG00000100811	671
ENSG00000100811	ENSG00000078304	2	0.1288	1523500	14792	Inter-Cytoband	ENSG00000100811	671
ENSG00000104885	ENSG00000172081	1	0.124585	93111	16770	Intra-Cytoband	ENSG00000104885	671
ENSG00000104885	ENSG00000104969	1	0.121368	590565	18444	Intra-Cytoband	ENSG00000104885	671
ENSG00000104885	ENSG00000104897	1	0.160583	72355	6233	Intra-Cytoband	ENSG00000104885	671
ENSG00000105556	ENSG00000119559	1	0.128433	1159699	14956	Intra-Cytoband	ENSG00000105556	671
ENSG00000108055	ENSG00000197771	2	0.147551	9261713	8760	Inter-Cytoband	ENSG00000108055	671
ENSG00000108055	ENSG00000166197	1	0.136116	8415515	12000	Inter-Cytoband	ENSG00000108055	671
ENSG00000108055	ENSG00000155229	1	0.119995	13109367	19200	Inter-Cytoband	ENSG00000108055	671
ENSG00000108055	ENSG00000151923	2	0.135788	9004111	12112	Inter-Cytoband	ENSG00000108055	671
ENSG00000108055	ENSG00000151532	1	0.131227	1879307	13792	Intra-Cytoband	ENSG00000108055	671
ENSG00000108055	ENSG00000023041	1	0.174034	1856737	4458	Intra-Cytoband	ENSG00000108055	671
ENSG00000112592	ENSG00000213079	2	0.130492	15820977	14071	Inter-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000213066	1	0.130711	3555120	13986	Intra-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000146457	1	0.126851	10828717	15693	Inter-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000130023	1	0.122727	802680	17761	Intra-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000112584	1	0.166523	263599	5359	Intra-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000071994	1	0.245968	20993	861	Intra-Cytoband	ENSG00000112592	671
ENSG00000112592	ENSG00000008018	2	0.164158	19185	5705	Intra-Cytoband	ENSG00000112592	671
ENSG00000117713	ENSG00000133226	2	0.136517	2061520	11865	Intra-Cytoband	ENSG00000117713	671
ENSG00000125651	ENSG00000088247	1	0.162826	33779	5911	Intra-Cytoband	ENSG00000125651	671
ENSG00000125952	ENSG00000257365	1	0.140864	19454	10553	Intra-Cytoband	ENSG00000125952	671
ENSG00000125952	ENSG00000154001	1	0.127356	1634817	15467	Inter-Cytoband	ENSG00000125952	671
ENSG00000127054	ENSG00000242485	1	0.138825	90323	11163	Intra-Cytoband	ENSG00000127054	671
ENSG00000127054	ENSG00000188976	2	0.139133	367381	11065	Intra-Cytoband	ENSG00000127054	671
ENSG00000127054	ENSG00000130764	2	0.121631	2466973	18299	Inter-Cytoband	ENSG00000127054	671
ENSG00000127054	ENSG00000078808	1	0.127518	94677	15374	Intra-Cytoband	ENSG00000127054	671
ENSG00000127054	ENSG00000078369	1	0.138117	473700	11365	Intra-Cytoband	ENSG00000127054	671
ENSG00000127054	ENSG00000008130	1	0.118659	439647	19934	Intra-Cytoband	ENSG00000127054	671
ENSG00000127616	ENSG00000179115	2	0.118662	1961654	19932	Inter-Cytoband	ENSG00000127616	671
ENSG00000127616	ENSG00000173928	1	0.122171	413860	18024	Intra-Cytoband	ENSG00000127616	671
ENSG00000127616	ENSG00000142453	1	0.120057	89312	19164	Intra-Cytoband	ENSG00000127616	671
ENSG00000127616	ENSG00000129347	2	0.161804	407747	6055	Intra-Cytoband	ENSG00000127616	671
ENSG00000134058	ENSG00000145740	1	0.162383	141149	5967	Inter-Cytoband	ENSG00000134058	671
ENSG00000134058	ENSG00000134056	1	0.141994	17035	10220	Intra-Cytoband	ENSG00000134058	671
ENSG00000143373	ENSG00000143442	1	0.159528	121106	6390	Intra-Cytoband	ENSG00000143373	671
ENSG00000143373	ENSG00000143379	1	0.15391	355355	7371	Intra-Cytoband	ENSG00000143373	671
ENSG00000146587	ENSG00000205903	1	0.170655	1591501	4851	Intra-Cytoband	ENSG00000146587	671
ENSG00000146587	ENSG00000164828	1	0.121346	4229206	18459	Inter-Cytoband	ENSG00000146587	671
