ensembl_id	uniprot_id	file
ENSG00000120616	Q9H2F5	Q9H2F5.txt
ENSG00000158636	Q7Z589	Q7Z589.txt
ENSG00000158773	P22415	P22415.txt
ENSG00000164190	Q6KC79	Q6KC79.txt
ENSG00000164916	P85037	P85037.txt
ENSG00000168826	Q6ZSB9	Q6ZSB9.txt
ENSG00000185630	P40424	P40424.txt
ENSG00000196150	P15622	P15622.txt
ENSG00000197063	O15525	O15525.txt
ENSG00000215271	Q8IX15	Q8IX15.txt
ENSG00000015171	Q15326	Q15326.txt
ENSG00000103495	P56270	P56270.txt
ENSG00000059728	Q05195	Q05195.txt
ENSG00000108055	Q9UQE7	Q9UQE7.txt
ENSG00000095951	P15822	P15822.txt
