ensembl_id	uniprot_id	file
ENSG00000088038	O75175	O75175.txt
ENSG00000104885	Q8TEK3	Q8TEK3.txt
ENSG00000104973	Q71SY5	Q71SY5.txt
ENSG00000105229	Q8N2W9	Q8N2W9.txt
ENSG00000105556	Q8N344	Q8N344.txt
ENSG00000167685	Q8N0Y2	Q8N0Y2.txt
ENSG00000171574	Q8IVC4	Q8IVC4.txt
ENSG00000176619	Q03252	Q03252.txt
ENSG00000177045	Q8N196	Q8N196.txt
ENSG00000182318	P10073	P10073.txt
ENSG00000186300	Q8NEP9	Q8NEP9.txt
ENSG00000218891	Q8NAF0	Q8NAF0.txt
ENSG00000243678	P22392	P22392.txt
ENSG00000083812	O75467	O75467.txt
ENSG00000064961	Q9P0W2	Q9P0W2.txt
ENSG00000071564	P15923	P15923.txt
