ensembl_id	uniprot_id	file
ENSG00000029363	Q9NYF8	Q9NYF8.txt
ENSG00000070495	Q6NYC1	Q6NYC1.txt
ENSG00000075426	P15408	P15408.txt
ENSG00000080298	P48380	P48380.txt
ENSG00000083093	Q86YC2	Q86YC2.txt
ENSG00000089280	P35637	P35637.txt
ENSG00000105722	P50548	P50548.txt
ENSG00000105732	Q6ZN55	Q6ZN55.txt
ENSG00000112081	P84103	P84103.txt
ENSG00000112658	P11831	P11831.txt
ENSG00000115875	Q16629	Q16629.txt
ENSG00000116030	P63165	P63165.txt
ENSG00000116560	P23246	P23246.txt
ENSG00000129911	Q9BXK1	Q9BXK1.txt
ENSG00000132510	O15054	O15054.txt
ENSG00000136603	P12757	P12757.txt
ENSG00000139651	Q8NDX6	Q8NDX6.txt
ENSG00000140044	Q8WYK2	Q8WYK2.txt
ENSG00000146587	Q9NYW8	Q9NYW8.txt
ENSG00000153922	O14646	O14646.txt
ENSG00000156273	O14867	O14867.txt
ENSG00000160789	P02545	P02545.txt
ENSG00000160908	Q53GI3	Q53GI3.txt
ENSG00000165494	O94913	O94913.txt
ENSG00000166349	P15918	P15918.txt
ENSG00000167548	O14686	O14686.txt
ENSG00000168310	P14316	P14316.txt
ENSG00000168813	Q8TCN5	Q8TCN5.txt
ENSG00000169016	O75461	O75461.txt
ENSG00000170561	Q9BZI1	Q9BZI1.txt
ENSG00000171425	Q9P0T4	Q9P0T4.txt
ENSG00000172819	P13631	P13631.txt
ENSG00000172888	Q6ZSS3	Q6ZSS3.txt
ENSG00000180257	Q0VGE8	Q0VGE8.txt
ENSG00000181007	Q8N141	Q8N141.txt
ENSG00000183309	O75123	O75123.txt
ENSG00000183647	Q6P9A1	Q6P9A1.txt
ENSG00000185022	Q9ULX9	Q9ULX9.txt
ENSG00000186448	O14709	O14709.txt
ENSG00000188785	Q8NEK5	Q8NEK5.txt
ENSG00000197279	P49910	P49910.txt
ENSG00000197566	Q9P2J8	Q9P2J8.txt
ENSG00000198040	P51523	P51523.txt
ENSG00000198081	O43829	O43829.txt
ENSG00000198146	Q6IQ21	Q6IQ21.txt
ENSG00000204227	Q06587	Q06587.txt
ENSG00000267680	Q9NZL3	Q9NZL3.txt
ENSG00000087903	P48378	P48378.txt
ENSG00000008405	Q16526	Q16526.txt
ENSG00000001167	P23511	P23511.txt
ENSG00000133740	Q15329	Q15329.txt
ENSG00000136997	P01106	P01106.txt
ENSG00000118985	O00472	O00472.txt
ENSG00000077235	Q12789	Q12789.txt
ENSG00000131759	P10276	P10276.txt
ENSG00000133895	O00255	O00255.txt
ENSG00000128645	Q9GZZ0	Q9GZZ0.txt
ENSG00000141027	O75376	O75376.txt
ENSG00000139154	Q6ZN18	Q6ZN18.txt
ENSG00000143190	P14859	P14859.txt
ENSG00000161298	Q96SR6	Q96SR6.txt
ENSG00000161021	Q92585	Q92585.txt
ENSG00000006459	Q6ZMT4	Q6ZMT4.txt
ENSG00000083817	Q9BWM5	Q9BWM5.txt
