ensembl_id	uniprot_id	file
ENSG00000125651	P35269	P35269.txt
ENSG00000131061	Q9BYN7	Q9BYN7.txt
ENSG00000136870	O75820	O75820.txt
ENSG00000138336	Q8NFU7	Q8NFU7.txt
ENSG00000143321	P51858	P51858.txt
ENSG00000158941	Q8N163	Q8N163.txt
ENSG00000163346	Q96AQ6	Q96AQ6.txt
ENSG00000167182	Q02086	Q02086.txt
ENSG00000167674	Q7Z4V5	Q7Z4V5.txt
ENSG00000172534	P51610	P51610.txt
ENSG00000173545	Q969S3	Q969S3.txt
ENSG00000176619	Q03252	Q03252.txt
ENSG00000177463	P49116	P49116.txt
ENSG00000184481	P98177	P98177.txt
ENSG00000204304	P40425	P40425.txt
ENSG00000116350	Q08170	Q08170.txt
ENSG00000127616	P51532	P51532.txt
