not_tf_neigh	tf_neigh	tf	type
910	3	ENSG00000029363	regulatory
5427	8	ENSG00000029363	not_regulatory
2622	12	ENSG00000070495	regulatory
3700	14	ENSG00000070495	not_regulatory
3725	27	ENSG00000075426	regulatory
2588	8	ENSG00000075426	not_regulatory
581	0	ENSG00000080298	regulatory
5762	5	ENSG00000080298	not_regulatory
415	0	ENSG00000083093	regulatory
5930	3	ENSG00000083093	not_regulatory
2119	1	ENSG00000089280	regulatory
4228	0	ENSG00000089280	not_regulatory
1699	3	ENSG00000105722	regulatory
4636	10	ENSG00000105722	not_regulatory
2278	2	ENSG00000105732	regulatory
4066	2	ENSG00000105732	not_regulatory
2260	7	ENSG00000112081	regulatory
4065	16	ENSG00000112081	not_regulatory
3762	24	ENSG00000112658	regulatory
2548	14	ENSG00000112658	not_regulatory
1787	9	ENSG00000115875	regulatory
4515	37	ENSG00000115875	not_regulatory
223	1	ENSG00000116030	regulatory
6120	4	ENSG00000116030	not_regulatory
1771	3	ENSG00000116560	regulatory
4560	14	ENSG00000116560	not_regulatory
2189	16	ENSG00000129911	regulatory
4119	24	ENSG00000129911	not_regulatory
1092	1	ENSG00000132510	regulatory
5228	27	ENSG00000132510	not_regulatory
351	2	ENSG00000136603	regulatory
5983	12	ENSG00000136603	not_regulatory
372	0	ENSG00000139651	regulatory
5970	6	ENSG00000139651	not_regulatory
674	0	ENSG00000140044	regulatory
5667	7	ENSG00000140044	not_regulatory
1204	4	ENSG00000146587	regulatory
5135	5	ENSG00000146587	not_regulatory
2625	23	ENSG00000153922	regulatory
3661	39	ENSG00000153922	not_regulatory
1040	0	ENSG00000156273	regulatory
5307	1	ENSG00000156273	not_regulatory
719	2	ENSG00000160789	regulatory
5592	35	ENSG00000160789	not_regulatory
134	0	ENSG00000160908	regulatory
6211	3	ENSG00000160908	not_regulatory
1388	10	ENSG00000165494	regulatory
4930	20	ENSG00000165494	not_regulatory
292	0	ENSG00000166349	regulatory
6054	2	ENSG00000166349	not_regulatory
115	0	ENSG00000167548	regulatory
6231	2	ENSG00000167548	not_regulatory
3347	1	ENSG00000168310	regulatory
2998	2	ENSG00000168310	not_regulatory
176	0	ENSG00000168813	regulatory
6162	10	ENSG00000168813	not_regulatory
4390	0	ENSG00000169016	regulatory
1957	1	ENSG00000169016	not_regulatory
21	0	ENSG00000170561	regulatory
6318	9	ENSG00000170561	not_regulatory
69	0	ENSG00000171425	regulatory
6276	3	ENSG00000171425	not_regulatory
973	0	ENSG00000172819	regulatory
5370	5	ENSG00000172819	not_regulatory
0	0	ENSG00000172888	regulatory
6342	6	ENSG00000172888	not_regulatory
105	0	ENSG00000180257	regulatory
6238	5	ENSG00000180257	not_regulatory
6	0	ENSG00000181007	regulatory
6339	3	ENSG00000181007	not_regulatory
34	0	ENSG00000183309	regulatory
6310	4	ENSG00000183309	not_regulatory
2	0	ENSG00000183647	regulatory
6345	1	ENSG00000183647	not_regulatory
779	3	ENSG00000185022	regulatory
5541	25	ENSG00000185022	not_regulatory
139	0	ENSG00000186448	regulatory
6206	3	ENSG00000186448	not_regulatory
3	0	ENSG00000188785	regulatory
6338	7	ENSG00000188785	not_regulatory
14	0	ENSG00000197279	regulatory
6327	7	ENSG00000197279	not_regulatory
0	0	ENSG00000197566	regulatory
6329	19	ENSG00000197566	not_regulatory
421	0	ENSG00000198040	regulatory
5924	3	ENSG00000198040	not_regulatory
2283	2	ENSG00000198081	regulatory
4061	2	ENSG00000198081	not_regulatory
927	1	ENSG00000198146	regulatory
5420	0	ENSG00000198146	not_regulatory
2614	3	ENSG00000204227	regulatory
3729	2	ENSG00000204227	not_regulatory
183	0	ENSG00000267680	regulatory
6163	2	ENSG00000267680	not_regulatory
706	0	ENSG00000087903	regulatory
5641	1	ENSG00000087903	not_regulatory
526	0	ENSG00000008405	regulatory
5814	8	ENSG00000008405	not_regulatory
5007	1	ENSG00000001167	regulatory
1340	0	ENSG00000001167	not_regulatory
296	0	ENSG00000133740	regulatory
6051	1	ENSG00000133740	not_regulatory
5766	1	ENSG00000136997	regulatory
581	0	ENSG00000136997	not_regulatory
2830	2	ENSG00000118985	regulatory
3512	4	ENSG00000118985	not_regulatory
0	0	ENSG00000077235	regulatory
6346	2	ENSG00000077235	not_regulatory
4665	3	ENSG00000131759	regulatory
1680	0	ENSG00000131759	not_regulatory
2327	1	ENSG00000133895	regulatory
4020	0	ENSG00000133895	not_regulatory
8	0	ENSG00000128645	regulatory
6337	3	ENSG00000128645	not_regulatory
4178	1	ENSG00000141027	regulatory
2168	1	ENSG00000141027	not_regulatory
225	0	ENSG00000139154	regulatory
6122	1	ENSG00000139154	not_regulatory
1528	1	ENSG00000143190	regulatory
4819	0	ENSG00000143190	not_regulatory
498	0	ENSG00000161298	regulatory
5848	2	ENSG00000161298	not_regulatory
42	0	ENSG00000161021	regulatory
6305	1	ENSG00000161021	not_regulatory
392	0	ENSG00000006459	regulatory
5955	1	ENSG00000006459	not_regulatory
0	0	ENSG00000083817	regulatory
6346	2	ENSG00000083817	not_regulatory
