community_id	newman	bynode	totalfrac
326	0.019260018909522055	0.09489136966249585	0.09090909090909091
25	0.01647096698913373	0.09977017790343354	0.08642344497607655
151	0.049670387050453624	0.11847222222222221	0.12087912087912088
268	0.02362167171762775	0.12153580208394542	0.09800995024875622
60	0.01705990355747346	0.09715891400269235	0.07663197729422895
69	0.1023011290183573	0.1599656357388316	0.16964285714285715
177	0.1063449508489723	0.194865848437277	0.2
19	0.03346395739967438	0.10342298227385083	0.08527131782945736
243	-0.009371473431136845	0.0936463524334586	0.060810810810810814
110	0.03044687747237322	0.09876811594202899	0.09655172413793103
116	0.053763440860215055	0.17626050420168066	0.15384615384615385
202	0.007025761124121788	0.11971781305114639	0.13114754098360656
127	-0.011430959463113628	0.07604308390022675	0.060810810810810814
163	0.03804766661909519	0.12150947757743874	0.10218978102189781
318	-0.008024820352933473	0.0711893673799142	0.07227488151658767
330	0.0735826974392585	0.1487758945386064	0.13389121338912133
32	0.004627182460620167	0.11651477489907935	0.09333333333333334
45	0.06713068258408761	0.16189519058922944	0.14461538461538462
218	0.04266520589040868	0.11376285402797573	0.11473272490221642
85	0.01521933751119066	0.10984848484848485	0.12
298	0.10161528173119791	0.15668623942005236	0.1638418079096045
20	-1	0	0
274	0.17464996315401626	0.3017361111111111	0.2708333333333333
21	-0.3333333333333333	0.5	0.5
22	-1	0	0
23	-1	0	0
340	0.13356946084218815	0.20553350970017636	0.2558139534883721
71	-0.09090909090909094	0.375	0.3333333333333333
265	-0.23076923076923078	0.4666666666666667	0.5
1	-0.6	0	0
302	-0.019607843137254912	0.09290780141843971	0.07692307692307693
24	-1	0	0
26	-1	0	0
27	-1	0	0
28	-1	0	0
29	NaN	1	1
30	-0.6	0	0
10	-0.08886618998978547	0.047193877551020405	0.04878048780487805
2	-0.3333333333333333	0.5	0.5
31	-1	0	0
33	-1	0	0
34	-1	0	0
35	NaN	1	1
36	NaN	1	1
37	-0.391304347826087	0	0
38	NaN	1	1
185	-0.11920529801324503	0	0
39	NaN	1	1
7	-0.6	0	0
144	-0.24999999999999994	0.16666666666666666	0.2
157	-0.007194244604316554	0.2878787878787879	0.3
40	-1	0	0
41	NaN	1	1
358	-0.4117647058823529	0.26666666666666666	0.25
42	-0.3513513513513514	0	0
43	-1	0	0
44	-1	0	0
46	-0.21904761904761905	0	0
4	-0.02941176470588235	0.210989010989011	0.2
47	-1	0	0
48	NaN	1	1
49	-1	0	0
50	-0.6	0	0
51	-1	0	0
301	-0.28	0	0
52	-0.6	0	0
248	-0.3333333333333333	0	0
53	-0.6	0	0
54	-1	0	0
55	-1	0	0
56	-1	0	0
57	-1	0	0
58	NaN	1	1
59	-1	0	0
188	-0.13513513513513514	0.09375	0.14285714285714285
61	-1	0	0
13	-0.6	0	0
62	-1	0	0
63	-1	0	0
64	-1	0	0
65	-1	0	0
252	-0.09090909090909094	0.375	0.3333333333333333
6	-0.6	0	0
66	-1	0	0
5	-0.3333333333333333	0.25	0.25
68	-1	0	0
3	-0.6	0	0
70	-1	0	0
72	NaN	1	1
73	-0.38461538461538464	0	0
74	-1	0	0
75	NaN	1	1
76	-1	0	0
77	-0.6	0	0
78	NaN	1	1
79	-1	0	0
370	0.16666666666666666	0.5	0.4
81	-1	0	0
82	-1	0	0
83	NaN	1	1
84	-1	0	0
86	-1	0	0
67	-0.03896103896103896	0.30952380952380953	0.375
87	-0.3333333333333333	0.5	0.5
88	-1	0	0
89	-1	0	0
90	-1	0	0
91	-0.3333333333333333	0.5	0.5
267	-0.07692307692307694	0.1875	0.14285714285714285
92	-1	0	0
93	-1	0	0
94	-1	0	0
95	-1	0	0
96	-0.31578947368421056	0	0
97	-0.09090909090909094	0.375	0.3333333333333333
98	-1	0	0
99	-1	0	0
14	-0.6	0	0
100	-1	0	0
101	-1	0	0
102	-1	0	0
11	-1	0	0
103	-1	0	0
104	-0.5000000000000001	0	0
105	-1	0	0
106	-1	0	0
107	NaN	1	1
108	-1	0	0
109	NaN	1	1
111	-1	0	0
112	-1	0	0
113	-1	0	0
114	-0.24999999999999994	0.2222222222222222	0.2
115	-1	0	0
117	-1	0	0
118	-1	0	0
119	-1	0	0
120	NaN	1	1
121	-1	0	0
122	-1	0	0
123	-1	0	0
124	-1	0	0
125	-1	0	0
126	NaN	1	1
128	-1	0	0
129	-1	0	0
130	-1	0	0
131	-1	0	0
132	-1	0	0
133	-1	0	0
134	-1	0	0
139	-0.14285714285714285	0.26666666666666666	0.25
135	-1	0	0
136	-1	0	0
137	-1	0	0
9	-0.3333333333333333	0.5	0.5
138	-1	0	0
140	-1	0	0
141	-1	0	0
142	-0.08108108108108115	0.2222222222222222	0.2
143	-1	0	0
145	-1	0	0
146	-1	0	0
147	-1	0	0
148	NaN	1	1
149	-1	0	0
150	-1	0	0
152	-1	0	0
153	-1	0	0
154	-0.6842105263157895	0	0
155	NaN	1	1
156	-1	0	0
158	-1	0	0
159	-1	0	0
160	-1	0	0
161	-1	0	0
162	-1	0	0
164	-1	0	0
165	-1	0	0
166	-1	0	0
167	-1	0	0
168	NaN	1	1
169	NaN	1	1
170	-1	0	0
8	-0.20000000000000057	0.6666666666666666	0.6666666666666666
171	NaN	1	1
172	-1	0	0
173	-1	0	0
18	-0.6	0	0
174	-1	0	0
175	NaN	1	1
176	-0.09090909090909094	0.375	0.3333333333333333
178	-1	0	0
