ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04014	Ras signaling pathway	170	-0.4904670298464317	-1.850079257168837	1.0962508221881167e-4	0.006791317429615302	0.005361566391801555	2357	tags=33%, list=18%, signal=27%	ENSG00000113319/ENSG00000138193/ENSG00000173511/ENSG00000185989/ENSG00000176485/ENSG00000176697/ENSG00000134259/ENSG00000243708/ENSG00000176533/ENSG00000184371/ENSG00000126458/ENSG00000128052/ENSG00000117020/ENSG00000197943/ENSG00000077782/ENSG00000037280/ENSG00000070193/ENSG00000068831/ENSG00000184481/ENSG00000197461/ENSG00000105808/ENSG00000167244/ENSG00000120156/ENSG00000127472/ENSG00000170962/ENSG00000157557/ENSG00000133818/ENSG00000142627/ENSG00000148082/ENSG00000075651/ENSG00000143344/ENSG00000154229/ENSG00000186469/ENSG00000184349/ENSG00000111344/ENSG00000145675/ENSG00000140285/ENSG00000102678/ENSG00000134853/ENSG00000185652/ENSG00000113578/ENSG00000116711/ENSG00000127920/ENSG00000158186/ENSG00000064300/ENSG00000105976/ENSG00000101280/ENSG00000225950/ENSG00000101349/ENSG00000273079/ENSG00000146648/ENSG00000077264/ENSG00000138685/ENSG00000148053/ENSG00000157404/ENSG00000165197
hsa04060	Cytokine-cytokine receptor interaction	148	-0.5703912086913207	-2.122961346014319	1.114951499609767e-4	0.006791317429615302	0.005361566391801555	2120	tags=45%, list=16%, signal=38%	ENSG00000143185/ENSG00000239697/ENSG00000134470/ENSG00000134259/ENSG00000277632/ENSG00000275302/ENSG00000104998/ENSG00000125378/ENSG00000184371/ENSG00000101017/ENSG00000101144/ENSG00000163701/ENSG00000115590/ENSG00000115594/ENSG00000242689/ENSG00000131080/ENSG00000028137/ENSG00000081985/ENSG00000026103/ENSG00000158813/ENSG00000139567/ENSG00000143184/ENSG00000160712/ENSG00000141655/ENSG00000125735/ENSG00000115607/ENSG00000115598/ENSG00000184451/ENSG00000150281/ENSG00000163083/ENSG00000172458/ENSG00000117400/ENSG00000027697/ENSG00000128342/ENSG00000129048/ENSG00000144476/ENSG00000168811/ENSG00000146072/ENSG00000145824/ENSG00000137070/ENSG00000120949/ENSG00000157368/ENSG00000107562/ENSG00000153162/ENSG00000173530/ENSG00000142677/ENSG00000163513/ENSG00000125965/ENSG00000113594/ENSG00000135960/ENSG00000064300/ENSG00000125845/ENSG00000116678/ENSG00000127743/ENSG00000163739/ENSG00000276409/ENSG00000151882/ENSG00000112175/ENSG00000006210/ENSG00000163734/ENSG00000137033/ENSG00000122756/ENSG00000137077/ENSG00000266524/ENSG00000145777/ENSG00000081041
hsa04080	Neuroactive ligand-receptor interaction	136	-0.5655348020809434	-2.0887973479822652	1.1241007194244605e-4	0.006791317429615302	0.005361566391801555	2463	tags=50%, list=19%, signal=41%	ENSG00000169684/ENSG00000182771/ENSG00000171873/ENSG00000181631/ENSG00000267534/ENSG00000180739/ENSG00000100739/ENSG00000163485/ENSG00000166206/ENSG00000196277/ENSG00000160716/ENSG00000139679/ENSG00000125910/ENSG00000126351/ENSG00000125675/ENSG00000069482/ENSG00000125384/ENSG00000004948/ENSG00000148734/ENSG00000175344/ENSG00000170425/ENSG00000175697/ENSG00000151090/ENSG00000108556/ENSG00000113262/ENSG00000147437/ENSG00000168229/ENSG00000105737/ENSG00000125730/ENSG00000248099/ENSG00000184160/ENSG00000106113/ENSG00000144407/ENSG00000150594/ENSG00000115138/ENSG00000146469/ENSG00000174944/ENSG00000113580/ENSG00000184845/ENSG00000151834/ENSG00000112164/ENSG00000170989/ENSG00000166148/ENSG00000100448/ENSG00000118432/ENSG00000197696/ENSG00000120088/ENSG00000171522/ENSG00000274286/ENSG00000160801/ENSG00000136160/ENSG00000168539/ENSG00000122420/ENSG00000148926/ENSG00000078401/ENSG00000169252/ENSG00000078549/ENSG00000139874/ENSG00000116678/ENSG00000126895/ENSG00000149295/ENSG00000273079/ENSG00000115353/ENSG00000152578/ENSG00000102287/ENSG00000094755/ENSG00000180914/ENSG00000124205
hsa04024	cAMP signaling pathway	132	-0.4713478437177645	-1.7344778929960785	1.1313497001923294e-4	0.006791317429615302	0.005361566391801555	1315	tags=26%, list=10%, signal=23%	ENSG00000079337/ENSG00000120318/ENSG00000115138/ENSG00000146469/ENSG00000133818/ENSG00000177606/ENSG00000173175/ENSG00000075651/ENSG00000186951/ENSG00000129244/ENSG00000184845/ENSG00000129467/ENSG00000185920/ENSG00000101335/ENSG00000145675/ENSG00000112164/ENSG00000255398/ENSG00000137731/ENSG00000198515/ENSG00000168539/ENSG00000131771/ENSG00000146592/ENSG00000170345/ENSG00000078401/ENSG00000169252/ENSG00000078549/ENSG00000139874/ENSG00000149295/ENSG00000169418/ENSG00000273079/ENSG00000152578/ENSG00000266964/ENSG00000180914/ENSG00000124205
hsa04270	Vascular smooth muscle contraction	83	-0.5135119154000363	-1.7874410614597338	1.1980352222355337e-4	0.006791317429615302	0.005361566391801555	2097	tags=33%, list=16%, signal=27%	ENSG00000072952/ENSG00000243708/ENSG00000101333/ENSG00000134318/ENSG00000170425/ENSG00000122786/ENSG00000197584/ENSG00000164116/ENSG00000182621/ENSG00000127472/ENSG00000173175/ENSG00000159899/ENSG00000154229/ENSG00000129467/ENSG00000101335/ENSG00000077157/ENSG00000065534/ENSG00000166148/ENSG00000107796/ENSG00000116711/ENSG00000148926/ENSG00000078401/ENSG00000145936/ENSG00000169418/ENSG00000167641/ENSG00000163017/ENSG00000124205
hsa04061	Viral protein interaction with cytokine and cytokine receptor	49	-0.6708453104575832	-2.153244254190063	1.289490651192779e-4	0.006791317429615302	0.005361566391801555	2584	tags=57%, list=20%, signal=46%	ENSG00000115604/ENSG00000121807/ENSG00000016402/ENSG00000174564/ENSG00000143185/ENSG00000277632/ENSG00000275302/ENSG00000184371/ENSG00000028137/ENSG00000143184/ENSG00000160712/ENSG00000125735/ENSG00000115607/ENSG00000184451/ENSG00000129048/ENSG00000144476/ENSG00000145824/ENSG00000157368/ENSG00000107562/ENSG00000173530/ENSG00000142677/ENSG00000163739/ENSG00000276409/ENSG00000151882/ENSG00000006210/ENSG00000163734/ENSG00000137077/ENSG00000081041
hsa04630	JAK-STAT signaling pathway	103	-0.4812820027320121	-1.7206953346637832	2.3337222870478414e-4	0.010473980775604906	0.00826893219126703	2810	tags=40%, list=22%, signal=31%	ENSG00000185291/ENSG00000100368/ENSG00000115904/ENSG00000159110/ENSG00000171150/ENSG00000143384/ENSG00000104432/ENSG00000016402/ENSG00000185338/ENSG00000174564/ENSG00000134470/ENSG00000173757/ENSG00000104998/ENSG00000242689/ENSG00000117020/ENSG00000081985/ENSG00000160712/ENSG00000137193/ENSG00000118971/ENSG00000150281/ENSG00000197461/ENSG00000126561/ENSG00000172458/ENSG00000117400/ENSG00000027697/ENSG00000128342/ENSG00000120833/ENSG00000184557/ENSG00000168811/ENSG00000136997/ENSG00000137070/ENSG00000145675/ENSG00000134853/ENSG00000142677/ENSG00000113594/ENSG00000116678/ENSG00000138356/ENSG00000146648/ENSG00000131095/ENSG00000122756/ENSG00000145777
hsa00982	Drug metabolism - cytochrome P450	24	-0.7154332053870405	-2.005958046877615	2.867383512544803e-4	0.010473980775604906	0.00826893219126703	2301	tags=58%, list=18%, signal=48%	ENSG00000007933/ENSG00000076258/ENSG00000213366/ENSG00000170899/ENSG00000197894/ENSG00000008394/ENSG00000172955/ENSG00000084207/ENSG00000069535/ENSG00000010932/ENSG00000184254/ENSG00000138356/ENSG00000248144/ENSG00000094963
hsa04151	PI3K-Akt signaling pathway	243	-0.4124445054422164	-1.6007529549365698	3.1598904571308195e-4	0.010473980775604906	0.00826893219126703	2845	tags=35%, list=22%, signal=28%	ENSG00000169047/ENSG00000019991/ENSG00000185291/ENSG00000109072/ENSG00000115904/ENSG00000159110/ENSG00000090554/ENSG00000128272/ENSG00000143384/ENSG00000104432/ENSG00000120332/ENSG00000198121/ENSG00000111664/ENSG00000137462/ENSG00000173511/ENSG00000259207/ENSG00000092758/ENSG00000132356/ENSG00000176697/ENSG00000150093/ENSG00000005961/ENSG00000143127/ENSG00000134259/ENSG00000139679/ENSG00000160447/ENSG00000176533/ENSG00000184371/ENSG00000105855/ENSG00000128052/ENSG00000132470/ENSG00000117020/ENSG00000077782/ENSG00000105810/ENSG00000213949/ENSG00000037280/ENSG00000137154/ENSG00000135862/ENSG00000112769/ENSG00000160712/ENSG00000118971/ENSG00000070193/ENSG00000137713/ENSG00000091409/ENSG00000110799/ENSG00000197461/ENSG00000144668/ENSG00000167244/ENSG00000081052/ENSG00000120156/ENSG00000170962/ENSG00000118515/ENSG00000196569/ENSG00000142627/ENSG00000101680/ENSG00000050555/ENSG00000154229/ENSG00000186469/ENSG00000136997/ENSG00000184349/ENSG00000156475/ENSG00000053747/ENSG00000145675/ENSG00000140285/ENSG00000102678/ENSG00000136869/ENSG00000058085/ENSG00000134853/ENSG00000123358/ENSG00000185652/ENSG00000113578/ENSG00000196878/ENSG00000168539/ENSG00000127920/ENSG00000064300/ENSG00000146592/ENSG00000105976/ENSG00000101280/ENSG00000225950/ENSG00000146648/ENSG00000189056/ENSG00000168477/ENSG00000206384/ENSG00000138685/ENSG00000148053/ENSG00000157404/ENSG00000165197
hsa04510	Focal adhesion	157	-0.44554216266628044	-1.6692001999444748	3.3145508783559825e-4	0.010473980775604906	0.00826893219126703	3088	tags=41%, list=24%, signal=31%	ENSG00000035403/ENSG00000089159/ENSG00000197702/ENSG00000171608/ENSG00000041982/ENSG00000100852/ENSG00000213639/ENSG00000121879/ENSG00000019991/ENSG00000109072/ENSG00000115904/ENSG00000120332/ENSG00000159840/ENSG00000101608/ENSG00000137076/ENSG00000173511/ENSG00000259207/ENSG00000092758/ENSG00000150093/ENSG00000005961/ENSG00000143127/ENSG00000010810/ENSG00000105855/ENSG00000128052/ENSG00000132470/ENSG00000134318/ENSG00000117020/ENSG00000213949/ENSG00000196924/ENSG00000037280/ENSG00000135862/ENSG00000112769/ENSG00000118971/ENSG00000171914/ENSG00000091409/ENSG00000110799/ENSG00000197461/ENSG00000144668/ENSG00000081052/ENSG00000170962/ENSG00000196569/ENSG00000177606/ENSG00000101680/ENSG00000148082/ENSG00000050555/ENSG00000154229/ENSG00000053747/ENSG00000101335/ENSG00000145675/ENSG00000058085/ENSG00000134853/ENSG00000077157/ENSG00000065534/ENSG00000196878/ENSG00000105976/ENSG00000101349/ENSG00000105971/ENSG00000105974/ENSG00000146648/ENSG00000189056/ENSG00000077264/ENSG00000168477/ENSG00000206384/ENSG00000165197
