ensemblID	chr	start	end	band	symbol	isHK	isTF
ENSG00000001461	1	24415794	24472976	p36.11	NIPAL3	0	0
ENSG00000004534	3	49940007	50100045	p21.31	RBM6	1	0
ENSG00000005100	17	5440912	5469060	p13.2	DHX33	1	0
ENSG00000005483	7	105014179	105114361	q22.3	KMT2E	0	0
ENSG00000005812	13	76992598	77027195	q22.3	FBXL3	1	0
ENSG00000006695	17	14069496	14208677	p12	COX10	0	0
ENSG00000006744	17	12992391	13018187	p12	ELAC2	1	0
ENSG00000007168	17	2593210	2685615	p13.3	PAFAH1B1	1	0
ENSG00000007202	17	28614440	28645454	q11.2	KIAA0100	1	0
ENSG00000007520	16	1349240	1351911	p13.3	TSR3	1	0
ENSG00000010256	3	48599002	48610976	p21.31	UQCRC1	1	0
ENSG00000010322	3	52455118	52493071	p21.1	NISCH	1	0
ENSG00000010539	16	3222325	3236221	p13.3	ZNF200	0	1
ENSG00000011021	1	11806096	11848079	p36.22	CLCN6	0	0
ENSG00000011258	17	51177425	51260163	q21.33	MBTD1	0	0
ENSG00000011260	17	51260528	51297936	q21.33	UTP18	0	0
ENSG00000011275	7	5620047	5781739	p22.1	RNF216	1	0
ENSG00000011295	17	15999380	16045015	p12	TTC19	1	0
ENSG00000011376	3	45388506	45549421	p21.31	LARS2	1	0
ENSG00000013375	6	83161150	83193936	q14.1	PGM3	0	0
ENSG00000013392	6	83193379	83198932	q14.1	RWDD2A	0	0
ENSG00000015532	17	50346092	50363138	q21.33	XYLT2	1	0
ENSG00000015676	7	44379121	44490880	p13	NUDCD3	0	0
ENSG00000016864	3	52694488	52706032	p21.1	GLT8D1	1	0
ENSG00000023330	3	52198086	52214327	p21.2	ALAS1	0	0
ENSG00000024048	6	42564062	42693504	p21.1	UBR2	1	0
ENSG00000025800	1	32108038	32176568	p35.2	KPNA6	0	0
ENSG00000029725	17	5282265	5385812	p13.2	RABEP1	1	0
ENSG00000031698	1	109213918	109238169	p13.3	SARS	1	0
ENSG00000032742	13	20567069	20691437	q12.11	IFT88	0	0
ENSG00000033050	7	151212490	151227230	q36.1	ABCF2	1	0
ENSG00000034693	6	143450807	143490010	q24.2	PEX3	0	0
ENSG00000035687	1	244408494	244452134	q44	ADSS	0	0
ENSG00000035928	4	39287456	39366375	p14	RFC1	1	0
ENSG00000037637	1	16246839	16352454	p36.13	FBXO42	1	0
ENSG00000038219	4	13568738	13627723	p15.33	BOD1L1	0	0
ENSG00000040531	17	3636468	3661542	p13.2	CTNS	0	0
ENSG00000040633	17	7235028	7239722	p13.1	PHF23	1	0
ENSG00000042317	14	88384924	88470350	q31.3	SPATA7	0	0
ENSG00000042429	11	93784227	93814963	q21	MED17	0	0
ENSG00000042753	19	46838136	46850992	q13.32	AP2S1	1	0
ENSG00000044090	6	43037617	43053945	p21.1	CUL7	0	0
ENSG00000046651	X	13734745	13769353	p22.2	OFD1	0	0
ENSG00000047249	8	53715557	53843558	q11.23	ATP6V1H	1	0
ENSG00000048405	7	127346790	127431924	q31.33	ZNF800	0	1
ENSG00000049541	7	74231499	74254458	q11.23	RFC2	1	0
ENSG00000049656	5	1317744	1345099	p15.33	CLPTM1L	1	0
ENSG00000050820	16	75228187	75268053	q23.1	BCAR1	0	0
ENSG00000052723	1	114769479	114780685	p13.2	SIKE1	1	0
ENSG00000053371	1	19303965	19312146	p36.13	AKR7A2	1	0
ENSG00000053372	1	19251539	19260128	p36.13	MRTO4	1	0
ENSG00000054611	22	46762617	47175699	q13.31	TBC1D22A	1	0
ENSG00000054793	20	51596514	51768634	q13.2	ATP9A	0	0
ENSG00000054967	11	73376264	73397474	q13.4	RELT	0	0
ENSG00000055070	1	16352575	16398145	p36.13	SZRD1	1	0
ENSG00000055130	7	148697914	148801036	q36.1	CUL1	1	0
ENSG00000055147	5	153990128	154038936	q33.2	FAM114A2	1	0
ENSG00000055609	7	152134922	152436005	q36.1	KMT2C	0	0
ENSG00000056736	3	53846580	53865800	p21.1	IL17RB	0	0
ENSG00000057608	10	5765223	5842132	p15.1	GDI2	1	0
ENSG00000057663	6	106045423	106325791	q21	ATG5	1	0
ENSG00000057757	1	23778405	23788232	p36.11	PITHD1	1	0
ENSG00000058600	16	22297375	22335103	p12.2	POLR3E	1	0
ENSG00000060762	6	166364919	166383013	q27	MPC1	0	0
ENSG00000062194	5	57173948	57264679	q11.2	GPBP1	1	1
ENSG00000062822	19	50384204	50418016	q13.33	POLD1	0	0
ENSG00000063046	12	53006158	53042209	q13.13	EIF4B	0	0
ENSG00000063245	19	55675226	55709858	q13.42	EPN1	1	0
ENSG00000063322	19	39391303	39400637	q13.2	MED29	1	0
ENSG00000063978	4	2462220	2625320	p16.3	RNF4	1	0
ENSG00000064102	12	26905181	26938326	p11.23	INTS13	0	0
ENSG00000064393	7	139561570	139777778	q34	HIPK2	0	0
ENSG00000064419	7	128954180	129055173	q32.1	TNPO3	1	0
ENSG00000064703	1	111755245	111768016	p13.2	DDX20	0	0
ENSG00000064999	6	34889265	35091413	p21.31	ANKS1A	0	0
ENSG00000065057	16	2039815	2047866	p13.3	NTHL1	0	0
ENSG00000065135	1	109548611	109618321	p13.3	GNAI3	0	0
ENSG00000065427	16	75627474	75648643	q23.1	KARS	1	0
ENSG00000065457	16	75596981	75623300	q23.1	ADAT1	0	0
ENSG00000065526	1	15847864	15940460	p36.21	SPEN	1	1
ENSG00000065559	17	12020824	12143830	p12	MAP2K4	0	0
ENSG00000065883	7	39949646	40099580	p14.1	CDK13	1	0
ENSG00000065970	12	8032703	8055503	p13.31	FOXJ2	0	1
ENSG00000066279	1	197084128	197146694	q31.3	ASPM	0	0
ENSG00000066336	11	47354860	47378576	p11.2	SPI1	0	1
ENSG00000066926	18	57548283	57586772	q21.31	FECH	1	0
ENSG00000067064	10	1039152	1049170	p15.3	IDI1	1	0
ENSG00000067248	5	55256245	55307722	q11.2	DHX29	1	0
ENSG00000067369	15	43403061	43510728	q15.3	TP53BP1	0	0
ENSG00000067560	3	49359145	49412998	p21.31	RHOA	1	0
ENSG00000067596	17	43483865	43610338	q21.31	DHX8	1	0
ENSG00000067606	1	2050470	2185395	p36.33	PRKCZ	0	0
ENSG00000067900	18	20946906	21111851	q11.1	ROCK1	0	0
ENSG00000068024	2	239048168	239401654	q37.3	HDAC4	0	0
ENSG00000068028	3	50329782	50340980	p21.31	RASSF1	0	0
ENSG00000068097	17	60043194	60078931	q23.1	HEATR6	0	0
ENSG00000068383	10	132537820	132783480	q26.3	INPP5A	1	0
ENSG00000068394	X	49113389	49123801	p11.23	GPKOW	1	0
ENSG00000068745	3	48688003	48740353	p21.31	IP6K2	1	0
ENSG00000069248	1	229440260	229508341	q42.13	NUP133	1	0
ENSG00000069345	16	46955362	46973788	q11.2	DNAJA2	1	0
ENSG00000070047	11	576486	612222	p15.5	PHRF1	1	0
ENSG00000070269	14	56488354	56650606	q22.3	TMEM260	0	0
ENSG00000070366	17	2059839	2303771	p13.3	SMG6	0	0
ENSG00000070367	14	57200507	57269008	q22.3	EXOC5	0	0
ENSG00000070413	22	19036282	19122454	q11.21	DGCR2	1	0
ENSG00000070423	19	647526	663277	p13.3	RNF126	1	0
ENSG00000070444	17	2384060	2401118	p13.3	MNT	0	1
ENSG00000070718	8	42152946	42171673	p11.21	AP3M2	0	0
ENSG00000070761	16	58113588	58129450	q21	CFAP20	0	0
ENSG00000070770	16	58157907	58197920	q21	CSNK2A2	0	0
