source	target	MI	distance	row_num	interaction_type
ENSG00000198929	ENSG00000239887	0.69016	297134	1	Intra-Cytoband
ENSG00000002933	ENSG00000106565	0.679536	9118	2	Intra-Cytoband
ENSG00000197903	ENSG00000276180	0.640662	7830	3	Intra-Cytoband
ENSG00000162892	ENSG00000162894	0.596961	6943	4	Intra-Cytoband
ENSG00000181218	ENSG00000196890	0.59536	1128	5	Intra-Cytoband
ENSG00000108511	ENSG00000120075	0.587449	4494	6	Intra-Cytoband
ENSG00000170561	ENSG00000186493	0.547292	6286	7	Intra-Cytoband
ENSG00000173369	ENSG00000173372	0.515265	16256	8	Intra-Cytoband
ENSG00000120093	ENSG00000173917	0.503113	7976	9	Intra-Cytoband
ENSG00000129691	ENSG00000175324	0.487831	58079	10	Intra-Cytoband
ENSG00000129691	ENSG00000147548	0.48047	164455	11	Intra-Cytoband
ENSG00000120093	ENSG00000182742	0.474653	26643	12	Intra-Cytoband
ENSG00000085733	ENSG00000131626	0.470711	127704	13	Intra-Cytoband
ENSG00000162722	ENSG00000238243	0.466385	38388	14	Intra-Cytoband
ENSG00000176681	ENSG00000228696	0.456317	17949	15	Intra-Cytoband
ENSG00000159189	ENSG00000173369	0.456185	9132	16	Intra-Cytoband
ENSG00000133142	ENSG00000172465	0.454769	52473	17	Intra-Cytoband
ENSG00000134871	ENSG00000187498	0.454693	156849	18	Intra-Cytoband
ENSG00000104221	ENSG00000147471	0.449873	80675	19	Intra-Cytoband
ENSG00000167699	ENSG00000177370	0.448114	240020	20	Intra-Cytoband
ENSG00000107371	ENSG00000122741	0.447856	33524	21	Intra-Cytoband
ENSG00000129691	ENSG00000156735	0.447357	71291	22	Intra-Cytoband
ENSG00000048649	ENSG00000074201	0.446102	145060	23	Intra-Cytoband
ENSG00000159189	ENSG00000173372	0.438862	7124	24	Intra-Cytoband
ENSG00000147548	ENSG00000175324	0.437906	106376	25	Intra-Cytoband
ENSG00000105523	ENSG00000177202	0.437138	5933	26	Intra-Cytoband
ENSG00000104221	ENSG00000175324	0.434127	320053	27	Intra-Cytoband
ENSG00000155975	ENSG00000198791	0.430255	21607	28	Intra-Cytoband
ENSG00000161551	ENSG00000198093	0.428262	84408	29	Intra-Cytoband
ENSG00000223572	ENSG00000237289	0.428058	99832	30	Intra-Cytoband
ENSG00000147548	ENSG00000156735	0.426623	93164	31	Intra-Cytoband
ENSG00000156735	ENSG00000175324	0.423631	13212	32	Intra-Cytoband
ENSG00000130227	ENSG00000198791	0.42315	4694707	33	Inter-Cytoband
ENSG00000085788	ENSG00000147548	0.421066	44479	34	Intra-Cytoband
ENSG00000167699	ENSG00000171861	0.419762	25176	35	Intra-Cytoband
