ensemblID	chr	start	end	band	symbol	isHK	isTF	community
ENSG00000004864	7	96120220	96322147	q21.3	SLC25A13	0	0	326
ENSG00000006327	16	3018445	3022383	p13.3	TNFRSF12A	0	0	25
ENSG00000006576	7	77798792	77957503	q11.23	PHTF2	0	0	151
ENSG00000006831	12	1688574	1788678	p13.33	ADIPOR2	1	0	268
ENSG00000008018	6	170535117	170553341	q27	PSMB1	1	0	60
ENSG00000011114	14	93237550	93333092	q32.12	BTBD7	0	0	69
ENSG00000011451	19	15419980	15449951	p13.12	WIZ	1	1	268
ENSG00000013725	11	60971680	61020377	q12.2	CD6	0	0	177
ENSG00000014824	4	41990472	42090457	p13	SLC30A9	1	0	60
ENSG00000017260	3	130850595	131016712	q22.1	ATP2C1	1	0	19
ENSG00000029363	6	136256627	136289851	q23.3	BCLAF1	1	0	25
ENSG00000033327	11	78215297	78418348	q14.1	GAB2	0	0	60
ENSG00000034152	17	21284672	21315240	p11.2	MAP2K3	0	0	25
ENSG00000035928	4	39287456	39366375	p14	RFC1	1	0	60
ENSG00000037280	5	180601506	180649624	q35.3	FLT4	0	0	243
ENSG00000037897	12	57768471	57772793	q14.1	METTL1	0	0	25
ENSG00000039068	16	68737225	68835548	q22.1	CDH1	0	0	326
ENSG00000042286	10	70098223	70132934	q22.1	AIFM2	0	0	268
ENSG00000042445	2	85342088	85354620	p11.2	RETSAT	0	0	268
ENSG00000043039	11	129375940	129452279	q24.3	BARX2	0	1	326
ENSG00000044446	X	18892300	18984598	p22.13	PHKA2	0	0	60
ENSG00000046604	18	31498043	31549008	q12.1	DSG2	0	0	268
ENSG00000048740	10	10798397	11336675	p14	CELF2	0	0	110
ENSG00000049283	17	50532543	50543750	q21.33	EPN3	0	0	326
ENSG00000049540	7	74027789	74069907	q11.23	ELN	0	0	19
ENSG00000050393	6	13786557	13814568	p23	MCUR1	0	0	116
ENSG00000052749	10	97356358	97426076	q24.1	RRP12	0	0	25
ENSG00000053254	14	89124871	89619149	q32.11	FOXN3	0	1	268
ENSG00000055813	2	56184123	56386173	p16.1	CCDC85A	0	0	268
ENSG00000056972	6	111556454	111606278	q21	TRAF3IP2	0	0	60
ENSG00000057663	6	106045423	106325791	q21	ATG5	1	0	326
ENSG00000058085	1	183186238	183244900	q25.3	LAMC2	0	0	151
ENSG00000058799	1	53851719	53889834	p32.3	YIPF1	1	0	326
ENSG00000059691	4	151670504	151761023	q31.3	GATB	0	0	60
ENSG00000060237	12	752593	911452	p13.33	WNK1	0	0	326
ENSG00000060688	1	31259568	31296782	p35.2	SNRNP40	1	0	25
ENSG00000061337	8	20246165	20303963	p21.3	LZTS1	0	0	19
ENSG00000062485	12	56271699	56300392	q13.3	CS	0	0	60
ENSG00000063241	19	55452985	55462343	q13.42	ISOC2	1	0	60
ENSG00000064225	3	98732236	98821201	q12.1	ST3GAL6	0	0	60
ENSG00000064270	16	84368527	84464187	q24.1	ATP2C2	0	0	202
ENSG00000064393	7	139561570	139777778	q34	HIPK2	0	0	268
ENSG00000064961	19	3572777	3579088	p13.3	HMG20B	1	1	326
ENSG00000064989	2	187343129	187448460	q32.1	CALCRL	0	0	60
ENSG00000065135	1	109548611	109618321	p13.3	GNAI3	0	0	19
ENSG00000065534	3	123610049	123884331	q21.1	MYLK	0	0	127
ENSG00000065717	19	2997638	3047635	p13.3	TLE2	0	0	163
ENSG00000065970	12	8032703	8055503	p13.31	FOXJ2	0	1	163
ENSG00000066084	12	50504985	50748667	q13.12	DIP2B	0	0	326
ENSG00000066136	1	40691648	40771603	p34.2	NFYC	1	1	268
ENSG00000066279	1	197084128	197146694	q31.3	ASPM	0	0	318
ENSG00000066557	1	70144805	70205620	p31.1	LRRC40	1	0	19
ENSG00000066629	14	99737693	99942060	q32.2	EML1	0	0	326
ENSG00000066735	14	104138723	104180894	q32.33	KIF26A	0	0	163
ENSG00000067057	10	3066333	3137712	p15.2	PFKP	0	0	330
ENSG00000067082	10	3775996	3785281	p15.2	KLF6	0	1	32
ENSG00000067167	8	70573442	70608387	q13.3	TRAM1	0	0	116
ENSG00000067445	X	54920462	54931431	p11.21	TRO	0	0	60
ENSG00000067606	1	2050470	2185395	p36.33	PRKCZ	0	0	326
ENSG00000067704	1	220094102	220148041	q41	IARS2	1	0	60
ENSG00000068323	X	49028726	49043486	p11.23	TFE3	1	1	268
ENSG00000068400	X	48973720	49002264	p11.23	GRIPAP1	1	0	45
ENSG00000068903	19	38878555	38899862	q13.2	SIRT2	1	0	60
ENSG00000070371	22	19179473	19291716	q11.21	CLTCL1	0	0	268
ENSG00000070495	17	76712832	76726799	q25.1	JMJD6	1	0	25
ENSG00000070614	5	150485818	150558211	q33.1	NDST1	1	0	218
ENSG00000071054	2	101696850	101894689	q11.2	MAP4K4	1	0	326
