source	target	MI	distance	row_num	interaction_type
ENSG00000167074	ENSG00000174738	0.577364	NA	1	Trans
ENSG00000159189	ENSG00000173369	0.568734	9132	2	Intra-Cytoband
ENSG00000160888	ENSG00000171223	0.511295	358919	3	Intra-Cytoband
ENSG00000143546	ENSG00000163220	0.48483	32178	4	Intra-Cytoband
ENSG00000122877	ENSG00000179388	0.481845	NA	5	Trans
ENSG00000126368	ENSG00000174738	0.479911	NA	6	Trans
ENSG00000104413	ENSG00000132698	0.464966	NA	7	Trans
ENSG00000198929	ENSG00000239887	0.463852	297134	8	Intra-Cytoband
ENSG00000108821	ENSG00000168542	0.457279	NA	9	Trans
ENSG00000126368	ENSG00000167074	0.454186	NA	10	Trans
ENSG00000002933	ENSG00000106565	0.451216	9118	11	Intra-Cytoband
ENSG00000204388	ENSG00000204389	0.449094	12271	12	Intra-Cytoband
ENSG00000133561	ENSG00000213203	0.44909	91182	13	Intra-Cytoband
ENSG00000120129	ENSG00000170345	0.448638	NA	14	Trans
ENSG00000049246	ENSG00000174738	0.448372	NA	15	Trans
ENSG00000138722	ENSG00000205038	0.446392	NA	16	Trans
ENSG00000159189	ENSG00000173372	0.441771	7124	17	Intra-Cytoband
ENSG00000173276	ENSG00000173846	0.437398	NA	18	Trans
ENSG00000196126	ENSG00000196735	0.436797	49410	19	Intra-Cytoband
ENSG00000005249	ENSG00000092445	0.436155	NA	20	Trans
ENSG00000133574	ENSG00000213203	0.435705	149280	21	Intra-Cytoband
ENSG00000108821	ENSG00000130635	0.435443	NA	22	Trans
ENSG00000137804	ENSG00000148773	0.430495	NA	23	Trans
ENSG00000132698	ENSG00000175707	0.428478	129111598	24	Inter-Cytoband
ENSG00000120093	ENSG00000182742	0.427402	26643	25	Intra-Cytoband
ENSG00000107372	ENSG00000119138	0.424745	1966828	26	Inter-Cytoband
ENSG00000119138	ENSG00000179094	0.424014	NA	27	Trans
ENSG00000135218	ENSG00000170323	0.422593	NA	28	Trans
ENSG00000185453	ENSG00000270647	0.421831	NA	29	Trans
ENSG00000149534	ENSG00000163751	0.42092	NA	30	Trans
ENSG00000083307	ENSG00000104413	0.418236	6851358	31	Inter-Cytoband
ENSG00000159208	ENSG00000174738	0.418163	NA	32	Trans
ENSG00000049246	ENSG00000133794	0.41773	NA	33	Trans
ENSG00000134321	ENSG00000134326	0.417531	25236	34	Intra-Cytoband
ENSG00000039068	ENSG00000132698	0.415797	NA	35	Trans
ENSG00000173369	ENSG00000173372	0.414112	16256	36	Intra-Cytoband
ENSG00000119138	ENSG00000157514	0.413373	NA	37	Trans
ENSG00000123358	ENSG00000153234	0.413012	NA	38	Trans
ENSG00000129354	ENSG00000175707	0.411011	NA	39	Trans
ENSG00000049246	ENSG00000167074	0.409753	NA	40	Trans
ENSG00000100448	ENSG00000163751	0.409535	NA	41	Trans
ENSG00000137804	ENSG00000175063	0.407659	NA	42	Trans
ENSG00000169692	ENSG00000245848	0.407645	NA	43	Trans
ENSG00000116285	ENSG00000157514	0.406744	NA	44	Trans
ENSG00000081041	ENSG00000163734	0.403622	60446	45	Intra-Cytoband
ENSG00000167565	ENSG00000197019	0.400497	19252	46	Intra-Cytoband
ENSG00000275302	ENSG00000277632	0.399598	15334	47	Intra-Cytoband
