ensemblID	community
ENSG00000001461	844
ENSG00000004534	3
ENSG00000005100	1
ENSG00000005483	5
ENSG00000005812	23
ENSG00000006695	1
ENSG00000006744	1
ENSG00000007168	1
ENSG00000007202	33
ENSG00000007520	18
ENSG00000010256	3
ENSG00000010322	3
ENSG00000010539	2134
ENSG00000011021	107
ENSG00000011258	60
ENSG00000011260	60
ENSG00000011275	32
ENSG00000011295	1
ENSG00000011376	3
ENSG00000013375	255
ENSG00000013392	255
ENSG00000015532	60
ENSG00000015676	46
ENSG00000016864	3
ENSG00000023330	919
ENSG00000024048	28
ENSG00000025800	175
ENSG00000029725	1
ENSG00000031698	31
ENSG00000032742	50
ENSG00000033050	80
ENSG00000034693	92
ENSG00000035687	906
ENSG00000035928	843
ENSG00000037637	107
ENSG00000038219	36
ENSG00000040531	1
ENSG00000040633	1
ENSG00000042317	15
ENSG00000042429	59
ENSG00000042753	144
ENSG00000044090	28
ENSG00000046651	323
ENSG00000047249	55
ENSG00000048405	5
ENSG00000049541	207
ENSG00000049656	99
ENSG00000050820	7
ENSG00000052723	31
ENSG00000053371	171
ENSG00000053372	41
ENSG00000054611	2
ENSG00000054793	849
ENSG00000054967	56
ENSG00000055070	107
ENSG00000055130	80
ENSG00000055147	583
ENSG00000055609	80
ENSG00000056736	582
ENSG00000057608	34
ENSG00000057663	30
ENSG00000057757	107
ENSG00000058600	84
ENSG00000060762	63
ENSG00000062194	67
ENSG00000062822	2146
ENSG00000063046	148
ENSG00000063245	40
ENSG00000063322	93
ENSG00000063978	36
ENSG00000064102	142
ENSG00000064393	926
ENSG00000064419	160
ENSG00000064703	31
ENSG00000064999	28
ENSG00000065057	581
ENSG00000065135	31
ENSG00000065427	7
ENSG00000065457	7
ENSG00000065526	107
ENSG00000065559	1
ENSG00000065883	46
ENSG00000065970	181
ENSG00000066279	9
ENSG00000066336	176
ENSG00000066926	4
ENSG00000067064	34
ENSG00000067248	67
ENSG00000067369	10
ENSG00000067560	3
ENSG00000067596	51
ENSG00000067606	953
ENSG00000067900	4
ENSG00000068024	33
ENSG00000068028	3
