ensemblID	chr	start	end	band	symbol	isHK	isTF	lfc	avg_log2_cpm_exp	p_value	FDR	B	avg_exp	avg_log2_exp	avg_cpm_exp
ENSG00000001461	1	24415794	24472976	p36.11	NIPAL3	0	0	0	5.68245772052613	0	0	0	2748.55404859812	11.3659713827165	53.4485402583491
ENSG00000004534	3	49940007	50100045	p21.31	RBM6	1	0	0	6.10133988996465	0	0	0	3577.81961981664	11.7851608165364	69.4835045318217
ENSG00000005100	17	5440912	5469060	p13.2	DHX33	1	0	-0.212212867931341	4.81008572348273	1.21295170728895e-12	1.95853001018522e-12	26.9588195523787	1467.1550302109	10.4927009463198	28.5665276977354
ENSG00000005483	7	105014179	105114361	q22.3	KMT2E	0	0	-0.151368327611653	7.23984566063459	1.13117277648632e-6	1.53229712371203e-6	13.3887410281519	7923.79416439134	12.9241126199001	154.120293426329
ENSG00000005812	13	76992598	77027195	q22.3	FBXL3	1	0	-0.341548121307233	6.27549181219646	3.03191764598318e-18	5.6153520163737e-18	Inf	4118.63643733576	11.9593909093297	80.0833821613099
ENSG00000006695	17	14069496	14208677	p12	COX10	0	0	0.204769463339871	3.44915111806873	2.46750087088603e-6	3.30813334616565e-6	12.6191231632748	586.405551012198	9.12845935515386	11.4175346454858
ENSG00000006744	17	12992391	13018187	p12	ELAC2	1	0	-0.0943602073937569	6.11541790251648	5.45899541417142e-4	6.70628922294323e-4	7.30662374198725	3620.64171346463	11.7992432742846	70.4805521866423
ENSG00000007168	17	2593210	2685615	p13.3	PAFAH1B1	1	0	-0.208952986718907	7.10081039802106	2.00199796634727e-17	3.63483674923613e-17	Inf	7150.57694505437	12.7850425220547	139.103281775825
ENSG00000007202	17	28614440	28645454	q11.2	KIAA0100	1	0	-0.0983650207471942	7.67065218393866	0.005095692315665	0.00599634557536058	5.1105906702375	10801.829900071	13.3550138324331	209.897076477569
ENSG00000007520	16	1349240	1351911	p13.3	TSR3	1	0	0.278295843657488	6.10230772821591	1.5861106248249e-35	4.36285921393303e-35	Inf	3562.38261927355	11.7861326317528	69.2442839781329
ENSG00000010256	3	48599002	48610976	p21.31	UQCRC1	1	0	0.0986657439010853	7.26206539088998	7.35890602938955e-6	9.7245326275344e-6	11.540849003905	7973.736827073	12.9463419475696	154.952778864614
ENSG00000010322	3	52455118	52493071	p21.1	NISCH	1	0	-0.333102267303526	6.63242947582913	3.85005690829056e-34	1.02606745885836e-33	Inf	5171.74774025149	12.316503475429	100.500707772337
ENSG00000011021	1	11806096	11848079	p36.22	CLCN6	0	0	-0.771903663494677	4.15401894695311	2.4785417023377e-97	3.23776287000323e-96	Inf	925.754605092645	9.83548405458942	18.0093401713929
ENSG00000011258	17	51177425	51260163	q21.33	MBTD1	0	0	-0.0698751236389608	4.89911618512771	0.0105550310036091	0.012245392653594	4.39028453743401	1558.66115719033	10.5818598342276	30.3064026504245
ENSG00000011260	17	51260528	51297936	q21.33	UTP18	0	0	0.607140062361634	5.2294813973051	1.93101138506536e-57	8.96390596133292e-57	Inf	1968.1260922878	10.9126109997739	38.2482509230979
ENSG00000011275	7	5620047	5781739	p22.1	RNF216	1	0	0.15850896581432	5.83731535599114	2.80373491988282e-12	4.47620331241826e-12	26.1322472713323	2967.20319666656	11.5209724248162	57.732745771253
ENSG00000011295	17	15999380	16045015	p12	TTC19	1	0	0.138279857911215	5.99763625430527	5.29359172182745e-4	6.50917055320113e-4	7.33647720606194	3409.01003086013	11.6813681941426	66.2864301527813
ENSG00000011376	3	45388506	45549421	p21.31	LARS2	1	0	0.676121859995641	4.54840170770674	1.42569295061591e-62	7.45770862566488e-62	Inf	1227.78111452899	10.2306090033461	23.8559944871115
ENSG00000013375	6	83161150	83193936	q14.1	PGM3	0	0	0.330030059540621	5.42027712701784	1.62903697499993e-17	2.96475307131259e-17	Inf	2267.56500618485	11.1035818270338	44.0428919218458
ENSG00000013392	6	83193379	83198932	q14.1	RWDD2A	0	0	0	3.58642415198275	0	0	0	645.581142611469	9.26619307033056	12.5399532913953
ENSG00000015532	17	50346092	50363138	q21.33	XYLT2	1	0	0.348232789890151	5.80920292726649	1.5817106235791e-24	3.40173544809567e-24	Inf	2947.97950035313	11.4928314514206	57.3250004756741
ENSG00000015676	7	44379121	44490880	p13	NUDCD3	0	0	0.374998183344087	6.93903211938295	1.11686129738978e-43	3.7489449022309e-43	Inf	6392.98667139774	12.6232155383965	124.287769681664
ENSG00000016864	3	52694488	52706032	p21.1	GLT8D1	1	0	0.181532127362045	6.36581043352054	3.95555080258614e-16	6.98458488674293e-16	34.945041100449	4279.38080505684	12.0497711685266	83.2196122074331
ENSG00000024048	6	42564062	42693504	p21.1	UBR2	1	0	0.197369201627679	6.24517699591727	9.14672128327259e-16	1.5996815352113e-15	34.0977432400618	3944.49326916958	11.9290765924221	76.6932576351686
ENSG00000025800	1	32108038	32176568	p35.2	KPNA6	0	0	0.173617510666711	6.65299426158824	1.56068448542125e-17	2.84214233039596e-17	Inf	5216.04560434774	12.3370787225429	101.468141762938
ENSG00000029725	17	5282265	5385812	p13.2	RABEP1	1	0	0.796803715585857	7.7341863753052	1.0683663330065e-48	3.99987954059392e-48	Inf	11500.1408660478	13.41855503036	223.848524601243
ENSG00000031698	1	109213918	109238169	p13.3	SARS	1	0	0.125955040948125	7.28854744464612	2.5379069343374e-7	3.51484690150221e-7	14.8610993309749	8151.76222030574	12.9728293515147	158.517761502536
ENSG00000032742	13	20567069	20691437	q12.11	IFT88	0	0	1.03378514893304	4.30548857651001	3.52095184616127e-84	3.19112442212512e-83	Inf	1049.01560488333	9.98721850102124	20.4025698682073
ENSG00000033050	7	151212490	151227230	q36.1	ABCF2	1	0	0.127629961486952	6.27321895020038	7.0533228723752e-9	1.02345659403267e-8	18.397495014703	4014.62750888587	11.9571341499758	78.0477810315563
ENSG00000034693	6	143450807	143490010	q24.2	PEX3	0	0	-0.12041108919365	4.2379587675511	3.32244455538263e-5	4.28830591177173e-5	10.0569908184034	986.499809632431	9.91958730822611	19.1905092419435
ENSG00000035928	4	39287456	39366375	p14	RFC1	1	0	0	6.22216919676544	0	0	0	3903.62117598839	11.9060543266449	75.9204629503053
ENSG00000037637	1	16246839	16352454	p36.13	FBXO42	1	0	0.0829191861610857	4.89543157016138	5.28557505977224e-4	6.49986520094676e-4	7.33790873575268	1546.29975720854	10.5781756850903	30.0877764468518
ENSG00000038219	4	13568738	13627723	p15.33	BOD1L1	0	0	-0.253338244874594	6.26655965100066	6.34468184090763e-22	1.28725714837815e-21	Inf	4009.13792551101	11.9504692674407	77.9962592878979
