ensemblID	community
ENSG00000004864	4
ENSG00000006327	1
ENSG00000006576	237
ENSG00000006831	3
ENSG00000008018	308
ENSG00000011114	26
ENSG00000011451	63
ENSG00000013725	36
ENSG00000014824	308
ENSG00000017260	76
ENSG00000029363	1
ENSG00000033327	34
ENSG00000034152	1
ENSG00000035928	308
ENSG00000037280	18
ENSG00000037897	11
ENSG00000039068	4
ENSG00000042286	3
ENSG00000042445	3
ENSG00000043039	4
ENSG00000044446	267
ENSG00000046604	92
ENSG00000048740	185
ENSG00000049283	4
ENSG00000049540	10
ENSG00000050393	78
ENSG00000052749	11
ENSG00000053254	3
ENSG00000055813	50
ENSG00000056972	17
ENSG00000057663	174
ENSG00000058085	360
ENSG00000058799	313
ENSG00000059691	2
ENSG00000060237	4
ENSG00000060688	117
ENSG00000061337	10
ENSG00000062485	2
ENSG00000063241	2
ENSG00000064225	2
ENSG00000064270	17
ENSG00000064393	3
ENSG00000064961	4
ENSG00000064989	67
ENSG00000065135	157
ENSG00000065534	15
ENSG00000065717	392
ENSG00000065970	68
ENSG00000066084	114
ENSG00000066136	248
ENSG00000066279	9
ENSG00000066557	134
ENSG00000066629	79
ENSG00000066735	324
ENSG00000067057	85
ENSG00000067082	7
ENSG00000067167	78
ENSG00000067445	2
ENSG00000067606	4
ENSG00000067704	187
ENSG00000068323	3
ENSG00000068400	5
ENSG00000068903	2
ENSG00000070371	50
ENSG00000070495	1
ENSG00000070614	820
ENSG00000071054	454
ENSG00000071462	63
ENSG00000071553	32
ENSG00000071564	371
ENSG00000071626	193
ENSG00000072062	54
ENSG00000072110	15
ENSG00000072121	320
ENSG00000072571	9
ENSG00000072840	10
ENSG00000072952	15
ENSG00000072958	63
ENSG00000073614	340
ENSG00000073711	135
ENSG00000073712	2
ENSG00000074416	2
ENSG00000074527	276
ENSG00000074603	94
ENSG00000074660	371
ENSG00000075218	9
ENSG00000075275	81
ENSG00000075292	380
ENSG00000075336	54
ENSG00000075415	2
ENSG00000075426	1
ENSG00000075651	75
ENSG00000075790	4
ENSG00000076555	2
ENSG00000076826	4
ENSG00000076984	137
ENSG00000077092	35
ENSG00000077238	56
ENSG00000077274	211
ENSG00000077616	2
ENSG00000077721	100
ENSG00000078140	754
ENSG00000078237	11
ENSG00000078304	478
ENSG00000078618	2
ENSG00000078668	4
ENSG00000078687	769
ENSG00000078804	1
ENSG00000078900	132
ENSG00000079215	2
ENSG00000079308	3
ENSG00000079459	45
ENSG00000079691	283
ENSG00000079739	2
ENSG00000079999	137
ENSG00000080298	171
ENSG00000080573	3
ENSG00000080603	340
ENSG00000080986	9
ENSG00000081087	103
ENSG00000081181	350
ENSG00000081760	28
ENSG00000082146	2
ENSG00000082516	443
ENSG00000082641	137
ENSG00000082781	67
ENSG00000083093	329
ENSG00000083123	28
ENSG00000083290	2
ENSG00000083307	4
ENSG00000083312	3
ENSG00000083807	137
ENSG00000083812	328
ENSG00000084073	187
ENSG00000084676	257
ENSG00000084754	83
ENSG00000085276	16
ENSG00000085365	251
ENSG00000085788	126
ENSG00000085982	83
ENSG00000085998	496
ENSG00000085999	9
ENSG00000086015	189
ENSG00000086062	4
ENSG00000086544	1
ENSG00000086570	304
ENSG00000086827	31
ENSG00000086848	503
ENSG00000086991	6
ENSG00000087074	8
ENSG00000087111	87
ENSG00000087245	57
ENSG00000087253	47
ENSG00000087299	2
ENSG00000087365	41
ENSG00000087884	3
ENSG00000088038	26
ENSG00000088325	9
ENSG00000088356	131
ENSG00000088367	107
ENSG00000088766	2
ENSG00000088827	30
ENSG00000088832	794
ENSG00000088899	341
ENSG00000089048	14
ENSG00000089053	246
ENSG00000089057	48
ENSG00000089280	95
ENSG00000089335	845
ENSG00000089351	269
ENSG00000089685	9
ENSG00000089693	69
ENSG00000089916	26
ENSG00000090097	10
ENSG00000090273	5
ENSG00000090376	52
ENSG00000090520	335
ENSG00000090889	9
ENSG00000090905	1
ENSG00000090989	272
ENSG00000091127	124
ENSG00000091136	347
ENSG00000091140	2
ENSG00000091483	2
ENSG00000091640	41
ENSG00000091732	3
ENSG00000091844	108
ENSG00000091879	128
ENSG00000091986	10
ENSG00000092330	238
ENSG00000092445	3
ENSG00000092470	402
