cytoband	11q23.3	1p36.12	19p13.3	13q14.11	8p23.2	6q21	3p21.31	17p12	10q23.31	14q24.3	16q23.3	9q22.33	12q24.33	12p13.1	11p15.5	17q25.3	1p21.3	4q35.1	10q26.13	7p22.2	11q13.1	16q11.2	7q36.1	17q12	2q37.1	6q27	15q22.2	22q13.31	5q21.1	9p21.3	2q14.3	8q24.3	12q23.3	22q11.22	21q22.3	
q value	1.1406e-15	6.1305e-11	6.779e-08	1.084e-06	4.5923e-06	6.0884e-07	3.1879e-05	5.7197e-05	3.2581e-05	0.00017946	0.00042552	0.0072608	0.0008123	0.011346	0.012133	0.0057244	0.0022554	0.017195	0.0034005	0.033241	0.032954	0.021288	0.054347	0.034245	0.069308	0.010319	0.14053	0.18645	0.20835	0.20113	0.13223	0.22645	0.021951	0.22594	0.24105	
residual q value	1.2366e-15	2.7387e-10	7.2256e-08	1.0922e-06	4.5923e-06	6.1968e-06	2.9978e-05	5.8114e-05	0.00011875	0.00018045	0.00058531	0.007139	0.0073402	0.011875	0.012133	0.013702	0.015574	0.017517	0.030756	0.030965	0.046164	0.046164	0.054194	0.078518	0.099312	0.099312	0.14232	0.18065	0.20113	0.20113	0.22548	0.22548	0.22548	0.22548	0.24037	
wide peak boundaries	chr11:114248422-117431223	chr1:15104886-24540600	chr19:1-657665	chr13:37865573-53816805	chr8:2166023-6404670	chr6:108524809-109237267	chr3:37752047-78601409	chr17:11993313-12552764	chr10:87553251-88589061	chr14:64820677-93203197	chr16:77433390-90338345	chr9:97375695-97413419	chr12:131922115-131964087	chr12:2880177-18264383	chr11:1-13966933	chr17:82740177-83257441	chr1:58248403-110112828	chr4:113383597-190214555	chr10:107162942-126013241	chr7:2840540-3142150	chr11:49992219-66339253	chr16:31760997-53600318	chr7:96100455-159345973	chr17:30320735-48294361	chr2:217754093-242193529	chr6:155944963-170805979	chr15:1-65895874	chr22:37665444-50818468	chr5:91416021-140789804	chr9:20616637-68537321	chr2:85890836-154701929	chr8:106768276-145138636	chr12:73207707-133275309	chr22:1-36991551	chr21:1-46709983	
genes in wide peak	APOA1	ALPL	HCN2	ATP7B	CSMD1	FOXO3	ACAA1	MAP2K4	PTEN	ACTN1	AFG3L1P	LOC286359	PUS1	hsa-mir-1244-3	ADM	TBCD	ABCA4	hsa-mir-1979	ACADSB	CARD11	APLNR	hsa-mir-1826	hsa-mir-1975	ACACA	hsa-mir-1244-1	ACAT2	ACTC1	ACR	hsa-mir-886	ACO1	ACVR2A	ADCY8	ACACB	ADORA2A	ADARB1	
	APOA4	C1QA	BSG	RCBTB2	LOC101927815	SESN1	ACVR2B	MIR744	PAPSS2	ACYP1	APRT			A2M	AP2A2	ZNF750	ACADM	AGA	ADD3		ARL2	ADCY7	hsa-mir-96	ASIC2	AAMP	CCR6	ADAM10	ACO2	hsa-mir-1244-2	ALDH1B1	ADRA2B	ANGPT1	ACADS	GRK3	AIRE	
	APOC3	C1QB	CDC34	CPB2		ARMC2	ACY1		RNLS	ARG2	GAS8-AS1			A2MP1	AMPD3	B3GNTL1	AGL	SLC25A4	ADRA2A		BAD	CBLN1	AOC1	ACLY	AGXT	GPR31	ANXA2	ADSL	APC	ANXA2P2	BIN1	ANXA13	ALDH2	AP1B1	APP	
	NNMT	C1QC	GZMM	ELF1		CEP57L1	ALAS1		ATAD1	ZFP36L1	CA5A			APOBEC1	APBB1	METRNL	AK4	ANXA2P1	ADRB1		SERPING1	CYLD	ACHE	AP2B1	ALPI	IGF2R	APBA2	ARSA	ALDH7A1	NUDT2	RND3	ADGRB1	APAF1	ARVCF	ATP5J	
	PAFAH1B2	CAPZB	POLRMT	ESD		LINC00222	AMT		CFL1P1	CALM1	CBFA2T3			ARHGDIB	RHOG	RPL23AP87	ALX3	ANXA5	CASP7		VPS51	PHKB	AKR1B1	AOC2	ALPP	KIF25	AQP9	ATF4	CAMK4	AQP3	BUB1	CYC1	ARL1	ATP6V1E1	ATP5O	
	TAGLN	CASP9	MADCAM1	FOXO1		ARMC2-AS1	APEH		KLLN	ENTPD5	CDH13			ART4	ARNTL		AMPD2	CAMK2D	CTBP2		MRPL49	RBL2	ARF5	ARL4D	ALPPL2	LPA	B2M	BIK	CAMLG	AQP7	CACNB4	CYP11B1	ASCL1	BCR	BACH1	
	ZPR1	CDA	PLPP2	MLNR			ARF4			FOXN3	CDH15			C1R	ART1		AMY1A	CASP3	DMBT1		ZNHIT2	SALL1	ASNS	ATP6V0A1	KIF1A	MAS1	NBEAP1	TSPO	CAST	BAG1	CCNT2	CYP11B2	ATP2A2	BID	BAGE	
	PCSK7	CDC42	SHC2	GTF2F2			RHOA			CHGA	COX4I1			C1S	ASCL2		AMY1B	CCNA2	DUSP5		MYRF	SIAH1	AZGP1	BRCA1	BCS1L	MAP3K4	BNIP2	MPPED1	CD14	CA9	CD8A	EEF1D	ATP2B1	COMT	PTTG1IP	
