ensembl_id	lesion_id	lesion_q	lesion_residual_q	lesion_neg_log10_q	lesion_type	lesion_wide_peak
ENSG00000198019	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000171943	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000196369	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000117262	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000186141	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000265491	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000131779	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000265241	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000271425	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000268043	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000131791	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000131778	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000188092	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000263956	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000270629	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143398	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000159352	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143373	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143393	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000159377	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143442	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000150337	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000184678	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143368	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000136631	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000182134	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143450	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143436	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000117362	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000159208	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000117360	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000163125	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143374	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143420	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143387	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143379	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000143418	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000163156	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000163159	39	0.013047	0.17115	1.8844893376150016	amp	chr1:119981333-152770672
ENSG00000037637	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000055070	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000159363	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000117118	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000090686	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000065243	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000070831	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000011009	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000143093	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000137947	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000173372	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000159189	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000173369	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000127481	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000117308	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000117228	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000162654	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000004487	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000117305	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000122482	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
ENSG00000001461	2	6.1305e-11	2.7387e-10	10.212504103232725	del	chr1:15104886-24540600
ENSG00000137965	17	0.0022554	0.015574	2.6467764239025438	del	chr1:58248403-110112828
