ensemblID	chr	start	end	band	symbol	isHK	isTF	community	lfc	avg_log2_cpm_exp	p_value	FDR	B	avg_exp	avg_log2_exp	avg_cpm_exp	type
ENSG00000001461	1	24415794	24472976	p36.11	NIPAL3	0	0	139	0	5.68245772052613	0	0	0	2748.55404859812	11.3659713827165	53.4485402583491	gene
ENSG00000007520	16	1349240	1351911	p13.3	TSR3	1	0	145	0.278295843657488	6.10230772821591	1.5861106248249e-35	4.36285921393303e-35	Inf	3562.38261927355	11.7861326317528	69.2442839781329	gene
ENSG00000011021	1	11806096	11848079	p36.22	CLCN6	0	0	669	-0.771903663494677	4.15401894695311	2.4785417023377e-97	3.23776287000323e-96	Inf	925.754605092645	9.83548405458942	18.0093401713929	gene
ENSG00000011258	17	51177425	51260163	q21.33	MBTD1	0	0	194	-0.0698751236389608	4.89911618512771	0.0105550310036091	0.012245392653594	4.39028453743401	1558.66115719033	10.5818598342276	30.3064026504245	gene
ENSG00000011260	17	51260528	51297936	q21.33	UTP18	0	0	194	0.607140062361634	5.2294813973051	1.93101138506536e-57	8.96390596133292e-57	Inf	1968.1260922878	10.9126109997739	38.2482509230979	gene
ENSG00000011275	7	5620047	5781739	p22.1	RNF216	1	0	140	0.15850896581432	5.83731535599114	2.80373491988282e-12	4.47620331241826e-12	26.1322472713323	2967.20319666656	11.5209724248162	57.732745771253	gene
ENSG00000015532	17	50346092	50363138	q21.33	XYLT2	1	0	194	0.348232789890151	5.80920292726649	1.5817106235791e-24	3.40173544809567e-24	Inf	2947.97950035313	11.4928314514206	57.3250004756741	gene
ENSG00000015676	7	44379121	44490880	p13	NUDCD3	0	0	140	0.374998183344087	6.93903211938295	1.11686129738978e-43	3.7489449022309e-43	Inf	6392.98667139774	12.6232155383965	124.287769681664	gene
ENSG00000024048	6	42564062	42693504	p21.1	UBR2	1	0	205	0.197369201627679	6.24517699591727	9.14672128327259e-16	1.5996815352113e-15	34.0977432400618	3944.49326916958	11.9290765924221	76.6932576351686	gene
ENSG00000025800	1	32108038	32176568	p35.2	KPNA6	0	0	38	0.173617510666711	6.65299426158824	1.56068448542125e-17	2.84214233039596e-17	Inf	5216.04560434774	12.3370787225429	101.468141762938	gene
ENSG00000031698	1	109213918	109238169	p13.3	SARS	1	0	534	0.125955040948125	7.28854744464612	2.5379069343374e-7	3.51484690150221e-7	14.8610993309749	8151.76222030574	12.9728293515147	158.517761502536	gene
ENSG00000035928	4	39287456	39366375	p14	RFC1	1	0	34	0	6.22216919676544	0	0	0	3903.62117598839	11.9060543266449	75.9204629503053	gene
ENSG00000037637	1	16246839	16352454	p36.13	FBXO42	1	0	669	0.0829191861610857	4.89543157016138	5.28557505977224e-4	6.49986520094676e-4	7.33790873575268	1546.29975720854	10.5781756850903	30.0877764468518	gene
ENSG00000038219	4	13568738	13627723	p15.33	BOD1L1	0	0	83	-0.253338244874594	6.26655965100066	6.34468184090763e-22	1.28725714837815e-21	Inf	4009.13792551101	11.9504692674407	77.9962592878979	gene
ENSG00000042429	11	93784227	93814963	q21	MED17	0	0	5	-0.170673313574705	4.91324014968034	6.49356200416466e-8	9.16060589164516e-8	16.2057683299893	1577.33029938833	10.5959903894185	30.7059623013814	gene
ENSG00000042753	19	46838136	46850992	q13.32	AP2S1	1	0	184	0.522553301202285	6.37950226792389	1.7206527021544e-58	8.20584092618875e-58	Inf	4344.93469764068	12.0634643426331	84.4806991991195	gene
ENSG00000044090	6	43037617	43053945	p21.1	CUL7	0	0	205	0.164331776149021	6.35506098889888	1.12064611387821e-10	1.71533754782924e-10	22.4862408587917	4270.30103953175	12.0390134535119	82.9935812204429	gene
ENSG00000046651	X	13734745	13769353	p22.2	OFD1	0	0	96	0.148802282887847	5.51013456423377	1.06227412155446e-4	1.34376469457955e-4	8.91473083814264	2429.91210163256	11.1935146197261	47.2569706543791	gene
ENSG00000047249	8	53715557	53843558	q11.23	ATP6V1H	1	0	448	0.847661550435316	6.17505595337181	5.2891403896272e-82	4.56227759233993e-81	Inf	3799.88699247852	11.8589072575321	73.9121322173435	gene
ENSG00000049656	5	1317744	1345099	p15.33	CLPTM1L	1	0	418	0.357779105984617	7.02013539176066	1.76964483839666e-33	4.65198681274125e-33	Inf	6775.05955771174	12.7043429717146	131.684272846475	gene
ENSG00000052723	1	114769479	114780685	p13.2	SIKE1	1	0	534	-0.218678286433349	5.78756463754882	9.57841444939396e-13	1.54972021842754e-12	27.1929208291628	2891.95051610118	11.4711794885219	56.2550588637469	gene
ENSG00000053371	1	19303965	19312146	p36.13	AKR7A2	1	0	69	0.159940104136115	6.26016802295923	7.73149436973251e-6	1.0205713589376e-5	11.4925526329195	4043.78980679109	11.9440640978223	78.6729137329879	gene
ENSG00000054611	22	46762617	47175699	q13.31	TBC1D22A	1	0	165	0.147770353938708	5.39139865579459	1.23832923881011e-9	1.83737338826628e-9	20.1149288026221	2181.92153602285	11.0746958419499	42.4621078778083	gene
ENSG00000054793	20	51596514	51768634	q13.2	ATP9A	0	0	277	-0.196268549217241	6.92223114108997	3.0609410684114e-6	4.09388847017064e-6	12.4060112194503	6550.54529584089	12.6063978777724	127.285992062293	gene
