ensemblID	chr	start	end	band	symbol	isHK	isTF	community	lfc	avg_log2_cpm_exp	p_value	FDR	B	avg_exp	avg_log2_exp	avg_cpm_exp	type
ENSG00000001461	1	24415794	24472976	p36.11	NIPAL3	0	0	139	0	5.68245772052613	0	0	0	2748.55404859812	11.3659713827165	53.4485402583491	gene
ENSG00000011258	17	51177425	51260163	q21.33	MBTD1	0	0	194	-0.0698751236389608	4.89911618512771	0.0105550310036091	0.012245392653594	4.39028453743401	1558.66115719033	10.5818598342276	30.3064026504245	gene
ENSG00000011260	17	51260528	51297936	q21.33	UTP18	0	0	194	0.607140062361634	5.2294813973051	1.93101138506536e-57	8.96390596133292e-57	Inf	1968.1260922878	10.9126109997739	38.2482509230979	gene
ENSG00000015532	17	50346092	50363138	q21.33	XYLT2	1	0	194	0.348232789890151	5.80920292726649	1.5817106235791e-24	3.40173544809567e-24	Inf	2947.97950035313	11.4928314514206	57.3250004756741	gene
ENSG00000024048	6	42564062	42693504	p21.1	UBR2	1	0	205	0.197369201627679	6.24517699591727	9.14672128327259e-16	1.5996815352113e-15	34.0977432400618	3944.49326916958	11.9290765924221	76.6932576351686	gene
ENSG00000025800	1	32108038	32176568	p35.2	KPNA6	0	0	38	0.173617510666711	6.65299426158824	1.56068448542125e-17	2.84214233039596e-17	Inf	5216.04560434774	12.3370787225429	101.468141762938	gene
ENSG00000031698	1	109213918	109238169	p13.3	SARS	1	0	534	0.125955040948125	7.28854744464612	2.5379069343374e-7	3.51484690150221e-7	14.8610993309749	8151.76222030574	12.9728293515147	158.517761502536	gene
ENSG00000035928	4	39287456	39366375	p14	RFC1	1	0	34	0	6.22216919676544	0	0	0	3903.62117598839	11.9060543266449	75.9204629503053	gene
ENSG00000038219	4	13568738	13627723	p15.33	BOD1L1	0	0	83	-0.253338244874594	6.26655965100066	6.34468184090763e-22	1.28725714837815e-21	Inf	4009.13792551101	11.9504692674407	77.9962592878979	gene
ENSG00000042429	11	93784227	93814963	q21	MED17	0	0	5	-0.170673313574705	4.91324014968034	6.49356200416466e-8	9.16060589164516e-8	16.2057683299893	1577.33029938833	10.5959903894185	30.7059623013814	gene
