ensemblID	community
ENSG00000001461	536
ENSG00000004534	24
ENSG00000005100	5
ENSG00000005483	9
ENSG00000005812	15
ENSG00000006695	5
ENSG00000006744	5
ENSG00000007168	5
ENSG00000007202	10
ENSG00000007520	21
ENSG00000010256	24
ENSG00000010322	24
ENSG00000011021	79
ENSG00000011258	1
ENSG00000011260	1
ENSG00000011275	29
ENSG00000011295	5
ENSG00000011376	24
ENSG00000013375	3
ENSG00000013392	3
ENSG00000015532	1
ENSG00000015676	29
ENSG00000016864	24
ENSG00000024048	34
ENSG00000025800	191
ENSG00000029725	5
ENSG00000031698	7
ENSG00000032742	15
ENSG00000033050	9
ENSG00000034693	3
ENSG00000035928	75
ENSG00000037637	79
ENSG00000038219	40
ENSG00000040531	5
ENSG00000040633	5
ENSG00000042317	11
ENSG00000042429	352
ENSG00000042753	16
ENSG00000044090	34
ENSG00000046651	247
ENSG00000047249	14
ENSG00000048405	9
ENSG00000049541	9
ENSG00000049656	60
ENSG00000050820	10
ENSG00000052723	7
ENSG00000053371	489
ENSG00000053372	25
ENSG00000054611	18
ENSG00000054793	6
ENSG00000054967	200
ENSG00000055070	79
ENSG00000055130	9
ENSG00000055147	107
ENSG00000055609	9
ENSG00000056736	683
ENSG00000057608	47
ENSG00000057663	3
ENSG00000057757	79
ENSG00000058600	21
ENSG00000060762	3
ENSG00000062194	13
ENSG00000063046	25
ENSG00000063245	17
ENSG00000063322	16
ENSG00000063978	40
ENSG00000064102	86
ENSG00000064419	9
ENSG00000064703	7
ENSG00000064999	34
ENSG00000065057	618
ENSG00000065135	7
ENSG00000065427	10
ENSG00000065457	10
ENSG00000065526	79
ENSG00000065559	5
ENSG00000065883	29
ENSG00000065970	76
ENSG00000066279	20
ENSG00000066336	459
ENSG00000066926	28
ENSG00000067064	47
ENSG00000067248	13
ENSG00000067369	12
ENSG00000067560	24
ENSG00000067596	8
ENSG00000067900	28
ENSG00000068024	10
ENSG00000068028	24
ENSG00000068097	1
ENSG00000068383	26
ENSG00000068394	168
ENSG00000068745	24
ENSG00000069248	45
ENSG00000069345	266
ENSG00000070047	4
ENSG00000070366	5
ENSG00000070367	11
ENSG00000070413	18
ENSG00000070423	17
ENSG00000070444	5
ENSG00000070718	33
ENSG00000070761	10
ENSG00000070770	10
ENSG00000070831	79
ENSG00000071189	29
ENSG00000071462	9
ENSG00000071994	3
ENSG00000072134	5
ENSG00000072518	2
ENSG00000072571	20
ENSG00000072778	5
ENSG00000072803	13
ENSG00000072840	375
ENSG00000072849	5
ENSG00000073050	16
ENSG00000073169	18
ENSG00000073536	8
ENSG00000073614	114
ENSG00000073969	8
ENSG00000074071	21
ENSG00000074201	200
ENSG00000074219	615
ENSG00000074266	352
ENSG00000074319	4
ENSG00000074356	5
ENSG00000074603	12
ENSG00000074755	5
ENSG00000074935	3
ENSG00000075188	35
ENSG00000075218	20
ENSG00000075240	18
ENSG00000075336	28
ENSG00000075914	24
ENSG00000076043	22
ENSG00000076053	22
ENSG00000076201	24
ENSG00000076351	10
ENSG00000076924	42
ENSG00000076944	42
ENSG00000077147	26
ENSG00000077235	622
ENSG00000077254	349
ENSG00000077458	352
ENSG00000077463	8
ENSG00000077549	489
ENSG00000077721	129
ENSG00000078043	28
ENSG00000078061	193
ENSG00000078140	40
ENSG00000078142	28
ENSG00000078246	76
ENSG00000078304	11
ENSG00000078369	25
ENSG00000078668	33
ENSG00000078808	25
ENSG00000078902	4
ENSG00000079134	28
ENSG00000079313	17
ENSG00000079459	19
ENSG00000079616	21
ENSG00000079974	18
ENSG00000080603	21
ENSG00000080608	175
ENSG00000080802	9
ENSG00000080815	11
ENSG00000080986	20
ENSG00000081019	7
ENSG00000081087	3
ENSG00000081177	11
ENSG00000081870	610
ENSG00000081913	28
ENSG00000081923	28
ENSG00000082213	60
ENSG00000082458	101
ENSG00000082516	13
ENSG00000082701	66
ENSG00000083093	21
ENSG00000083097	3
ENSG00000083099	3
ENSG00000083168	33
ENSG00000083290	5
ENSG00000083457	5
ENSG00000083520	15
ENSG00000083535	15
ENSG00000083635	15
ENSG00000083838	17
ENSG00000083845	43
ENSG00000084112	35
ENSG00000084444	682
ENSG00000084463	402
ENSG00000084652	191
ENSG00000085377	3
ENSG00000085382	3
ENSG00000085415	28
ENSG00000085433	7
ENSG00000085644	21
ENSG00000085788	33
ENSG00000085840	20
ENSG00000085872	307
ENSG00000085978	608
ENSG00000085998	191
ENSG00000085999	20
ENSG00000086061	48
ENSG00000086189	13
ENSG00000086200	13
ENSG00000086232	29
ENSG00000086475	47
ENSG00000086504	21
ENSG00000086589	13
ENSG00000086619	634
ENSG00000086712	90
ENSG00000086827	22
ENSG00000086848	22
ENSG00000087053	352
ENSG00000087111	27
ENSG00000087152	8
ENSG00000087157	31
ENSG00000087191	1
ENSG00000087263	10
ENSG00000087274	40
ENSG00000087299	11
ENSG00000087302	11
ENSG00000087502	86
