com_id	pg_gene	chr	order	size	cond
1	ENSG00000167721	17	146	3651	luma
4	ENSG00000091164	18	107	1073	luma
8	ENSG00000158941	8	77	941	luma
2	ENSG00000100324	22	112	857	luma
3	ENSG00000198218	3	102	814	luma
9	ENSG00000137804	15	65	633	luma
5	ENSG00000137656	11	80	615	luma
19	ENSG00000180900	8	55	421	luma
10	ENSG00000136942	19	65	285	luma
25	ENSG00000070413	22	44	281	luma
7	ENSG00000182149	16	81	273	luma
27	ENSG00000130177	13	38	255	luma
23	ENSG00000136146	13	46	254	luma
11	ENSG00000198730	11	66	253	luma
18	ENSG00000101266	20	55	245	luma
6	ENSG00000160908	7	76	237	luma
15	ENSG00000119616	14	56	202	luma
22	ENSG00000167770	11	44	197	luma
12	ENSG00000021776	15	60	192	luma
21	ENSG00000104969	19	51	182	luma
26	ENSG00000149658	20	41	177	luma
13	ENSG00000205937	16	58	172	luma
37	ENSG00000110717	11	32	163	luma
17	ENSG00000176101	9	55	150	luma
31	ENSG00000106263	7	36	144	luma
20	ENSG00000187531	17	49	130	luma
33	ENSG00000136738	10	36	128	luma
16	ENSG00000138614	15	59	125	luma
14	ENSG00000055950	10	59	122	luma
50	ENSG00000150459	13	28	120	luma
30	ENSG00000031698	1	37	116	luma
29	ENSG00000168438	6	38	112	luma
40	ENSG00000197136	11	34	112	luma
34	ENSG00000174151	17	35	105	luma
36	ENSG00000100888	14	33	99	luma
39	ENSG00000146872	17	31	98	luma
85	ENSG00000078668	8	16	98	luma
59	ENSG00000213762	19	21	94	luma
24	ENSG00000159131	21	45	92	luma
54	ENSG00000150316	11	26	89	luma
45	ENSG00000136271	7	30	87	luma
56	ENSG00000125686	17	24	87	luma
28	ENSG00000139977	14	40	85	luma
78	ENSG00000129691	8	18	84	luma
53	ENSG00000181924	11	27	83	luma
35	ENSG00000122958	10	35	83	luma
43	ENSG00000125386	4	30	80	luma
32	ENSG00000112640	6	34	74	luma
44	ENSG00000179943	19	30	73	luma
38	ENSG00000169955	16	36	72	luma
51	ENSG00000067596	17	26	71	luma
57	ENSG00000121073	17	23	70	luma
42	ENSG00000122692	9	29	70	luma
41	ENSG00000175602	19	30	69	luma
69	ENSG00000157601	12	19	68	luma
66	ENSG00000172775	16	18	67	luma
58	ENSG00000132591	17	23	64	luma
79	ENSG00000159882	19	16	63	luma
81	ENSG00000156599	11	16	53	luma
52	ENSG00000160087	1	25	52	luma
68	ENSG00000112701	6	21	52	luma
49	ENSG00000143379	1	25	51	luma
70	ENSG00000120738	1	20	50	luma
87	ENSG00000069345	16	15	49	luma
88	ENSG00000048649	11	14	49	luma
75	ENSG00000213619	11	19	49	luma
55	ENSG00000197808	19	24	49	luma
62	ENSG00000008018	6	21	48	luma
63	ENSG00000185024	14	22	46	luma
82	ENSG00000113460	5	15	46	luma
96	ENSG00000149534	1	13	44	luma
46	ENSG00000069248	1	29	43	luma
86	ENSG00000198851	11	15	43	luma
48	ENSG00000204463	6	29	43	luma
67	ENSG00000187735	8	20	42	luma
60	ENSG00000133606	7	24	42	luma
47	ENSG00000113575	5	28	41	luma
84	ENSG00000174744	11	18	41	luma
157	ENSG00000178307	17	10	38	luma
80	ENSG00000181220	7	17	36	luma
65	ENSG00000075856	12	19	35	luma
61	ENSG00000184047	12	21	34	luma
106	ENSG00000167985	11	13	32	luma
64	ENSG00000161204	3	20	31	luma
71	ENSG00000198356	19	19	30	luma
91	ENSG00000120265	6	15	29	luma
83	ENSG00000111667	12	17	29	luma
73	ENSG00000149564	1	19	26	luma
104	ENSG00000242574	6	12	26	luma
89	ENSG00000165660	10	16	24	luma
72	ENSG00000138246	3	20	24	luma
100	ENSG00000198342	19	13	24	luma
90	ENSG00000278259	17	16	23	luma
120	ENSG00000145649	17	11	23	luma
74	ENSG00000132155	3	19	23	luma
77	ENSG00000164338	5	17	22	luma
92	ENSG00000063322	19	14	21	luma
76	ENSG00000126267	19	19	21	luma
99	ENSG00000249915	5	15	20	luma
97	ENSG00000204262	2	13	20	luma
95	ENSG00000113312	5	13	19	luma
94	ENSG00000183495	12	16	19	luma
117	ENSG00000135372	11	11	18	luma
110	ENSG00000103356	16	14	17	luma
93	ENSG00000067334	1	15	17	luma
131	ENSG00000160336	19	7	17	luma
152	ENSG00000197903	6	7	17	luma
101	ENSG00000125971	20	12	16	luma
98	ENSG00000155827	9	15	16	luma
102	ENSG00000174013	3	13	16	luma
105	ENSG00000064313	8	13	16	luma
116	ENSG00000031823	19	11	15	luma
109	ENSG00000136522	3	12	15	luma
151	ENSG00000120093	17	7	15	luma
114	ENSG00000107796	1	11	15	luma
123	ENSG00000253731	5	10	15	luma
153	ENSG00000171115	7	7	14	luma
108	ENSG00000168329	3	11	14	luma
115	ENSG00000174437	12	11	13	luma
155	ENSG00000249471	19	7	13	luma
144	ENSG00000143476	1	11	13	luma
149	ENSG00000254709	22	7	13	luma
148	ENSG00000102401	X	7	13	luma
118	ENSG00000196670	5	11	13	luma
137	ENSG00000197619	19	8	13	luma
139	ENSG00000129518	14	9	12	luma
173	ENSG00000106004	7	6	12	luma
111	ENSG00000163798	2	11	12	luma
103	ENSG00000138802	4	13	12	luma
107	ENSG00000065526	1	11	11	luma
129	ENSG00000116288	1	11	11	luma
112	ENSG00000120324	5	11	11	luma
124	ENSG00000145740	5	10	11	luma
119	ENSG00000117751	1	11	11	luma
122	ENSG00000138398	2	10	11	luma
134	ENSG00000173372	1	8	11	luma
143	ENSG00000137185	6	7	11	luma
142	ENSG00000198040	12	8	11	luma
175	ENSG00000049246	1	6	10	luma
113	ENSG00000115685	2	11	10	luma
125	ENSG00000127837	2	9	10	luma
145	ENSG00000166200	15	9	10	luma
166	ENSG00000198466	19	6	10	luma
121	ENSG00000130021	X	10	9	luma
