com_id	pg_gene	chr	order	size
25	ENSG00000173276	1	787	3344
60	ENSG00000118596	1	680	3171
326	ENSG00000043039	1	713	2233
268	ENSG00000117682	1	464	2010
19	ENSG00000115414	1	571	1161
45	ENSG00000175467	19	384	975
318	ENSG00000137804	1	87	844
218	ENSG00000174151	1	355	767
32	ENSG00000119138	1	109	450
330	ENSG00000144426	1	177	239
298	ENSG00000173692	19	139	177
243	ENSG00000123243	1	85	148
127	ENSG00000130176	1	105	148
110	ENSG00000149564	1	115	145
163	ENSG00000134970	2	103	137
177	ENSG00000100138	22	91	125
202	ENSG00000139083	2	90	122
69	ENSG00000065802	17	97	112
151	ENSG00000121897	1	80	91
340	ENSG00000102575	1	54	86
116	ENSG00000163714	1	68	78
302	ENSG00000108306	17	47	52
274	ENSG00000147155	17	24	48
10	ENSG00000149534	1	14	41
4	ENSG00000134321	12	13	35
85	ENSG00000056736	11	22	25
316	ENSG00000204287	6	11	21
185	ENSG00000197442	1	14	13
157	ENSG00000159202	17	11	10
264	ENSG00000276180	6	6	10
46	ENSG00000145391	4	9	8
67	ENSG00000135334	6	7	8
188	ENSG00000099204	10	8	7
267	ENSG00000135932	19	8	7
144	ENSG00000107262	14	6	5
42	ENSG00000108848	1	5	5
370	ENSG00000277363	14	6	5
96	ENSG00000136877	16	6	5
114	ENSG00000144645	3	6	5
142	ENSG00000171475	17	6	5
312	ENSG00000168329	1	6	5
265	ENSG00000185049	4	5	4
37	ENSG00000103490	6	5	4
358	ENSG00000108828	17	5	4
301	ENSG00000042062	14	5	4
248	ENSG00000073861	10	5	4
5	ENSG00000125835	20	5	4
139	ENSG00000110274	11	5	4
154	ENSG00000053747	1	5	4
213	ENSG00000164764	11	5	4
71	ENSG00000090520	22	4	3
252	ENSG00000125386	3	4	3
73	ENSG00000129460	11	4	3
97	ENSG00000137033	X	4	3
104	ENSG00000115216	1	4	3
8	ENSG00000163734	4	4	3
176	ENSG00000164176	1	4	3
80	ENSG00000167700	1	4	3
207	ENSG00000169035	19	4	3
297	ENSG00000170421	12	4	3
220	ENSG00000171791	18	4	3
247	ENSG00000180488	8	4	3
293	ENSG00000197162	1	4	3
325	ENSG00000197892	8	4	3
