com_id	pg_gene	chr	order	size	cond
1	ENSG00000184887	1	1019	6772	healthy
5	ENSG00000173276	1	881	3885	healthy
2	ENSG00000132561	1	743	1488	healthy
8	ENSG00000175467	19	578	1299	healthy
12	ENSG00000148773	1	87	844	healthy
9	ENSG00000145685	1	492	670	healthy
6	ENSG00000174151	17	334	453	healthy
13	ENSG00000157514	1	116	449	healthy
11	ENSG00000123243	1	228	305	healthy
7	ENSG00000121897	1	209	265	healthy
3	ENSG00000149564	19	132	190	healthy
4	ENSG00000173372	1	108	153	healthy
10	ENSG00000034677	2	105	141	healthy
15	ENSG00000130176	1	78	117	healthy
14	ENSG00000134970	2	96	107	healthy
19	ENSG00000100138	22	38	43	healthy
16	ENSG00000104853	19	42	43	healthy
266	ENSG00000163751	1	14	41	healthy
397	ENSG00000134321	12	13	35	healthy
18	ENSG00000164199	3	28	31	healthy
17	ENSG00000100401	1	28	28	healthy
104	ENSG00000196126	6	11	21	healthy
23	ENSG00000132434	13	17	16	healthy
42	ENSG00000120885	1	10	10	healthy
48	ENSG00000162998	1	11	10	healthy
58	ENSG00000159202	17	11	10	healthy
326	ENSG00000276180	6	6	10	healthy
27	ENSG00000058056	19	10	9	healthy
20	ENSG00000077274	11	8	7	healthy
228	ENSG00000204590	6	7	7	healthy
59	ENSG00000150459	1	7	6	healthy
169	ENSG00000107262	14	6	5	healthy
353	ENSG00000108848	1	5	5	healthy
132	ENSG00000131143	16	6	5	healthy
21	ENSG00000277363	14	6	5	healthy
22	ENSG00000136877	16	6	5	healthy
206	ENSG00000144645	3	6	5	healthy
51	ENSG00000171475	17	6	5	healthy
32	ENSG00000168329	1	6	5	healthy
99	ENSG00000157510	10	5	4	healthy
117	ENSG00000185049	4	5	4	healthy
75	ENSG00000103490	6	5	4	healthy
91	ENSG00000141385	10	5	4	healthy
84	ENSG00000213463	14	5	4	healthy
94	ENSG00000108828	17	5	4	healthy
65	ENSG00000073861	10	5	4	healthy
37	ENSG00000125835	20	5	4	healthy
41	ENSG00000153561	17	5	4	healthy
31	ENSG00000110274	11	5	4	healthy
43	ENSG00000110092	11	5	4	healthy
255	ENSG00000090520	22	4	3	healthy
200	ENSG00000115091	10	4	3	healthy
163	ENSG00000181555	3	4	3	healthy
111	ENSG00000129460	11	4	3	healthy
114	ENSG00000063587	X	4	3	healthy
190	ENSG00000115216	1	4	3	healthy
116	ENSG00000163734	4	4	3	healthy
60	ENSG00000164176	1	4	3	healthy
146	ENSG00000169035	19	4	3	healthy
135	ENSG00000171791	18	4	3	healthy
62	ENSG00000180488	8	4	3	healthy
122	ENSG00000055147	5	3	2	healthy
69	ENSG00000092470	14	3	2	healthy
39	ENSG00000005339	16	3	2	healthy
346	ENSG00000100911	14	3	2	healthy
166	ENSG00000105576	19	3	2	healthy
187	ENSG00000106571	2	3	2	healthy
73	ENSG00000109016	1	3	2	healthy
145	ENSG00000100226	16	3	2	healthy
28	ENSG00000108389	10	3	2	healthy
137	ENSG00000093010	1	3	2	healthy
337	ENSG00000000971	1	3	2	healthy
71	ENSG00000119965	10	3	2	healthy
61	ENSG00000120832	12	3	2	healthy
153	ENSG00000124214	16	3	2	healthy
316	ENSG00000120805	12	3	2	healthy
308	ENSG00000125629	16	3	2	healthy
30	ENSG00000127914	19	3	2	healthy
338	ENSG00000128709	2	3	2	healthy
38	ENSG00000112655	4	3	2	healthy
237	ENSG00000089009	12	3	2	healthy
67	ENSG00000122986	12	3	2	healthy
225	ENSG00000135929	2	3	2	healthy
204	ENSG00000137809	14	3	2	healthy
194	ENSG00000139163	9	3	2	healthy
284	ENSG00000153560	3	3	2	healthy
25	ENSG00000154380	1	3	2	healthy
193	ENSG00000164054	11	3	2	healthy
47	ENSG00000138777	15	3	2	healthy
87	ENSG00000168610	11	3	2	healthy
139	ENSG00000011009	1	3	2	healthy
92	ENSG00000170571	2	3	2	healthy
272	ENSG00000151413	11	3	2	healthy
158	ENSG00000171634	17	3	2	healthy
270	ENSG00000105640	19	3	2	healthy
165	ENSG00000163121	2	3	2	healthy
216	ENSG00000175203	12	3	2	healthy
185	ENSG00000177000	1	3	2	healthy
188	ENSG00000161298	19	3	2	healthy
243	ENSG00000178028	1	3	2	healthy
45	ENSG00000178573	16	3	2	healthy
83	ENSG00000179335	15	3	2	healthy
219	ENSG00000179639	1	3	2	healthy
327	ENSG00000083814	19	3	2	healthy
179	ENSG00000180884	13	3	2	healthy
343	ENSG00000181191	17	3	2	healthy
180	ENSG00000167615	1	3	2	healthy
273	ENSG00000185869	19	3	2	healthy
209	ENSG00000188313	10	3	2	healthy
134	ENSG00000188647	1	3	2	healthy
152	ENSG00000189337	1	3	2	healthy
131	ENSG00000196867	19	3	2	healthy
90	ENSG00000198783	15	3	2	healthy
198	ENSG00000170633	12	3	2	healthy
213	ENSG00000198843	3	3	2	healthy
159	ENSG00000206560	17	3	2	healthy
88	ENSG00000214160	1	3	2	healthy
298	ENSG00000275464	21	3	2	healthy
218	ENSG00000078140	17	2	1	healthy
33	ENSG00000085998	1	2	1	healthy
291	ENSG00000086848	11	2	1	healthy
288	ENSG00000099812	16	2	1	healthy
