ID	symbol	community_type
GO:0043161	NA	*
GO:0010498	NA	*
GO:0043488	NA	*
GO:0006521	NA	*
GO:0043487	NA	*
GO:1901532	NA	*
GO:0061013	NA	*
GO:0031146	NA	*
GO:0043687	NA	*
GO:1902036	NA	*
GO:0008380	NA	*
GO:0006397	NA	*
GO:0000377	NA	*
GO:0000398	NA	*
GO:0000375	NA	*
GO:0022613	NA	*
GO:0006614	NA	*
GO:0006613	NA	*
GO:0045047	NA	*
GO:0072599	NA	*
GO:0000184	NA	*
GO:0070972	NA	*
GO:0019083	NA	*
GO:0006612	NA	*
GO:0006413	NA	*
GO:0019080	NA	*
GO:0000956	NA	*
GO:0090150	NA	*
GO:0006402	NA	*
GO:0006401	NA	*
GO:0006605	NA	*
GO:0072594	NA	*
GO:0002181	NA	*
GO:0042254	NA	*
GO:0006364	NA	*
GO:0016072	NA	*
GO:0042255	NA	*
GO:0042274	NA	*
GO:0034470	NA	*
GO:0042273	NA	*
GO:0000028	NA	*
GO:0071826	NA	*
GO:0022618	NA	*
GO:0000027	NA	*
GO:0000470	NA	*
GO:0034248	NA	*
GO:0006417	NA	*
GO:0030490	NA	*
GO:0051444	NA	*
GO:0000462	NA	*
GO:1904666	NA	*
GO:2000059	NA	*
GO:0051438	NA	*
GO:1903051	NA	*
GO:0140014	FOXM1	*
GO:0000280	FOXM1	*
GO:0048285	FOXM1	*
GO:0007059	FOXM1	*
GO:0000070	FOXM1	*
GO:0000819	FOXM1	*
GO:0098813	FOXM1	*
GO:1902850	FOXM1	*
GO:0051983	FOXM1	*
GO:0007088	FOXM1	*
GO:0000226	FOXM1	*
GO:0051783	FOXM1	*
GO:1901987	FOXM1	*
GO:0007051	FOXM1	*
GO:1901990	FOXM1	*
GO:0007052	FOXM1	*
GO:0010965	FOXM1	*
GO:0051306	FOXM1	*
GO:0033045	FOXM1	*
GO:1905818	FOXM1	*
GO:0010948	FOXM1	*
GO:0051304	FOXM1	*
GO:0008608	FOXM1	*
GO:0033047	FOXM1	*
GO:0090068	FOXM1	*
GO:0000075	FOXM1	*
GO:0044839	FOXM1	*
GO:0051303	FOXM1	*
GO:0030071	FOXM1	*
GO:0050000	FOXM1	*
GO:1902099	FOXM1	*
GO:0007091	FOXM1	*
GO:0044784	FOXM1	*
GO:0007093	FOXM1	*
GO:0000086	FOXM1	*
GO:0051310	FOXM1	*
GO:0033046	FOXM1	*
GO:0051985	FOXM1	*
GO:0051321	FOXM1	*
GO:0045787	FOXM1	*
GO:1905819	FOXM1	*
GO:2000816	FOXM1	*
GO:0090307	FOXM1	*
GO:0051225	FOXM1	*
GO:0071103	FOXM1	*
GO:0033048	FOXM1	*
GO:1903046	FOXM1	*
GO:1901988	FOXM1	*
GO:0045839	FOXM1	*
GO:1902749	FOXM1	*
GO:0140013	FOXM1	*
GO:0045930	FOXM1	*
GO:0007094	FOXM1	*
GO:0031577	FOXM1	*
GO:0071173	FOXM1	*
GO:0071174	FOXM1	*
GO:0045931	FOXM1	*
GO:0051784	FOXM1	*
GO:0006323	FOXM1	*
GO:1901991	FOXM1	*
GO:0045841	FOXM1	*
GO:1902100	FOXM1	*
GO:0033044	FOXM1	*
GO:0010389	FOXM1	*
GO:1901989	FOXM1	*
GO:0051656	FOXM1	*
GO:0007080	FOXM1	*
GO:1901992	FOXM1	*
GO:2001251	FOXM1	*
GO:0045132	FOXM1	*
GO:0051653	FOXM1	*
GO:0000281	FOXM1	*
GO:0044843	FOXM1	*
GO:0031570	FOXM1	*
GO:0031145	FOXM1	*
GO:0030261	FOXM1	*
GO:0040001	FOXM1	*
GO:0061640	FOXM1	*
GO:0065004	FOXM1	*
GO:0051293	FOXM1	*
GO:0051383	FOXM1	*
GO:0071459	FOXM1	*
GO:0000910	FOXM1	*
GO:0034508	FOXM1	*
GO:0007018	FOXM1	*
GO:0006260	FOXM1	*
GO:0034502	FOXM1	*
GO:0071824	FOXM1	*
GO:0007077	FOXM1	*
GO:0051988	FOXM1	*
GO:0006890	FOXM1	*
GO:0007062	FOXM1	*
GO:0051315	FOXM1	*
GO:0000082	FOXM1	*
GO:0000079	FOXM1	*
GO:0019886	FOXM1	*
GO:0002495	FOXM1	*
GO:0002504	FOXM1	*
GO:1904029	FOXM1	*
GO:0000076	FOXM1	*
GO:0007076	FOXM1	*
GO:0030397	FOXM1	*
GO:0051081	FOXM1	*
GO:0044774	FOXM1	*
GO:0034501	FOXM1	*
GO:0072395	FOXM1	*
GO:0072401	FOXM1	*
GO:0072422	FOXM1	*
GO:0045840	FOXM1	*
GO:0010639	FOXM1	*
GO:0006336	FOXM1	*
GO:0034724	FOXM1	*
GO:1904666	FOXM1	*
GO:0007098	FOXM1	*
GO:0042770	FOXM1	*
GO:0006334	FOXM1	*
GO:0031023	FOXM1	*
GO:0010971	FOXM1	*
GO:0051785	FOXM1	*
GO:0051302	FOXM1	*
GO:0061982	FOXM1	*
GO:0044818	FOXM1	*
GO:1902751	FOXM1	*
GO:0000077	FOXM1	*
GO:0000132	FOXM1	*
GO:1902750	FOXM1	*
GO:0007276	FOXM1	*
GO:0031572	FOXM1	*
GO:0031497	FOXM1	*
GO:1904668	FOXM1	*
GO:0051294	FOXM1	*
GO:0034080	FOXM1	*
GO:0061641	FOXM1	*
GO:0006270	FOXM1	*
GO:0002478	FOXM1	*
GO:0032465	FOXM1	*
GO:0034728	FOXM1	*
GO:0019884	FOXM1	*
GO:0031055	FOXM1	*
GO:0090231	FOXM1	*
GO:0090266	FOXM1	*
GO:1903504	FOXM1	*
GO:0051445	FOXM1	*
GO:0048002	FOXM1	*
GO:0006333	FOXM1	*
