chr	start	end	id	score	phits	ghits	near_region	near_distance	type
1	11149	11522	MACS_peak_1	2188.98	0	0	ENSG00000188976	927681	intergen
1	74437	74818	MACS_peak_3	52.67	0	0	ENSG00000188976	864385	intergen
1	91267	91646	MACS_peak_4	732.21	0	0	ENSG00000188976	847557	intergen
1	104792	105111	MACS_peak_5	311.24	0	0	ENSG00000188976	834092	intergen
1	105360	105727	MACS_peak_6	201.59	0	0	ENSG00000188976	833476	intergen
1	138946	139307	MACS_peak_7	492.78	0	0	ENSG00000188976	799896	intergen
1	140190	140427	MACS_peak_8	1080.42	0	0	ENSG00000188976	798776	intergen
1	267835	268241	MACS_peak_9	793.16	0	0	ENSG00000188976	670962	intergen
1	281471	281675	MACS_peak_10	381.61	0	0	ENSG00000188976	657528	intergen
1	281924	282291	MACS_peak_11	201.59	0	0	ENSG00000188976	656912	intergen
1	498799	499036	MACS_peak_12	651.74	0	0	ENSG00000188976	440167	intergen
1	495392	495629	MACS_peak_13	376.34	0	0	ENSG00000188976	443574	intergen
1	494148	494509	MACS_peak_14	458.95	0	0	ENSG00000188976	444694	intergen
1	449527	449927	MACS_peak_15	412.5	0	0	ENSG00000188976	489276	intergen
1	435592	435937	MACS_peak_16	163.66	0	0	ENSG00000188976	503266	intergen
1	434322	434758	MACS_peak_17	62.51	0	0	ENSG00000188976	504445	intergen
1	430164	430427	MACS_peak_19	251.36	0	0	ENSG00000188976	508776	intergen
1	402518	402803	MACS_peak_20	1013.15	0	0	ENSG00000188976	536400	intergen
1	369811	370080	MACS_peak_22	127.5	0	0	ENSG00000188976	569123	intergen
1	357228	357623	MACS_peak_23	1112.78	0	0	ENSG00000188976	581580	intergen
1	586000	586395	MACS_peak_24	1722.91	0	0	ENSG00000188976	352808	intergen
1	638271	638708	MACS_peak_27	402.39	0	0	ENSG00000188976	300495	intergen
1	665905	666168	MACS_peak_28	329.3	0	0	ENSG00000188976	273035	intergen
1	670571	670916	MACS_peak_29	168.95	0	0	ENSG00000188976	268287	intergen
1	684503	684903	MACS_peak_30	412.5	0	0	ENSG00000188976	254300	intergen
1	709694	710032	MACS_peak_31	129.29	0	0	ENSG00000188976	229171	intergen
1	729024	729415	MACS_peak_32	281.41	0	0	ENSG00000188976	209788	intergen
1	730298	730535	MACS_peak_33	383.96	0	0	ENSG00000188976	208668	intergen
1	737113	737350	MACS_peak_34	833.25	0	0	ENSG00000188976	201853	intergen
1	740529	740766	MACS_peak_35	797.19	0	0	ENSG00000188976	198437	intergen
1	754453	754823	MACS_peak_36	194.41	0	0	ENSG00000188976	184380	intergen
1	788681	788880	MACS_peak_37	102.63	0	0	ENSG00000188976	150323	intergen
1	790647	791115	MACS_peak_39	172.15	0	0	ENSG00000188976	148088	intergen
1	791244	791720	MACS_peak_40	197.74	0	0	ENSG00000188976	147483	intergen
1	857883	858216	MACS_peak_41	793.64	0	0	ENSG00000188976	80987	intergen
1	1443392	1443724	MACS_peak_42	220.37	0	0	ENSG00000160072	23044	intergen
1	1681979	1682119	MACS_peak_43	275.54	0	0	ENSG00000248333	22966	intergen
1	2174377	2174590	MACS_peak_44	596.79	0	0	ENSG00000162585	4870	intergen
1	2364351	2364639	MACS_peak_45	103.45	0	0	ENSG00000157916	22135	intergen
1	3254892	3255248	MACS_peak_46	80.17	0	0	ENSG00000158109	364753	intergen
1	3621301	3621482	MACS_peak_47	1569.18	1	0	ENSG00000158109	0	promoter
1	3724546	3724726	MACS_peak_48	746.04	0	0	ENSG00000130764	48831	intergen
1	3801606	3801829	MACS_peak_49	1180.64	0	0	ENSG00000130764	5101	intergen
1	3849254	3849393	MACS_peak_50	1043.77	0	1	ENSG00000116198	0	gene
1	5075519	5075919	MACS_peak_52	504.65	0	0	ENSG00000116251	1104100	intergen
1	5115830	5116135	MACS_peak_53	184.68	0	0	ENSG00000116251	1063884	intergen
1	5745899	5746114	MACS_peak_55	746.04	0	0	ENSG00000116251	433905	intergen
1	5825012	5825390	MACS_peak_56	129.87	0	0	ENSG00000116251	354629	intergen
1	6343512	6343735	MACS_peak_57	712.32	0	0	ENSG00000187017	76040	intergen
1	6404702	6405010	MACS_peak_58	473.53	0	0	ENSG00000187017	14765	intergen
1	6742514	6742846	MACS_peak_59	542.96	0	0	ENSG00000007923	40589	intergen
1	6998275	6998617	MACS_peak_60	420.18	0	0	ENSG00000007923	296350	intergen
1	7042813	7043094	MACS_peak_61	453.96	0	0	ENSG00000007923	340888	intergen
1	7070426	7070703	MACS_peak_62	456.44	0	0	ENSG00000007923	368501	intergen
1	7414707	7415085	MACS_peak_63	65.66	0	0	ENSG00000049246	364234	intergen
1	7647244	7647522	MACS_peak_64	709.17	0	0	ENSG00000049246	131797	intergen
1	7667423	7667884	MACS_peak_65	825.38	0	0	ENSG00000049246	111435	intergen
1	7808412	7808703	MACS_peak_66	312.33	0	1	ENSG00000049246	0	gene
1	7967141	7967350	MACS_peak_67	780.06	0	1	ENSG00000116288	0	gene
1	8031286	8031506	MACS_peak_68	564.54	0	0	ENSG00000116285	4977	intergen
1	8277747	8277980	MACS_peak_69	538.37	0	0	ENSG00000142599	69416	intergen
1	8561116	8561391	MACS_peak_70	1128.24	0	1	ENSG00000142599	0	gene
1	8823296	8823434	MACS_peak_71	831.96	0	0	ENSG00000142599	5652	intergen
1	9116053	9116446	MACS_peak_73	953.02	0	0	ENSG00000142599	298409	intergen
1	9181304	9181568	MACS_peak_74	590.39	0	0	ENSG00000142599	363660	intergen
1	9206690	9206956	MACS_peak_75	201.59	0	0	ENSG00000142599	389046	intergen
1	9536450	9536671	MACS_peak_76	432.48	0	0	ENSG00000162441	380441	intergen
1	9624718	9624853	MACS_peak_77	1143.32	0	0	ENSG00000162441	292259	intergen
1	10428138	10428392	MACS_peak_79	596.79	0	0	ENSG00000160049	23129	intergen
1	10507521	10507787	MACS_peak_80	463.44	0	0	ENSG00000160049	34994	intergen
1	11086620	11086991	MACS_peak_81	228.35	0	1	ENSG00000171824	0	gene
1	11337637	11337810	MACS_peak_82	780.06	0	0	ENSG00000120942	41587	intergen
1	11642461	11642648	MACS_peak_83	901.33	0	1	ENSG00000116661	0	gene
1	11954303	11954502	MACS_peak_84	809.56	0	1	ENSG00000083444	0	gene
1	12106890	12107269	MACS_peak_85	402.61	0	0	ENSG00000116688	93375	intergen
1	12936314	12936672	MACS_peak_86	1314.22	0	0	ENSG00000048707	424266	intergen
1	13265113	13265430	MACS_peak_88	1220.3	0	0	ENSG00000048707	753065	intergen
1	13277046	13277283	MACS_peak_89	516.86	0	0	ENSG00000048707	764998	intergen
1	13354644	13354867	MACS_peak_90	712.32	0	0	ENSG00000048707	842596	intergen
1	13543934	13544206	MACS_peak_92	449.74	0	0	ENSG00000048707	1031886	intergen
1	13828894	13829124	MACS_peak_93	831.63	0	0	ENSG00000048707	1316846	intergen
1	14417988	14418139	MACS_peak_94	511.88	0	0	ENSG00000116138	1103673	intergen
1	14727361	14727593	MACS_peak_95	197.5	0	0	ENSG00000116138	794219	intergen
1	15323590	15323850	MACS_peak_96	725.38	0	0	ENSG00000116138	197962	intergen
1	15638419	15638555	MACS_peak_97	1358.26	0	0	ENSG00000116138	46039	intergen
1	15792102	15792307	MACS_peak_98	1087.07	0	0	ENSG00000065526	50556	intergen
1	15833231	15833580	MACS_peak_99	416.71	0	0	ENSG00000065526	9283	intergen
1	16573281	16573628	MACS_peak_100	113.5	0	0	ENSG00000055070	175135	intergen
1	16579145	16579445	MACS_peak_101	815.33	0	0	ENSG00000055070	180999	intergen
1	16585441	16585741	MACS_peak_102	927.4	0	0	ENSG00000055070	187295	intergen
1	16591715	16592067	MACS_peak_103	694.41	0	0	ENSG00000055070	193569	intergen
1	16609153	16609369	MACS_peak_104	1054.55	0	0	ENSG00000055070	211007	intergen
1	16621066	16621402	MACS_peak_105	734.45	0	0	ENSG00000055070	222920	intergen
1	16624931	16625296	MACS_peak_106	1474.76	0	0	ENSG00000055070	226785	intergen
1	16656596	16656896	MACS_peak_107	335.48	0	0	ENSG00000055070	258450	intergen
1	16684807	16685127	MACS_peak_108	1029.07	0	0	ENSG00000055070	286661	intergen
1	16750571	16750871	MACS_peak_109	562.58	0	0	ENSG00000159363	230086	intergen
1	16951709	16951925	MACS_peak_110	580.62	0	0	ENSG00000159363	29032	intergen
1	17419828	17420134	MACS_peak_111	439.28	0	0	ENSG00000117118	365657	intergen
1	17485336	17485603	MACS_peak_112	418.12	0	0	ENSG00000117118	431165	intergen
1	18100559	18100799	MACS_peak_113	645.81	0	0	ENSG00000127481	968706	intergen
1	18502737	18502987	MACS_peak_114	288.88	0	0	ENSG00000127481	566518	intergen
1	18510434	18510621	MACS_peak_115	901.33	0	0	ENSG00000127481	558884	intergen
1	18581534	18581794	MACS_peak_116	725.38	0	0	ENSG00000127481	487711	intergen
1	18820837	18821164	MACS_peak_117	546.09	0	0	ENSG00000127481	248341	intergen
1	20100972	20101209	MACS_peak_118	814.37	0	0	ENSG00000169914	188026	intergen
1	20151504	20151801	MACS_peak_119	127.5	0	0	ENSG00000169914	238558	intergen
1	20259500	20259637	MACS_peak_120	1420.82	0	0	ENSG00000169914	346554	intergen
1	20522317	20522622	MACS_peak_121	497.03	0	0	ENSG00000244038	124144	intergen
1	20665211	20665513	MACS_peak_122	506.92	0	0	ENSG00000244038	3666	intergen
1	20907867	20908219	MACS_peak_123	86.75	0	0	ENSG00000244038	246322	intergen
1	21084691	21084943	MACS_peak_124	565.32	0	0	ENSG00000244038	423146	intergen
1	21179782	21180257	MACS_peak_125	554.67	0	0	ENSG00000090686	493040	intergen
1	21370443	21370860	MACS_peak_126	611.54	0	0	ENSG00000090686	302437	intergen
1	21694568	21694710	MACS_peak_127	384.6	0	1	ENSG00000090686	0	gene
1	21701360	21701500	MACS_peak_128	1136.75	0	1	ENSG00000090686	0	gene
1	22674250	22674416	MACS_peak_129	831.63	0	0	ENSG00000173369	12711	intergen
1	22889272	22889574	MACS_peak_130	441.54	0	0	ENSG00000004487	124868	intergen
1	23228552	23228765	MACS_peak_131	149.72	0	0	ENSG00000004487	144862	intergen
1	23703589	23703906	MACS_peak_132	552.5	0	0	ENSG00000142676	6753	intergen
1	23772166	23772389	MACS_peak_133	564.54	0	0	ENSG00000057757	1015	intergen
1	24390073	24390417	MACS_peak_134	784.68	0	1	ENSG00000001460	0	gene
1	24527260	24527498	MACS_peak_135	1264.23	0	0	ENSG00000001461	54283	intergen
1	24635290	24635555	MACS_peak_136	464.09	1	0	ENSG00000133226	0	promoter
1	24766373	24766608	MACS_peak_137	329.35	0	0	ENSG00000133226	93105	intergen
1	24830757	24831122	MACS_peak_138	362.15	0	0	ENSG00000133226	157489	intergen
1	24898172	24898424	MACS_peak_139	613.82	0	0	ENSG00000133226	224904	intergen
1	25289966	25290310	MACS_peak_140	419.18	0	0	ENSG00000133226	616698	intergen
1	25403058	25403409	MACS_peak_141	415.73	0	0	ENSG00000133226	729790	intergen
1	25412607	25412946	MACS_peak_142	482.54	0	0	ENSG00000133226	739339	intergen
1	25507792	25508094	MACS_peak_143	92.78	0	0	ENSG00000133226	834524	intergen
1	25508540	25508743	MACS_peak_144	145.08	0	0	ENSG00000133226	835272	intergen
1	25796891	25797192	MACS_peak_145	442.11	0	0	ENSG00000117682	630089	intergen
1	25998208	25998383	MACS_peak_146	780.06	0	0	ENSG00000117682	428898	intergen
1	26035916	26036263	MACS_peak_147	417.69	0	0	ENSG00000117682	391018	intergen
1	26164253	26164508	MACS_peak_148	596.79	0	0	ENSG00000117682	262773	intergen
1	26332914	26333053	MACS_peak_149	1309.64	0	0	ENSG00000117682	94228	intergen
1	26363858	26364154	MACS_peak_150	566.68	0	0	ENSG00000117682	63127	intergen
1	26399602	26399961	MACS_peak_151	734.33	0	0	ENSG00000117682	27320	intergen
1	26488429	26488729	MACS_peak_152	427.96	0	0	ENSG00000117682	17134	intergen
1	26602213	26602642	MACS_peak_153	767.78	0	0	ENSG00000117713	85593	intergen
1	26878026	26878314	MACS_peak_154	700.62	1	0	ENSG00000142751	0	promoter
1	26997648	26997903	MACS_peak_155	596.79	0	0	ENSG00000175707	37241	intergen
1	27198031	27198201	MACS_peak_156	879.24	0	0	ENSG00000158195	201024	intergen
1	27284810	27285064	MACS_peak_157	1317.49	0	0	ENSG00000158195	114161	intergen
1	27556759	27557047	MACS_peak_158	572.35	0	0	ENSG00000000938	50016	intergen
1	27669177	27669561	MACS_peak_159	754.42	0	0	ENSG00000000938	33899	intergen
1	27672268	27672610	MACS_peak_160	420.18	0	0	ENSG00000000938	36990	intergen
1	28006676	28006885	MACS_peak_161	558.17	0	0	ENSG00000117748	91929	intergen
1	28409805	28409994	MACS_peak_162	1129.71	0	0	ENSG00000130772	73837	intergen
1	28640868	28641158	MACS_peak_163	448.52	0	0	ENSG00000130772	304900	intergen
1	28695856	28696077	MACS_peak_164	237.59	0	0	ENSG00000130772	359888	intergen
1	28792787	28793014	MACS_peak_165	695.57	0	0	ENSG00000130772	456819	intergen
1	28851828	28852132	MACS_peak_166	142.05	0	0	ENSG00000130772	515860	intergen
1	28877234	28877530	MACS_peak_167	542.62	0	0	ENSG00000130772	541266	intergen
1	29245878	29246105	MACS_peak_168	695.57	0	0	ENSG00000130772	909910	intergen
1	29269746	29269934	MACS_peak_169	695.57	0	0	ENSG00000130772	933778	intergen
1	29773907	29774291	MACS_peak_170	972.38	0	0	ENSG00000162511	953177	intergen
1	29997287	29997662	MACS_peak_171	79.24	0	0	ENSG00000162511	729806	intergen
1	30309150	30309540	MACS_peak_173	89.02	0	0	ENSG00000162511	417928	intergen
1	30455010	30455318	MACS_peak_174	137.06	0	0	ENSG00000162511	272150	intergen
1	30496063	30496516	MACS_peak_175	78.44	0	0	ENSG00000162511	230952	intergen
1	30567745	30568051	MACS_peak_176	270.85	0	0	ENSG00000162511	159417	intergen
1	31663926	31664194	MACS_peak_178	462.14	0	0	ENSG00000162517	19029	intergen
1	32066055	32066199	MACS_peak_179	392.74	0	0	ENSG00000025800	36838	intergen
1	32109480	32109695	MACS_peak_180	799.34	1	0	ENSG00000025800	0	promoter
1	32215701	32216058	MACS_peak_181	399.64	1	0	ENSG00000160055	0	promoter
1	32520352	32520710	MACS_peak_182	2805.6	0	0	ENSG00000176261	74461	intergen
1	32524193	32524648	MACS_peak_183	260.52	0	0	ENSG00000176261	70523	intergen
1	32581070	32581419	MACS_peak_184	887.47	0	0	ENSG00000176261	13752	intergen
1	33194427	33194562	MACS_peak_185	1079.97	0	0	ENSG00000004455	113430	intergen
1	33675304	33675683	MACS_peak_186	57.46	0	0	ENSG00000004455	594307	intergen
1	33833315	33833647	MACS_peak_187	62.38	0	0	ENSG00000004455	752318	intergen
1	34096997	34097399	MACS_peak_188	75.85	0	0	ENSG00000004455	1016000	intergen
1	34255973	34256306	MACS_peak_189	123.2	0	0	ENSG00000142687	1172183	intergen
1	34419803	34420106	MACS_peak_190	561.84	0	0	ENSG00000142687	1008383	intergen
1	34549226	34549468	MACS_peak_191	501.16	0	0	ENSG00000142687	879021	intergen
1	34852702	34853018	MACS_peak_193	808.09	0	0	ENSG00000142687	575471	intergen
1	34866417	34866631	MACS_peak_194	596.79	0	0	ENSG00000142687	561858	intergen
1	34955907	34956285	MACS_peak_195	69.86	0	0	ENSG00000142687	472204	intergen
1	35025363	35025700	MACS_peak_196	603.02	0	0	ENSG00000142687	402789	intergen
1	35260765	35261082	MACS_peak_197	578.24	0	0	ENSG00000142687	167407	intergen
1	35274610	35274745	MACS_peak_198	702.09	0	0	ENSG00000142687	153744	intergen
1	36149559	36149840	MACS_peak_199	453.96	0	1	ENSG00000054116	0	gene
1	36544545	36545008	MACS_peak_200	534.92	0	0	ENSG00000116898	80107	intergen
1	36650540	36650742	MACS_peak_201	645.81	0	0	ENSG00000116898	186102	intergen
1	37209335	37209637	MACS_peak_202	75.54	0	0	ENSG00000163875	277937	intergen
1	37919368	37919591	MACS_peak_203	866.35	0	0	ENSG00000183431	32383	intergen
1	37970423	37970740	MACS_peak_204	76.3	0	1	ENSG00000183431	0	gene
1	37971799	37972153	MACS_peak_205	175.85	0	1	ENSG00000183431	0	gene
1	38562619	38562757	MACS_peak_206	960.73	0	0	ENSG00000183520	537794	intergen
1	38683478	38683612	MACS_peak_207	1666.76	0	0	ENSG00000183520	658653	intergen
1	39606234	39606628	MACS_peak_208	563.18	0	0	ENSG00000163909	12524	intergen
1	39799809	39800062	MACS_peak_209	470.06	0	0	ENSG00000043514	33047	intergen
1	39853286	39853582	MACS_peak_210	445	0	1	ENSG00000043514	0	gene
1	39973476	39973831	MACS_peak_211	631.61	0	0	ENSG00000116990	71219	intergen
1	40024462	40024653	MACS_peak_212	856.26	0	0	ENSG00000116990	122205	intergen
1	40032338	40032595	MACS_peak_213	542.24	0	0	ENSG00000116990	130081	intergen
1	40084765	40084944	MACS_peak_214	954.29	0	0	ENSG00000116990	182508	intergen
1	40183026	40183264	MACS_peak_215	662.31	0	0	ENSG00000116990	280769	intergen
1	40197729	40197933	MACS_peak_216	511.85	0	0	ENSG00000116990	295472	intergen
1	40246699	40247020	MACS_peak_217	429.01	0	0	ENSG00000116990	344442	intergen
1	40367185	40367479	MACS_peak_218	50.35	0	0	ENSG00000117016	248199	intergen
1	40668937	40669328	MACS_peak_219	1006.73	0	0	ENSG00000117016	3279	intergen
1	40948983	40949226	MACS_peak_220	645.81	0	0	ENSG00000117016	283325	intergen
1	41083838	41084267	MACS_peak_221	119.37	0	0	ENSG00000117016	418180	intergen
1	41117203	41117439	MACS_peak_222	1326.27	0	0	ENSG00000117016	451545	intergen
1	41854835	41855216	MACS_peak_223	157.92	0	0	ENSG00000117016	1189177	intergen
1	41993606	41993974	MACS_peak_225	182.81	0	0	ENSG00000179178	1271019	intergen
1	42095347	42095730	MACS_peak_226	95.04	0	0	ENSG00000179178	1169263	intergen
1	42233273	42233628	MACS_peak_227	54.01	0	0	ENSG00000179178	1031365	intergen
1	42344333	42344653	MACS_peak_228	306.6	0	0	ENSG00000179178	920340	intergen
1	42494973	42495307	MACS_peak_229	81.46	0	0	ENSG00000179178	769686	intergen
1	42709055	42709277	MACS_peak_230	1528.09	0	0	ENSG00000179178	555716	intergen
1	43917396	43917753	MACS_peak_231	721.05	0	0	ENSG00000117408	24185	intergen
1	44036678	44037052	MACS_peak_232	637.63	0	0	ENSG00000117408	68655	intergen
1	44092243	44092471	MACS_peak_233	655.31	0	0	ENSG00000117408	124220	intergen
1	44361463	44361747	MACS_peak_234	452.13	0	0	ENSG00000142945	373070	intergen
1	44595241	44595456	MACS_peak_235	596.79	0	0	ENSG00000142945	139361	intergen
1	44653006	44653253	MACS_peak_236	485.56	0	0	ENSG00000142945	81564	intergen
1	44796097	44796570	MACS_peak_238	2431.95	0	0	ENSG00000142937	17317	intergen
1	44835911	44836262	MACS_peak_239	531.49	0	0	ENSG00000070785	9259	intergen
1	45300383	45300572	MACS_peak_240	695.57	0	0	ENSG00000117450	205463	intergen
1	45512650	45512867	MACS_peak_241	901.33	1	0	ENSG00000117450	0	promoter
1	45725860	45726154	MACS_peak_242	219.32	0	0	ENSG00000117448	155810	intergen
1	46015846	46016224	MACS_peak_243	53.46	0	0	ENSG00000085998	167457	intergen
1	46016957	46017238	MACS_peak_244	79.34	0	0	ENSG00000085998	166443	intergen
1	46017307	46017645	MACS_peak_245	84.4	0	0	ENSG00000085998	166036	intergen
1	46223513	46223790	MACS_peak_246	564.42	0	0	ENSG00000085998	3207	intergen
