chr	start	end	id	score	size	phits	ghits	ohits	type
1	11149	11522	MACS_peak_1	2188.98	373	0	0	0	intergen
1	74437	74818	MACS_peak_3	52.67	381	0	0	0	intergen
1	91267	91646	MACS_peak_4	732.21	379	0	0	1	other
1	104792	105111	MACS_peak_5	311.24	319	0	0	1	other
1	105360	105727	MACS_peak_6	201.59	367	0	0	1	other
1	138946	139307	MACS_peak_7	492.78	361	0	0	0	intergen
1	140190	140427	MACS_peak_8	1080.42	237	0	0	0	intergen
1	267835	268241	MACS_peak_9	793.16	406	0	0	1	other
1	281471	281675	MACS_peak_10	381.61	204	0	0	1	other
1	281924	282291	MACS_peak_11	201.59	367	0	0	1	other
1	498799	499036	MACS_peak_12	651.74	237	0	0	1	other
1	495392	495629	MACS_peak_13	376.34	237	0	0	1	other
1	494148	494509	MACS_peak_14	458.95	361	0	0	1	other
1	449527	449927	MACS_peak_15	412.5	400	1	0	1	promoter
1	435592	435937	MACS_peak_16	163.66	345	0	0	1	other
1	434322	434758	MACS_peak_17	62.51	436	0	0	1	other
1	430164	430427	MACS_peak_19	251.36	263	0	0	1	other
1	402518	402803	MACS_peak_20	1013.15	285	0	0	1	other
1	369811	370080	MACS_peak_22	127.5	269	0	0	1	other
1	357228	357623	MACS_peak_23	1112.78	395	0	0	1	other
1	586000	586395	MACS_peak_24	1722.91	395	0	0	0	intergen
1	638271	638708	MACS_peak_27	402.39	437	0	0	1	other
1	665905	666168	MACS_peak_28	329.3	263	0	0	1	other
1	670571	670916	MACS_peak_29	168.95	345	0	0	1	other
1	684503	684903	MACS_peak_30	412.5	400	1	0	1	promoter
1	709694	710032	MACS_peak_31	129.29	338	0	0	1	other
1	729024	729415	MACS_peak_32	281.41	391	0	0	2	other
1	730298	730535	MACS_peak_33	383.96	237	0	0	2	other
1	737113	737350	MACS_peak_34	833.25	237	0	0	2	other
1	740529	740766	MACS_peak_35	797.19	237	0	0	2	other
1	754453	754823	MACS_peak_36	194.41	370	0	0	2	other
1	788681	788880	MACS_peak_37	102.63	199	0	0	2	other
1	790647	791115	MACS_peak_39	172.15	468	0	0	2	other
1	791244	791720	MACS_peak_40	197.74	476	0	0	2	other
1	857883	858216	MACS_peak_41	793.64	333	0	0	1	other
1	1443392	1443724	MACS_peak_42	220.37	332	0	0	0	intergen
1	1681979	1682119	MACS_peak_43	275.54	140	0	1	0	gen
1	2174377	2174590	MACS_peak_44	596.79	213	0	1	0	gen
1	2364351	2364639	MACS_peak_45	103.45	288	0	1	0	gen
1	3254892	3255248	MACS_peak_46	80.17	356	0	1	0	gen
1	3621301	3621482	MACS_peak_47	1569.18	181	1	0	0	promoter
1	3724546	3724726	MACS_peak_48	746.04	180	0	1	0	gen
1	3801606	3801829	MACS_peak_49	1180.64	223	0	0	0	intergen
1	3849254	3849393	MACS_peak_50	1043.77	139	0	1	0	gen
1	5075519	5075919	MACS_peak_52	504.65	400	0	0	0	intergen
1	5115830	5116135	MACS_peak_53	184.68	305	0	0	0	intergen
1	5745899	5746114	MACS_peak_55	746.04	215	0	0	0	intergen
1	5825012	5825390	MACS_peak_56	129.87	378	0	0	0	intergen
1	6343512	6343735	MACS_peak_57	712.32	223	0	1	0	gen
1	6404702	6405010	MACS_peak_58	473.53	308	0	0	0	intergen
1	6742514	6742846	MACS_peak_59	542.96	332	0	0	0	intergen
1	6998275	6998617	MACS_peak_60	420.18	342	0	1	0	gen
1	7042813	7043094	MACS_peak_61	453.96	281	0	1	0	gen
1	7070426	7070703	MACS_peak_62	456.44	277	0	1	0	gen
1	7414707	7415085	MACS_peak_63	65.66	378	0	1	0	gen
1	7647244	7647522	MACS_peak_64	709.17	278	0	1	0	gen
1	7667423	7667884	MACS_peak_65	825.38	461	0	1	0	gen
1	7808412	7808703	MACS_peak_66	312.33	291	0	1	0	gen
1	7967141	7967350	MACS_peak_67	780.06	209	0	1	0	gen
1	8031286	8031506	MACS_peak_68	564.54	220	0	0	1	other
1	8277747	8277980	MACS_peak_69	538.37	233	0	0	0	intergen
1	8561116	8561391	MACS_peak_70	1128.24	275	0	1	0	gen
1	8823296	8823434	MACS_peak_71	831.96	138	0	0	0	intergen
1	9116053	9116446	MACS_peak_73	953.02	393	0	1	0	gen
1	9181304	9181568	MACS_peak_74	590.39	264	0	0	1	other
1	9206690	9206956	MACS_peak_75	201.59	266	0	0	0	intergen
1	9536450	9536671	MACS_peak_76	432.48	221	1	0	0	promoter
1	9624718	9624853	MACS_peak_77	1143.32	135	0	0	0	intergen
1	10428138	10428392	MACS_peak_79	596.79	254	2	0	0	promoter
1	10507521	10507787	MACS_peak_80	463.44	266	0	1	0	gen
1	11086620	11086991	MACS_peak_81	228.35	371	0	1	0	gen
1	11337637	11337810	MACS_peak_82	780.06	173	0	0	0	intergen
1	11642461	11642648	MACS_peak_83	901.33	187	0	1	1	gen
1	11954303	11954502	MACS_peak_84	809.56	199	0	1	0	gen
1	12106890	12107269	MACS_peak_85	402.61	379	0	1	0	gen
1	12936314	12936672	MACS_peak_86	1314.22	358	1	0	0	promoter
1	13265113	13265430	MACS_peak_88	1220.3	317	0	0	0	intergen
1	13277046	13277283	MACS_peak_89	516.86	237	1	0	0	promoter
1	13354644	13354867	MACS_peak_90	712.32	223	0	0	0	intergen
1	13543934	13544206	MACS_peak_92	449.74	272	0	0	0	intergen
1	13828894	13829124	MACS_peak_93	831.63	230	0	0	0	intergen
1	14417988	14418139	MACS_peak_94	511.88	151	0	1	0	gen
1	14727361	14727593	MACS_peak_95	197.5	232	0	1	0	gen
1	15323590	15323850	MACS_peak_96	725.38	260	0	1	0	gen
1	15638419	15638555	MACS_peak_97	1358.26	136	0	1	0	gen
1	15792102	15792307	MACS_peak_98	1087.07	205	0	0	0	intergen
1	15833231	15833580	MACS_peak_99	416.71	349	0	0	0	intergen
1	16573281	16573628	MACS_peak_100	113.5	347	0	1	0	gen
1	16579145	16579445	MACS_peak_101	815.33	300	0	1	0	gen
1	16585441	16585741	MACS_peak_102	927.4	300	0	1	0	gen
1	16591715	16592067	MACS_peak_103	694.41	352	0	1	0	gen
1	16609153	16609369	MACS_peak_104	1054.55	216	0	1	0	gen
1	16621066	16621402	MACS_peak_105	734.45	336	0	0	1	other
1	16624931	16625296	MACS_peak_106	1474.76	365	0	0	1	other
1	16656596	16656896	MACS_peak_107	335.48	300	0	0	1	other
1	16684807	16685127	MACS_peak_108	1029.07	320	0	0	1	other
1	16750571	16750871	MACS_peak_109	562.58	300	0	1	1	gen
1	16951709	16951925	MACS_peak_110	580.62	216	0	1	0	gen
1	17419828	17420134	MACS_peak_111	439.28	306	0	1	0	gen
1	17485336	17485603	MACS_peak_112	418.12	267	0	0	0	intergen
1	18100559	18100799	MACS_peak_113	645.81	240	0	0	0	intergen
1	18502737	18502987	MACS_peak_114	288.88	250	0	0	0	intergen
1	18510434	18510621	MACS_peak_115	901.33	187	0	0	0	intergen
1	18581534	18581794	MACS_peak_116	725.38	260	0	0	0	intergen
1	18820837	18821164	MACS_peak_117	546.09	327	0	0	0	intergen
1	20100972	20101209	MACS_peak_118	814.37	237	0	0	0	intergen
1	20151504	20151801	MACS_peak_119	127.5	297	0	0	0	intergen
1	20259500	20259637	MACS_peak_120	1420.82	137	0	0	0	intergen
1	20522317	20522622	MACS_peak_121	497.03	305	0	0	0	intergen
1	20665211	20665513	MACS_peak_122	506.92	302	1	0	0	promoter
1	20907867	20908219	MACS_peak_123	86.75	352	0	1	0	gen
1	21084691	21084943	MACS_peak_124	565.32	252	0	1	0	gen
1	21179782	21180257	MACS_peak_125	554.67	475	0	0	0	intergen
1	21370443	21370860	MACS_peak_126	611.54	417	0	0	0	intergen
1	21694568	21694710	MACS_peak_127	384.6	142	0	1	0	gen
1	21701360	21701500	MACS_peak_128	1136.75	140	0	1	0	gen
1	22674250	22674416	MACS_peak_129	831.63	166	0	0	0	intergen
1	22889272	22889574	MACS_peak_130	441.54	302	0	1	0	gen
1	23228552	23228765	MACS_peak_131	149.72	213	0	0	0	intergen
1	23703589	23703906	MACS_peak_132	552.5	317	0	0	0	intergen
1	23772166	23772389	MACS_peak_133	564.54	223	0	0	1	other
1	24390073	24390417	MACS_peak_134	784.68	344	0	1	0	gen
1	24527260	24527498	MACS_peak_135	1264.23	238	0	1	0	gen
1	24635290	24635555	MACS_peak_136	464.09	265	1	0	0	promoter
1	24766373	24766608	MACS_peak_137	329.35	235	0	1	0	gen
1	24830757	24831122	MACS_peak_138	362.15	365	0	1	0	gen
1	24898172	24898424	MACS_peak_139	613.82	252	1	0	0	promoter
1	25289966	25290310	MACS_peak_140	419.18	344	0	2	0	gen
1	25403058	25403409	MACS_peak_141	415.73	351	0	1	0	gen
1	25412607	25412946	MACS_peak_142	482.54	339	0	1	0	gen
1	25507792	25508094	MACS_peak_143	92.78	302	0	0	0	intergen
1	25508540	25508743	MACS_peak_144	145.08	203	0	0	0	intergen
1	25796891	25797192	MACS_peak_145	442.11	301	1	0	0	promoter
1	25998208	25998383	MACS_peak_146	780.06	175	0	0	0	intergen
1	26035916	26036263	MACS_peak_147	417.69	347	1	1	0	promoter
1	26164253	26164508	MACS_peak_148	596.79	255	1	0	0	promoter
1	26332914	26333053	MACS_peak_149	1309.64	139	0	1	0	gen
