chr	start	end	id	score	phits	ghits	ohits	promoter	gen	other
1	11149	11522	MACS_peak_1	2188.98	0	0	0	NA	NA	NA
1	66037	66740	MACS_peak_2	1854.47	1	0	0	ENSG00000186092	NA	NA
1	74437	74818	MACS_peak_3	52.67	0	0	0	NA	NA	NA
1	91267	91646	MACS_peak_4	732.21	0	0	1	NA	NA	ENSG00000238009
1	104792	105111	MACS_peak_5	311.24	0	0	1	NA	NA	ENSG00000238009
1	105360	105727	MACS_peak_6	201.59	0	0	1	NA	NA	ENSG00000238009
1	138946	139307	MACS_peak_7	492.78	0	0	0	NA	NA	NA
1	140190	140427	MACS_peak_8	1080.42	0	0	0	NA	NA	NA
1	267835	268241	MACS_peak_9	793.16	0	0	1	NA	NA	ENSG00000228463
1	281471	281675	MACS_peak_10	381.61	0	0	1	NA	NA	ENSG00000228463
1	281924	282291	MACS_peak_11	201.59	0	0	1	NA	NA	ENSG00000228463
1	498799	499036	MACS_peak_12	651.74	0	0	1	NA	NA	ENSG00000237094
1	495392	495629	MACS_peak_13	376.34	0	0	1	NA	NA	ENSG00000237094
1	494148	494509	MACS_peak_14	458.95	0	0	1	NA	NA	ENSG00000237094
1	449527	449927	MACS_peak_15	412.5	1	0	1	ENSG00000284733	NA	ENSG00000237094
1	435592	435937	MACS_peak_16	163.66	0	0	1	NA	NA	ENSG00000237094
1	434322	434758	MACS_peak_17	62.51	0	0	1	NA	NA	ENSG00000237094
1	433244	434248	MACS_peak_18	172.21	0	0	1	NA	NA	ENSG00000237094
1	430164	430427	MACS_peak_19	251.36	0	0	1	NA	NA	ENSG00000237094
1	402518	402803	MACS_peak_20	1013.15	0	0	1	NA	NA	ENSG00000237094
1	381066	381776	MACS_peak_21	2708.61	0	0	1	NA	NA	ENSG00000237094
1	369811	370080	MACS_peak_22	127.5	0	0	1	NA	NA	ENSG00000237094
1	357228	357623	MACS_peak_23	1112.78	0	0	1	NA	NA	ENSG00000228463
1	586000	586395	MACS_peak_24	1722.91	0	0	0	NA	NA	NA
1	597965	598798	MACS_peak_25	383.99	0	0	1	NA	NA	ENSG00000230021
1	609252	610838	MACS_peak_26	3100	0	0	1	NA	NA	ENSG00000230021
1	638271	638708	MACS_peak_27	402.39	0	0	1	NA	NA	ENSG00000230021
1	665905	666168	MACS_peak_28	329.3	0	0	1	NA	NA	ENSG00000230021
1	670571	670916	MACS_peak_29	168.95	0	0	1	NA	NA	ENSG00000230021
1	684503	684903	MACS_peak_30	412.5	1	0	1	ENSG00000284662	NA	ENSG00000230021
1	709694	710032	MACS_peak_31	129.29	0	0	1	NA	NA	ENSG00000230021
1	729024	729415	MACS_peak_32	281.41	0	0	2	NA	NA	ENSG00000228327
1	730298	730535	MACS_peak_33	383.96	0	0	2	NA	NA	ENSG00000228327
1	737113	737350	MACS_peak_34	833.25	0	0	2	NA	NA	ENSG00000228327
1	740529	740766	MACS_peak_35	797.19	0	0	2	NA	NA	ENSG00000228327
1	754453	754823	MACS_peak_36	194.41	0	0	2	NA	NA	ENSG00000228327
1	788681	788880	MACS_peak_37	102.63	0	0	2	NA	NA	ENSG00000230021
1	789474	790175	MACS_peak_38	329.25	0	0	2	NA	NA	ENSG00000230021
1	790647	791115	MACS_peak_39	172.15	0	0	2	NA	NA	ENSG00000230021
1	791244	791720	MACS_peak_40	197.74	0	0	2	NA	NA	ENSG00000230021
1	857883	858216	MACS_peak_41	793.64	0	0	1	NA	NA	ENSG00000228794
1	1443392	1443724	MACS_peak_42	220.37	0	0	0	NA	NA	NA
1	1681979	1682119	MACS_peak_43	275.54	0	1	0	NA	ENSG00000189339	NA
1	2174377	2174590	MACS_peak_44	596.79	0	1	0	NA	ENSG00000067606	NA
1	2364351	2364639	MACS_peak_45	103.45	0	1	0	NA	ENSG00000116151	NA
1	3254892	3255248	MACS_peak_46	80.17	0	1	0	NA	ENSG00000142611	NA
1	3621301	3621482	MACS_peak_47	1569.18	1	0	0	ENSG00000158109	NA	NA
1	3724546	3724726	MACS_peak_48	746.04	0	1	0	NA	ENSG00000078900	NA
1	3801606	3801829	MACS_peak_49	1180.64	0	0	0	NA	NA	NA
1	3849254	3849393	MACS_peak_50	1043.77	0	1	0	NA	ENSG00000116198	NA
1	4099760	4100261	MACS_peak_51	729.38	0	0	0	NA	NA	NA
1	5075519	5075919	MACS_peak_52	504.65	0	0	0	NA	NA	NA
1	5115830	5116135	MACS_peak_53	184.68	0	0	0	NA	NA	NA
1	5182375	5182931	MACS_peak_54	118	0	0	0	NA	NA	NA
1	5745899	5746114	MACS_peak_55	746.04	0	0	0	NA	NA	NA
1	5825012	5825390	MACS_peak_56	129.87	0	0	0	NA	NA	NA
1	6343512	6343735	MACS_peak_57	712.32	0	1	0	NA	ENSG00000097021	NA
1	6404702	6405010	MACS_peak_58	473.53	0	0	0	NA	NA	NA
1	6742514	6742846	MACS_peak_59	542.96	0	0	0	NA	NA	NA
1	6998275	6998617	MACS_peak_60	420.18	0	1	0	NA	ENSG00000171735	NA
1	7042813	7043094	MACS_peak_61	453.96	0	1	0	NA	ENSG00000171735	NA
1	7070426	7070703	MACS_peak_62	456.44	0	1	0	NA	ENSG00000171735	NA
1	7414707	7415085	MACS_peak_63	65.66	0	1	0	NA	ENSG00000171735	NA
1	7647244	7647522	MACS_peak_64	709.17	0	1	0	NA	ENSG00000171735	NA
1	7667423	7667884	MACS_peak_65	825.38	0	1	0	NA	ENSG00000171735	NA
1	7808412	7808703	MACS_peak_66	312.33	0	1	0	NA	ENSG00000049246	NA
1	7967141	7967350	MACS_peak_67	780.06	0	1	0	NA	ENSG00000116288	NA
1	8031286	8031506	MACS_peak_68	564.54	0	0	1	NA	NA	ENSG00000238290
1	8277747	8277980	MACS_peak_69	538.37	0	0	0	NA	NA	NA
1	8561116	8561391	MACS_peak_70	1128.24	0	1	0	NA	ENSG00000142599	NA
1	8823296	8823434	MACS_peak_71	831.96	0	0	0	NA	NA	NA
1	9052999	9053655	MACS_peak_72	2262.85	0	1	0	NA	ENSG00000142583	NA
1	9116053	9116446	MACS_peak_73	953.02	0	1	0	NA	ENSG00000180758	NA
1	9181304	9181568	MACS_peak_74	590.39	0	0	1	NA	NA	ENSG00000228526
1	9206690	9206956	MACS_peak_75	201.59	0	0	0	NA	NA	NA
1	9536450	9536671	MACS_peak_76	432.48	1	0	0	ENSG00000171612	NA	NA
1	9624718	9624853	MACS_peak_77	1143.32	0	0	0	NA	NA	NA
1	10187683	10188241	MACS_peak_78	1069.92	0	0	0	NA	NA	NA
1	10428138	10428392	MACS_peak_79	596.79	2	0	0	ENSG00000251503	NA	NA
1	10507521	10507787	MACS_peak_80	463.44	0	1	0	NA	ENSG00000142655	NA
1	11086620	11086991	MACS_peak_81	228.35	0	1	0	NA	ENSG00000171824	NA
1	11337637	11337810	MACS_peak_82	780.06	0	0	0	NA	NA	NA
1	11642461	11642648	MACS_peak_83	901.33	0	1	1	NA	ENSG00000116661	ENSG00000284708
1	11954303	11954502	MACS_peak_84	809.56	0	1	0	NA	ENSG00000083444	NA
1	12106890	12107269	MACS_peak_85	402.61	0	1	0	NA	ENSG00000120949	NA
1	12936314	12936672	MACS_peak_86	1314.22	1	0	0	ENSG00000232423	NA	NA
