chr	start	end	id	score	size	phits	ghits	ohits
1	3621301	3621482	MACS_peak_47	1569.18	181	1	0	0
1	3849254	3849393	MACS_peak_50	1043.77	139	0	1	0
1	7808412	7808703	MACS_peak_66	312.33	291	0	1	0
1	7967141	7967350	MACS_peak_67	780.06	209	0	1	0
1	8561116	8561391	MACS_peak_70	1128.24	275	0	1	0
1	11086620	11086991	MACS_peak_81	228.35	371	0	1	0
1	11642461	11642648	MACS_peak_83	901.33	187	0	1	1
1	11954303	11954502	MACS_peak_84	809.56	199	0	1	0
1	21694568	21694710	MACS_peak_127	384.6	142	0	1	0
1	21701360	21701500	MACS_peak_128	1136.75	140	0	1	0
1	24390073	24390417	MACS_peak_134	784.68	344	0	1	0
1	24635290	24635555	MACS_peak_136	464.09	265	1	0	0
1	26878026	26878314	MACS_peak_154	700.62	288	1	0	0
1	32109480	32109695	MACS_peak_180	799.34	215	1	0	0
1	32215701	32216058	MACS_peak_181	399.64	357	1	1	0
1	36149559	36149840	MACS_peak_199	453.96	281	0	1	0
1	37970423	37970740	MACS_peak_204	76.3	317	0	1	0
1	37971799	37972153	MACS_peak_205	175.85	354	0	1	0
1	39853286	39853582	MACS_peak_210	445	296	0	1	0
1	45512650	45512867	MACS_peak_241	901.33	217	1	1	0
1	46693899	46694325	MACS_peak_251	202.06	426	0	1	0
1	50684255	50684388	MACS_peak_291	1396.21	133	0	1	0
1	50864358	50864796	MACS_peak_292	54.03	438	0	1	0
1	50929492	50929774	MACS_peak_293	453.35	282	0	1	0
1	51769102	51769394	MACS_peak_299	447.34	292	0	1	0
1	52389841	52390056	MACS_peak_300	596.79	215	0	1	0
1	52891920	52892301	MACS_peak_304	290.35	381	1	1	0
1	53854906	53855078	MACS_peak_306	1358.7	172	1	0	0
1	53959706	53959945	MACS_peak_307	620.13	239	0	1	0
1	70239596	70239850	MACS_peak_395	596.79	254	0	1	0
1	70311529	70311821	MACS_peak_396	1835.72	292	0	1	0
1	74228846	74229154	MACS_peak_415	380.3	308	0	2	0
1	74500408	74500743	MACS_peak_416	84.4	335	0	3	0
1	75782828	75783195	MACS_peak_432	150.31	367	1	1	0
1	77899165	77899478	MACS_peak_443	103.45	313	0	1	0
1	77900841	77901162	MACS_peak_444	214.38	321	0	1	0
1	84141168	84141498	MACS_peak_490	426.3	330	0	1	0
1	84230950	84231171	MACS_peak_491	132.92	221	0	1	0
1	84234349	84234710	MACS_peak_492	102.84	361	0	1	0
1	88736708	88736954	MACS_peak_519	485.56	246	0	1	0
1	91001012	91001361	MACS_peak_525	57.54	349	0	1	0
1	91002416	91002765	MACS_peak_526	125.87	349	0	1	0
1	108746332	108746612	MACS_peak_690	454.58	280	1	0	0
1	109027860	109028091	MACS_peak_693	678.9	231	0	1	0
1	109263610	109263986	MACS_peak_695	760.2	376	0	1	0
1	109490456	109490929	MACS_peak_696	581.45	473	1	1	0
