ensembl_id	lfc	avg_log2_cpm_exp	p_value	FDR	B	avg_exp	avg_log2_exp	avg_cpm_exp
ENSG00000000003	-1.0422382444268707	5.711823200802348	1.8949842917084832e-31	4.7601531826082235e-31	Inf	3184.2953304362327	11.395199591986728	61.70995140709084
ENSG00000000419	0.14824544152838784	5.089044399818958	4.2669309108477695e-8	6.051299040134295e-8	16.62040771715032	1777.265906348054	10.772023959825772	34.562670089183825
ENSG00000000457	0.667517552136669	5.0772001367536825	2.260144721343463e-81	1.9209239399134047e-80	Inf	1757.1750458898225	10.760168734309541	34.178700051378414
ENSG00000000460	1.4048151932383093	3.3644594982249227	8.121043662339532e-126	2.7463548123528595e-124	Inf	542.1274065895421	9.043527504468054	10.54678457933859
ENSG00000000938	-0.7691690282354856	3.042674279033025	2.6352419477916143e-49	1.0021674186110306e-48	Inf	439.5827127962811	8.720280792904948	8.54214873257809
ENSG00000000971	-1.4534362825384999	5.72161329028592	3.5367368091159286e-71	2.279195395153337e-70	Inf	2849.583761824471	11.405152141273495	55.371295361404115
ENSG00000001036	0	6.005827021853311	0	0	0	3395.215910490501	11.689575159283965	66.01817858315924
ENSG00000001084	0	5.412313153658431	0	0	0	2352.291056187041	11.09554486318385	45.71814218530656
ENSG00000001167	0.4591653556972745	5.868439610969465	3.349632412446448e-35	9.145930869222767e-35	Inf	3072.739671306186	11.552105510571346	59.749325798860724
ENSG00000001460	0	3.352966803318865	0	0	0	538.141126279605	9.03197705901482	10.46499923877232
ENSG00000001461	0	5.682457720526126	0	0	0	2748.5540485981232	11.3659713827165	53.44854025834908
ENSG00000001497	0.24016732002523677	5.974511912655645	4.1155560340031013e-25	8.963069220006152e-25	Inf	3262.3561610403567	11.658259606367745	63.43762088747163
ENSG00000001561	0	5.6209368588331845	0	0	0	2794.285537740689	11.304303340448545	54.26061681126368
ENSG00000001617	1.1898150510950216	6.827942245998218	3.255723120172124e-92	3.6988490142363673e-91	Inf	6071.103679130919	12.512077018228046	117.86382050230085
ENSG00000001629	0.5515944026863814	6.618416493988727	3.3068129106986926e-69	2.0255103711152294e-68	Inf	5117.144800012737	12.302484788006339	99.51433175239927
ENSG00000001630	0.6867820446741657	1.964757443261001	3.816778288577713e-31	9.533054175819467e-31	Inf	211.10877777469875	7.634121896497554	4.10049298173912
ENSG00000001631	0.10187793022030456	5.570689916497866	7.217038108215771e-6	9.540543390110062e-6	11.559950574408854	2467.980059799808	11.254147015890888	47.991318167281
ENSG00000002016	-0.061474330677093805	3.283528304506759	0.029046318073447597	0.03295574255664189	3.379078735492772	506.8326757344638	8.962335542697955	9.85779652817419
ENSG00000002330	0.36629017467746605	5.295248540431091	2.8705592572930124e-22	5.876729093360546e-22	Inf	2079.9816656960907	10.978428963217029	40.437731202664
ENSG00000002549	0.06403096105884398	6.896666592269884	0.03073285659002589	0.034814695647181246	3.322280521786834	6246.081705499295	12.580832313770783	121.40791796252574
ENSG00000002586	-0.07356948677405015	7.046929757481764	0.03737049452063383	0.0421065341500587	3.1245336329278235	6970.638048930305	12.731140693854638	135.4792676970324
ENSG00000002587	-0.8008153531721582	1.5800819014515768	3.3954301627490437e-29	8.111149723655663e-29	Inf	164.1735849564862	7.244636502559206	3.194304592487401
ENSG00000002726	0.4361046162807193	-0.7768073587499696	9.474482117506702e-4	0.001153255858790615	6.764012233925828	46.428732256615255	4.762567403135232	0.9003001575609209
ENSG00000002746	-0.6686876526481923	-1.1970798874340909	3.085285481717825e-11	4.791461594676373e-11	23.76160166585276	27.26732143136128	4.321556743075862	0.5247392356965797
ENSG00000002822	0.5309142762829108	5.009567930500756	4.890796404993651e-58	2.3050923857335757e-57	Inf	1680.1760422055027	10.692451417426923	32.683966342807736
ENSG00000002834	0.6425351658794627	8.49329866362056	5.1890601661139405e-55	2.273886068553835e-54	Inf	19059.664329042927	14.177783340822279	370.58777907711595
ENSG00000002919	0	5.142974146305344	0	0	0	1844.6629602744092	10.826011101767623	35.89439688332351
ENSG00000002933	-0.6684640248892658	5.4786195281899825	3.515655376988114e-13	5.74978485045491e-13	28.184433303252636	2867.173187248301	11.161766468036134	55.69058210741438
ENSG00000003056	-0.059965913577348574	6.630351987364698	0.029474262419798565	0.03342032700855185	3.3645994218642703	5182.156004181155	12.314422928038056	100.68646034511347
ENSG00000003096	-3.1125355586158103	2.592116334260275	1.5139760937368643e-122	4.555777542774922e-121	Inf	368.7259033532818	8.265999376546452	7.161425402289763
ENSG00000003137	-2.274303478422933	2.543438256956555	2.4541767449520618e-91	2.7324426312643186e-90	Inf	336.890958867079	8.217181860134666	6.56675395999941
ENSG00000003147	1.2967894891581953	5.925625484091523	3.2786623986799856e-79	2.6349450060241036e-78	Inf	3286.066612796841	11.609271994427772	63.921474033593306
ENSG00000003249	0.8524944467528468	5.28520014017259	8.82021150892931e-52	3.5820353922627054e-51	Inf	2088.2014646429257	10.968352815432285	40.606361448254
ENSG00000003393	0.08080340662087936	4.8829619173414605	1.2662217022318077e-4	1.5981246004624335e-4	8.741349729685329	1527.7093748129244	10.565697583921315	29.728710357113943
ENSG00000003400	-1.2421439655670239	2.5940300565069485	1.1121066704547888e-88	1.143226700863822e-87	Inf	322.58685311059315	8.269037985870275	6.272681754715931
ENSG00000003402	-0.9966177581599369	6.41290316933899	3.635775749913659e-115	8.171462454076133e-114	Inf	4453.415727461977	12.096880463378175	86.62697508846276
ENSG00000003436	-2.024638249393218	4.055013421900275	3.537650366539489e-103	5.4414401068323666e-102	Inf	960.2279900838823	9.736070566833778	18.629101887780354
ENSG00000003509	-0.1308951948879937	3.4733167029018848	3.323593798747431e-6	4.4394330604531485e-6	12.324979439306949	578.1900178951613	9.152847740241679	11.247321175668526
ENSG00000003756	-0.16708826655989995	6.738205265714321	1.3524758886435584e-12	2.1825996222797263e-12	26.85051004196731	5553.352445443539	12.422320903352869	107.89953684941771
ENSG00000003987	0.28794140081317043	0.4233493671870868	0.0032803205009558204	0.0038955824524806813	5.544008882335802	87.85039932916433	6.055105569932688	1.713183094121865
ENSG00000004059	0.3994643244589941	7.6878243530847925	8.027663193310528e-48	2.957302037668022e-47	Inf	10746.336898753629	13.37219403795778	208.83336045421032
ENSG00000004139	-0.4846369940066963	2.844522237939148	1.583723330218128e-13	2.614371747442653e-13	28.972504563226323	407.4247146558856	8.520563695528786	7.922796807395895
ENSG00000004142	0.12956990390667214	7.105054712985716	3.8962116968986924e-7	5.365214356475281e-7	14.43815878460921	7201.362459783417	12.789287513292747	139.93746809157884
ENSG00000004399	-0.10660939200115578	7.341667913441092	0.009429992357714367	0.010967433458060085	4.501796972992092	8689.070470190061	13.025954370076139	168.96290863884536
ENSG00000004455	0.12353271428205227	6.672425167276759	1.79083667951981e-7	2.4933214793545337e-7	15.204479652618655	5303.319982900611	12.356515141710442	103.19350653912927
ENSG00000004478	1.2007463776902578	8.672385293992974	6.6918412750324245e-96	8.371452948558281e-95	Inf	21852.336759295245	14.356886917560805	424.2218342104947
ENSG00000004487	0.38896652574855584	6.707760939889735	1.0649712329716775e-40	3.333003704317572e-40	Inf	5451.667137913253	12.391862241845047	106.05546767557155
ENSG00000004534	0	6.101339889964648	0	0	0	3577.8196198166384	11.78516081653644	69.48350453182168
ENSG00000004660	0	3.8441247896468562	0	0	0	772.3297609515076	9.524701725546922	15.017519989082743
