chr	start	end	id	score
1	11149	11522	MACS_peak_1	2188.98
1	66037	66740	MACS_peak_2	1854.47
1	74437	74818	MACS_peak_3	52.67
1	91267	91646	MACS_peak_4	732.21
1	104792	105111	MACS_peak_5	311.24
1	105360	105727	MACS_peak_6	201.59
1	138946	139307	MACS_peak_7	492.78
1	140190	140427	MACS_peak_8	1080.42
1	237586	237992	MACS_peak_9	793.16
1	251222	251426	MACS_peak_10	381.61
1	251675	252042	MACS_peak_11	201.59
1	320300	320537	MACS_peak_12	651.74
1	323707	323944	MACS_peak_13	376.34
1	324827	325188	MACS_peak_14	458.95
1	369409	369809	MACS_peak_15	412.5
1	383399	383744	MACS_peak_16	163.66
1	384578	385014	MACS_peak_17	62.51
1	385088	386092	MACS_peak_18	172.21
1	388909	389172	MACS_peak_19	251.36
1	416533	416818	MACS_peak_20	1013.15
1	437560	438270	MACS_peak_21	2708.61
1	449256	449525	MACS_peak_22	127.5
1	461713	462108	MACS_peak_23	1112.78
1	521380	521775	MACS_peak_24	1722.91
1	533345	534178	MACS_peak_25	383.99
1	544632	546218	MACS_peak_26	3100
1	573651	574088	MACS_peak_27	402.39
1	601285	601548	MACS_peak_28	329.3
1	605951	606296	MACS_peak_29	168.95
1	619883	620283	MACS_peak_30	412.5
1	645074	645412	MACS_peak_31	129.29
1	664404	664795	MACS_peak_32	281.41
1	665678	665915	MACS_peak_33	383.96
1	672493	672730	MACS_peak_34	833.25
1	675909	676146	MACS_peak_35	797.19
1	689833	690203	MACS_peak_36	194.41
1	724061	724260	MACS_peak_37	102.63
1	724854	725555	MACS_peak_38	329.25
1	726027	726495	MACS_peak_39	172.15
1	726624	727100	MACS_peak_40	197.74
1	793263	793596	MACS_peak_41	793.64
1	1378772	1379104	MACS_peak_42	220.37
1	1613418	1613558	MACS_peak_43	275.54
1	2105816	2106029	MACS_peak_44	596.79
1	2295790	2296078	MACS_peak_45	103.45
1	3171456	3171812	MACS_peak_46	80.17
1	3537865	3538046	MACS_peak_47	1569.18
1	3641110	3641290	MACS_peak_48	746.04
1	3718170	3718393	MACS_peak_49	1180.64
1	3765818	3765957	MACS_peak_50	1043.77
1	4159820	4160321	MACS_peak_51	729.38
1	5135579	5135979	MACS_peak_52	504.65
1	5175890	5176195	MACS_peak_53	184.68
1	5242435	5242991	MACS_peak_54	118
1	5805959	5806174	MACS_peak_55	746.04
1	5885072	5885450	MACS_peak_56	129.87
1	6403572	6403795	MACS_peak_57	712.32
1	6464762	6465070	MACS_peak_58	473.53
1	6802574	6802906	MACS_peak_59	542.96
1	7058335	7058677	MACS_peak_60	420.18
1	7102873	7103154	MACS_peak_61	453.96
1	7130486	7130763	MACS_peak_62	456.44
1	7474767	7475145	MACS_peak_63	65.66
1	7707304	7707582	MACS_peak_64	709.17
1	7727483	7727944	MACS_peak_65	825.38
1	7868472	7868763	MACS_peak_66	312.33
1	8027201	8027410	MACS_peak_67	780.06
1	8091346	8091566	MACS_peak_68	564.54
1	8337807	8338040	MACS_peak_69	538.37
1	8621175	8621450	MACS_peak_70	1128.24
1	8883355	8883493	MACS_peak_71	831.96
1	9113058	9113714	MACS_peak_72	2262.85
1	9176112	9176505	MACS_peak_73	953.02
1	9241363	9241627	MACS_peak_74	590.39
1	9266749	9267015	MACS_peak_75	201.59
1	9596509	9596730	MACS_peak_76	432.48
1	9684776	9684911	MACS_peak_77	1143.32
1	10247741	10248299	MACS_peak_78	1069.92
1	10488195	10488449	MACS_peak_79	596.79
1	10567578	10567844	MACS_peak_80	463.44
1	11146677	11147048	MACS_peak_81	228.35
1	11397694	11397867	MACS_peak_82	780.06
1	11702518	11702705	MACS_peak_83	901.33
1	12014360	12014559	MACS_peak_84	809.56
1	12166947	12167326	MACS_peak_85	402.61
1	12996144	12996502	MACS_peak_86	1314.22
1	13106518	13106817	MACS_peak_87	1099.28
1	13370735	13371052	MACS_peak_88	1220.3
1	13382656	13382893	MACS_peak_89	516.86
1	13460213	13460436	MACS_peak_90	712.32
1	13681049	13681272	MACS_peak_91	712.32
1	13870429	13870701	MACS_peak_92	449.74
1	14155389	14155619	MACS_peak_93	831.63
1	14744484	14744635	MACS_peak_94	511.88
1	15053857	15054089	MACS_peak_95	197.5
1	15650086	15650346	MACS_peak_96	725.38
1	15964914	15965050	MACS_peak_97	1358.26
1	16118597	16118802	MACS_peak_98	1087.07
1	16159726	16160075	MACS_peak_99	416.71
1	16899776	16900123	MACS_peak_100	113.5
1	16905640	16905940	MACS_peak_101	815.33
1	16911936	16912236	MACS_peak_102	927.4
1	16918210	16918562	MACS_peak_103	694.41
1	16935648	16935864	MACS_peak_104	1054.55
1	16947561	16947897	MACS_peak_105	734.45
1	16951426	16951791	MACS_peak_106	1474.76
1	16983091	16983391	MACS_peak_107	335.48
1	17011302	17011622	MACS_peak_108	1029.07
1	17077066	17077366	MACS_peak_109	562.58
1	17278204	17278420	MACS_peak_110	580.62
