ID	Term	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	commun
GO:0006783	heme biosynthetic process	1/1	15/6587	0.00227721269166548	0.00683163807499643	NA	ENSG00000023330	1	2
GO:0019216	regulation of lipid metabolic process	1/1	34/6587	0.00516168210110823	0.00774252315166235	NA	ENSG00000023330	1	2
GO:0007005	mitochondrion organization	1/1	54/6587	0.00819796568999531	0.00819796568999531	NA	ENSG00000023330	1	2
GO:0002376	immune system process	1/1	16/6587	0.00242902687110969	0.00242902687110969	NA	ENSG00000035687	1	3
GO:0038061	NIK/NF-kappaB signaling	8/161	48/6587	1.75834767672503e-05	0.00593505155704141	0.00564695466195739	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000092010/ENSG00000142208	8	944
GO:0043488	regulation of mRNA stability	10/161	81/6587	2.42742394971019e-05	0.00593505155704141	0.00564695466195739	ENSG00000100519/ENSG00000100567/ENSG00000100722/ENSG00000100764/ENSG00000100804/ENSG00000100823/ENSG00000100902/ENSG00000100911/ENSG00000092010/ENSG00000142208	10	944
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	12/161	125/6587	4.87718453645173e-05	0.0062454581475944	0.00594229362014148	ENSG00000078304/ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100897/ENSG00000100902/ENSG00000100911/ENSG00000119682/ENSG00000182979/ENSG00000066427/ENSG00000092010	12	944
GO:0006521	regulation of cellular amino acid metabolic process	7/161	41/6587	5.10875922093611e-05	0.0062454581475944	0.00594229362014148	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000092010	7	944
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	7/161	45/6587	9.49915055432104e-05	0.00867215002806512	0.00825118999548979	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000092010	7	944
GO:0055085	transmembrane transport	10/161	96/6587	0.000106406748810615	0.00867215002806512	0.00825118999548979	ENSG00000100519/ENSG00000100567/ENSG00000100764/ENSG00000100804/ENSG00000100902/ENSG00000100911/ENSG00000119688/ENSG00000134001/ENSG00000029364/ENSG00000092010	10	944
