Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band
ENSG00000284532	17	28360654	28360734	q11.2
ENSG00000238933	9	61642383	61642494	q13
ENSG00000275693	10	88992370	88992539	q23.31
ENSG00000275451	15	62343029	62343138	q22.2
ENSG00000222870	7	94495299	94495404	q21.3
ENSG00000252023	7	120672871	120672975	q31.31
ENSG00000211579	13	52810050	52810140	q14.3
ENSG00000206663	X	19985058	19985159	p22.12
ENSG00000242893	13	51593919	51594215	q14.3
ENSG00000241074	2	168451324	168451606	q24.3
ENSG00000264763	10	112634170	112634254	q25.2
ENSG00000283867	10	103394253	103394401	q24.33
ENSG00000276872	KI270727.1	417283	418206	
ENSG00000207975	1	198858873	198858982	q32.1
ENSG00000252486	X	27252119	27252235	p21.3
ENSG00000200336	11	18248389	18248506	p15.1
ENSG00000238764	X	17357930	17358033	p22.2
ENSG00000201724	15	99681786	99681877	q26.3
ENSG00000238875	22	39874255	39874515	q13.1
ENSG00000275424	CHR_HSCHR6_MHC_APD_CTG1	30053585	30053688	
ENSG00000207024	11	64296037	64296138	q13.1
ENSG00000239504	1	88477828	88478114	p22.2
ENSG00000264881	1	10227718	10227803	p36.22
ENSG00000201884	10	121846600	121846700	q26.13
ENSG00000212580	2	49888868	49888986	p16.3
ENSG00000277460	22	27919384	27919545	q12.1
ENSG00000276730	9	36072686	36072762	p13.3
ENSG00000201026	5	2184710	2184820	p15.33
ENSG00000202174	2	132253154	132253305	q21.2
ENSG00000252039	17	42891338	42891435	q21.31
ENSG00000200661	15	25074114	25074215	q11.2
ENSG00000223198	2	231501990	231502201	q37.1
ENSG00000252759	2	200863152	200863247	q33.1
ENSG00000274234	Y	24210958	24211216	q11.23
ENSG00000222220	7	94801514	94801812	q21.3
ENSG00000275568	CHR_HSCHR15_4_CTG8	32695437	32720246	
ENSG00000207340	1	148362370	148362533	q21.2
ENSG00000200867	4	7112088	7112399	p16.1
ENSG00000277344	1	16534081	16534224	p36.13
ENSG00000252950	21	32563075	32563210	q22.11
ENSG00000244389	1	70180144	70180440	p31.1
ENSG00000199246	6	153681447	153681553	q25.2
ENSG00000275049	CHR_HSCHR15_5_CTG8	82403250	82412947	
ENSG00000251976	2	136390332	136390669	q22.1
ENSG00000276804	CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665	54980661	
ENSG00000264998	CHR_HSCHR6_MHC_APD_CTG1	32556348	32556496	
ENSG00000276565	CHR_HSCHR11_1_CTG6	1586202	1591699	
ENSG00000252079	12	132835374	132835500	q24.33
ENSG00000238419	17	47259358	47259420	q21.32
ENSG00000265753	1	151300665	151300964	q21.3
