id	chr	start	end	gene_sum	genes	distance
MACS_peak_1	1	11149	11522	0	0	11149
MACS_peak_41	1	793263	793596	0	0	66163
MACS_peak_42	1	1378772	1379104	14	14	585176
MACS_peak_43	1	1613418	1613558	18	4	234314
MACS_peak_44	1	2105816	2106029	21	3	492258
MACS_peak_45	1	2295790	2296078	23	2	189761
MACS_peak_46	1	3171456	3171812	28	5	875378
MACS_peak_47	1	3537865	3538046	28	0	366053
MACS_peak_48	1	3641110	3641290	30	2	103064
MACS_peak_50	1	3765818	3765957	30	0	47425
MACS_peak_51	1	4159820	4160321	33	3	393863
MACS_peak_56	1	5885072	5885450	33	0	78898
MACS_peak_57	1	6403572	6403795	35	2	518122
MACS_peak_58	1	6464762	6465070	37	2	60967
MACS_peak_59	1	6802574	6802906	41	4	337504
MACS_peak_65	1	7727483	7727944	41	0	19901
MACS_peak_66	1	7868472	7868763	42	1	140528
MACS_peak_67	1	8027201	8027410	44	2	158438
MACS_peak_69	1	8337807	8338040	44	0	246241
MACS_peak_70	1	8621175	8621450	45	1	283135
MACS_peak_77	1	9684776	9684911	45	0	88046
MACS_peak_78	1	10247741	10248299	47	2	562830
MACS_peak_79	1	10488195	10488449	48	1	239896
MACS_peak_80	1	10567578	10567844	48	0	79129
MACS_peak_81	1	11146677	11147048	51	3	578833
MACS_peak_82	1	11397694	11397867	52	1	250646
MACS_peak_83	1	11702518	11702705	57	5	304651
MACS_peak_84	1	12014360	12014559	63	6	311655
MACS_peak_85	1	12166947	12167326	63	0	152388
MACS_peak_86	1	12996144	12996502	64	1	828818
MACS_peak_95	1	15053857	15054089	64	0	309222
MACS_peak_96	1	15650086	15650346	65	1	595997
MACS_peak_97	1	15964914	15965050	66	1	314568
MACS_peak_99	1	16159726	16160075	66	0	40924
MACS_peak_100	1	16899776	16900123	68	2	739701
MACS_peak_107	1	16983091	16983391	68	0	31300
MACS_peak_108	1	17011302	17011622	69	1	27911
MACS_peak_109	1	17077066	17077366	70	1	65444
MACS_peak_116	1	18908028	18908288	70	0	70913
MACS_peak_117	1	19147331	19147658	71	1	239043
MACS_peak_118	1	20427465	20427702	80	9	1279807
