gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
SUN2	0	"Sad1 and UNC84 domain containing 2"	chr22	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DDIT3	1	"DNA-damage-inducible transcript 3"	chr12	2	"Kulakovskiy 2013"	100	"Homo sapiens"	0.00001
VOPP1	0	"vesicular, overexpressed in cancer, prosurvival protein 1"	chr7	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SMYD3	0	"SET and MYND domain containing 3"	chr1	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HMBS	0	"hydroxymethylbilane synthase"	chr11	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
S1PR4	0	"sphingosine-1-phosphate receptor 4"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EPC1	0	"enhancer of polycomb homolog 1 (Drosophila)"	chr10	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ELF1	1	"E74-like factor 1 (ets domain transcription factor)"	chr13	1	"Kulakovskiy 2013"	294	"Homo sapiens"	0.00001
LOC101929372	0	"uncharacterized LOC101929372"	chr22	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC26A1	0	"solute carrier family 26 (anion exchanger), member 1"	chr4	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ACCSL	0	"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HIST1H4C	0	"histone cluster 1, H4c"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IFI44L	0	"interferon-induced protein 44-like"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
