gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
XRRA1	0	"X-ray radiation resistance associated 1"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
NLRX1	0	"NLR family member X1"	chr11	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLAMF7	0	"SLAM family member 7"	chr1	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZNF727P	0	"zinc finger protein 727, pseudogene"	chr7	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
NOS3	0	"nitric oxide synthase 3 (endothelial cell)"	chr7	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
JDP2	1	"Jun dimerization protein 2"	chr14	3	"Jolma 2013"	22	"Homo sapiens"	0.00001
LRRFIP1	0	"leucine rich repeat (in FLII) interacting protein 1"	chr2	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
GPR137	0	"G protein-coupled receptor 137"	chr11	7	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZXDA	0	"zinc finger, X-linked, duplicated A"	chrX	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
MUTYH	0	"mutY DNA glycosylase"	chr1	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
KIRREL3	0	"kin of IRRE like 3 (Drosophila)"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
OR4K13	0	"olfactory receptor, family 4, subfamily K, member 13"	chr14	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
FGD5	0	"FYVE, RhoGEF and PH domain containing 5"	chr3	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
BANK1	0	"B-cell scaffold protein with ankyrin repeats 1"	chr4	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
KCTD6	0	"potassium channel tetramerization domain containing 6"	chr3	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
DMRT2	0	"doublesex and mab-3 related transcription factor 2"	chr9	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
LILRA3	0	"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"	chr19	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
TESPA1	0	"thymocyte expressed, positive selection associated 1"	chr12	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
RARS2	0	"arginyl-tRNA synthetase 2, mitochondrial"	chr6	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
PUS10	0	"pseudouridylate synthase 10"	chr2	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
HIPK2	0	"homeodomain interacting protein kinase 2"	chr7	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
C6orf25	0	"chromosome 6 open reading frame 25"	chr6	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
MAPKBP1	0	"mitogen-activated protein kinase binding protein 1"	chr15	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
TRIM55	0	"tripartite motif containing 55"	chr8	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
CCDC89	0	"coiled-coil domain containing 89"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
ICT1	0	"immature colon carcinoma transcript 1"	chr17	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
HAO2	0	"hydroxyacid oxidase 2 (long chain)"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
SVOPL	0	SVOP-like	chr7	5	"Jolma 2013"	0	"Homo sapiens"	0.00001
PAG1	0	"phosphoprotein membrane anchor with glycosphingolipid microdomains 1"	chr8	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLC6A12	0	"solute carrier family 6 (neurotransmitter transporter), member 12"	chr12	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
PAEP	0	"progestagen-associated endometrial protein"	chr9	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
PRG3	0	"proteoglycan 3"	chr11	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
FAM47C	0	"family with sequence similarity 47, member C"	chrX	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
IGFALS	0	"insulin-like growth factor binding protein, acid labile subunit"	chr16	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
SETD7	0	"SET domain containing (lysine methyltransferase) 7"	chr4	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
GKN1	0	"gastrokine 1"	chr2	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
FRMD4B	0	"FERM domain containing 4B"	chr3	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
TFEB	1	"transcription factor EB"	chr6	7	"Jolma 2013"	12	"Homo sapiens"	0.00001
COPS3	0	"COP9 signalosome subunit 3"	chr17	5	"Jolma 2013"	0	"Homo sapiens"	0.00001
CCBL2	0	"cysteine conjugate-beta lyase 2"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
REP15	0	"RAB15 effector protein"	chr12	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
RPL5	0	"ribosomal protein L5"	chr1	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
RIPPLY1	0	"ripply transcriptional repressor 1"	chrX	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
MYH8	0	"myosin, heavy chain 8, skeletal muscle, perinatal"	chr17	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
C4orf48	0	"chromosome 4 open reading frame 48"	chr4	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CTAGE15	0	"CTAGE family, member 15"	chr7	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
KRTAP3-3	0	"keratin associated protein 3-3"	chr17	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CERS1	0	"ceramide synthase 1"	chr19	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
SIGLECL1	0	"SIGLEC family like 1"	chr19	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
RBMXL1	0	"RNA binding motif protein, X-linked-like 1"	chr1	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
TTF2	0	"transcription termination factor, RNA polymerase II"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
ARNT2	0	"aryl-hydrocarbon receptor nuclear translocator 2"	chr15	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
SCG2	0	"secretogranin II"	chr2	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
DCAKD	0	"dephospho-CoA kinase domain containing"	chr17	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
GP5	0	"glycoprotein V (platelet)"	chr3	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ZNF219	0	"zinc finger protein 219"	chr14	8	"Jolma 2013"	0	"Homo sapiens"	0.00001
HSD17B7	0	"hydroxysteroid (17-beta) dehydrogenase 7"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
TMEM229A	0	"transmembrane protein 229A"	chr7	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
CASC10	0	"cancer susceptibility candidate 10"	chr10	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
RIPK1	0	"receptor (TNFRSF)-interacting serine-threonine kinase 1"	chr6	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
RPP30	0	"ribonuclease P/MRP 30kDa subunit"	chr10	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
LGALSL	0	"lectin, galactoside-binding-like"	chr2	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
METTL22	0	"methyltransferase like 22"	chr16	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ANKDD1A	0	"ankyrin repeat and death domain containing 1A"	chr15	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
RNF223	0	"ring finger protein 223"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
MAL2	0	"mal, T-cell differentiation protein 2 (gene/pseudogene)"	chr8	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CYBB	0	"cytochrome b-245, beta polypeptide"	chrX	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
