gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
NEB	0	nebulin	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DCTN4	0	"dynactin 4 (p62)"	chr5	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRMT2B	0	"tRNA methyltransferase 2 homolog B (S. cerevisiae)"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CERS6	0	"ceramide synthase 6"	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FDFT1	0	"farnesyl-diphosphate farnesyltransferase 1"	chr8	10	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TSPO	0	"translocator protein (18kDa)"	chr22	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SUCO	0	"SUN domain containing ossification factor"	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MRGPRX4	0	"MAS-related GPR, member X4"	chr11	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PALLD	0	"palladin, cytoskeletal associated protein"	chr4	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF436	0	"zinc finger protein 436"	chr1	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM98	0	"transmembrane protein 98"	chr17	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAEL	0	"maelstrom spermatogenic transposon silencer"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OTUD5	0	"OTU deubiquitinase 5"	chrX	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NCEH1	0	"neutral cholesterol ester hydrolase 1"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RBX1	0	"ring-box 1, E3 ubiquitin protein ligase"	chr22	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EHHADH	0	"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBB	0	"ubiquitin B"	chr17	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TPD52L1	0	"tumor protein D52-like 1"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ALS2CR12	0	"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CPTP	0	"ceramide-1-phosphate transfer protein"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAHD1	0	"fumarylacetoacetate hydrolase domain containing 1"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLCL2	0	"phospholipase C-like 2"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RRN3	0	"RRN3 homolog, RNA polymerase I transcription factor"	chr16	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CELF6	0	"CUGBP, Elav-like family member 6"	chr15	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF394	0	"zinc finger protein 394"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GSK3B	0	"glycogen synthase kinase 3 beta"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MSH5	0	"mutS homolog 5"	chr6	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PEG3	0	"paternally expressed 3"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP2R5C	0	"protein phosphatase 2, regulatory subunit B', gamma"	chr14	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KIF23	0	"kinesin family member 23"	chr15	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
XRCC3	0	"X-ray repair complementing defective repair in Chinese hamster cells 3"	chr14	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GSTZ1	0	"glutathione S-transferase zeta 1"	chr14	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WNT3	0	"wingless-type MMTV integration site family, member 3"	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C21orf58	0	"chromosome 21 open reading frame 58"	chr21	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CCL20	0	"chemokine (C-C motif) ligand 20"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TCF20	0	"transcription factor 20 (AR1)"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TBPL1	0	"TBP-like 1"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LANCL1	0	"LanC lantibiotic synthetase component C-like 1 (bacterial)"	chr2	11	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C1QTNF7	0	"C1q and tumor necrosis factor related protein 7"	chr4	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
B3GALNT2	0	"beta-1,3-N-acetylgalactosaminyltransferase 2"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGAP33	0	"Rho GTPase activating protein 33"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GABRG1	0	"gamma-aminobutyric acid (GABA) A receptor, gamma 1"	chr4	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EPB41	0	"erythrocyte membrane protein band 4.1"	chr1	10	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ACOT7	0	"acyl-CoA thioesterase 7"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SBNO2	0	"strawberry notch homolog 2 (Drosophila)"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DYNLT3	0	"dynein, light chain, Tctex-type 3"	chrX	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
