gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
TSPAN4	0	"tetraspanin 4"	chr11	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CYTH1	0	"cytohesin 1"	chr17	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DISC1	0	"disrupted in schizophrenia 1"	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLAGL1	1	"pleiomorphic adenoma gene-like 1"	chr6	11	"Kulakovskiy 2013"	154	"Homo sapiens"	0.00001
CMTM5	0	"CKLF-like MARVEL transmembrane domain containing 5"	chr14	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TCP11	0	"t-complex 11, testis-specific"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MYRIP	0	"myosin VIIA and Rab interacting protein"	chr3	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CEBPA	1	"CCAAT/enhancer binding protein (C/EBP), alpha"	chr19	3	"Kulakovskiy 2013"	10	"Homo sapiens"	0.00001
SPOCD1	0	"SPOC domain containing 1"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PHLDB2	0	"pleckstrin homology-like domain, family B, member 2"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WIPF3	0	"WAS/WASL interacting protein family, member 3"	chr7	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPIP5K1	0	"diphosphoinositol pentakisphosphate kinase 1"	chr15	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC35E2B	0	"solute carrier family 35, member E2B"	chr1	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NDRG2	0	"NDRG family member 2"	chr14	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGEF3	0	"Rho guanine nucleotide exchange factor (GEF) 3"	chr3	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RABGAP1L	0	"RAB GTPase activating protein 1-like"	chr1	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PIM3	0	"Pim-3 proto-oncogene, serine/threonine kinase"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DBNDD2	0	"dysbindin (dystrobrevin binding protein 1) domain containing 2"	chr20	11	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KRT14	0	"keratin 14, type I"	chr17	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OXR1	0	"oxidation resistance 1"	chr8	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PEX2	0	"peroxisomal biogenesis factor 2"	chr8	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LIMCH1	0	"LIM and calponin homology domains 1"	chr4	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ELMO3	0	"engulfment and cell motility 3"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBASH3A	0	"ubiquitin associated and SH3 domain containing A"	chr21	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KLC2	0	"kinesin light chain 2"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CD47	0	"CD47 molecule"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TENC1	0	"tensin like C1 domain containing phosphatase (tensin 2)"	chr12	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC39A8	0	"solute carrier family 39 (zinc transporter), member 8"	chr4	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRIM39	0	"tripartite motif containing 39"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF461	0	"zinc finger protein 461"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ENTHD1	0	"ENTH domain containing 1"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WWTR1	0	"WW domain containing transcription regulator 1"	chr3	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FBXO31	0	"F-box protein 31"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GAREM	0	"GRB2 associated, regulator of MAPK1"	chr18	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SNCA	0	"synuclein, alpha (non A4 component of amyloid precursor)"	chr4	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UHRF1	0	"ubiquitin-like with PHD and ring finger domains 1"	chr19	17	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EIF4G1	0	"eukaryotic translation initiation factor 4 gamma, 1"	chr3	11	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC37A2	0	"solute carrier family 37 (glucose-6-phosphate transporter), member 2"	chr11	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FIGNL1	0	"fidgetin-like 1"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ATAD2	0	"ATPase family, AAA domain containing 2"	chr8	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
INTS9	0	"integrator complex subunit 9"	chr8	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
THPO	0	thrombopoietin	chr3	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DCAF6	0	"DDB1 and CUL4 associated factor 6"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP6R2	0	"protein phosphatase 6, regulatory subunit 2"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PKMYT1	0	"protein kinase, membrane associated tyrosine/threonine 1"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
STEAP2	0	"STEAP family member 2, metalloreductase"	chr7	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KIAA1522	0	KIAA1522	chr1	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRIMPOL	0	"primase and polymerase (DNA-directed)"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TM4SF19	0	"transmembrane 4 L six family member 19"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NKX6-3	0	"NK6 homeobox 3"	chr8	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CRTC3	0	"CREB regulated transcription coactivator 3"	chr15	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
