source	target	MI	distance	row_num	interaction_type	isRegulatory
ENSG00000196126	ENSG00000196735	0.355385	49410	93	Intra-Cytoband	0
ENSG00000204257	ENSG00000242574	0.305097	13984	246	Intra-Cytoband	0
ENSG00000204287	ENSG00000242574	0.244947	494787	878	Intra-Cytoband	0
ENSG00000223865	ENSG00000242574	0.219765	141297	1555	Intra-Cytoband	0
ENSG00000179344	ENSG00000198502	0.205672	142124	2117	Intra-Cytoband	0
ENSG00000204287	ENSG00000223865	0.204795	636084	2170	Intra-Cytoband	0
ENSG00000204257	ENSG00000204287	0.193826	508771	2770	Intra-Cytoband	0
ENSG00000179344	ENSG00000196126	0.193402	80698	2798	Intra-Cytoband	0
ENSG00000196126	ENSG00000204257	0.189079	369844	3105	Intra-Cytoband	0
ENSG00000179583	ENSG00000204257	0.180008	NA	3839	Trans	1
ENSG00000196126	ENSG00000242574	0.178518	355860	4006	Intra-Cytoband	0
ENSG00000204257	ENSG00000223865	0.176595	127313	4193	Intra-Cytoband	0
ENSG00000019582	ENSG00000204257	0.164792	NA	5601	Trans	0
ENSG00000179583	ENSG00000204287	0.158968	NA	6496	Trans	1
ENSG00000179583	ENSG00000242574	0.151688	NA	7807	Trans	1
ENSG00000204252	ENSG00000242574	0.147556	69549	8756	Intra-Cytoband	0
ENSG00000196126	ENSG00000231389	0.14306	485800	9913	Intra-Cytoband	0
ENSG00000019582	ENSG00000242574	0.141421	NA	10392	Trans	0
ENSG00000196126	ENSG00000223865	0.140589	497157	10627	Intra-Cytoband	0
ENSG00000019582	ENSG00000204287	0.140365	NA	10696	Trans	0
ENSG00000204252	ENSG00000223865	0.138218	71748	11328	Intra-Cytoband	0
ENSG00000231389	ENSG00000242574	0.13319	129940	13024	Intra-Cytoband	0
ENSG00000223865	ENSG00000231389	0.129166	11357	14636	Intra-Cytoband	0
ENSG00000179583	ENSG00000223865	0.12842	NA	14960	Trans	1
ENSG00000204287	ENSG00000231389	0.126541	624727	15830	Intra-Cytoband	0
ENSG00000196126	ENSG00000204287	0.125549	138927	16314	Intra-Cytoband	0
