gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
GPANK1	0	"G patch domain and ankyrin repeats 1"	chr6	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF385A	0	"zinc finger protein 385A"	chr12	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ANAPC15	0	"anaphase promoting complex subunit 15"	chr11	12	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SIGMAR1	0	"sigma non-opioid intracellular receptor 1"	chr9	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ORC2	0	"origin recognition complex, subunit 2"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM118A	0	"family with sequence similarity 118, member A"	chr22	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM122C	0	"family with sequence similarity 122C"	chrX	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GCDH	0	"glutaryl-CoA dehydrogenase"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SYS1	0	"Sys1 golgi trafficking protein"	chr20	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GALE	0	UDP-galactose-4-epimerase	chr1	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CCBL1	0	"cysteine conjugate-beta lyase, cytoplasmic"	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MAPK8	0	"mitogen-activated protein kinase 8"	chr10	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CYP4A22	0	"cytochrome P450, family 4, subfamily A, polypeptide 22"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IKBIP	0	"IKBKB interacting protein"	chr12	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CCDC15	0	"coiled-coil domain containing 15"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGEF3	0	"Rho guanine nucleotide exchange factor (GEF) 3"	chr3	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SYK	0	"spleen tyrosine kinase"	chr9	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SIX6	0	"SIX homeobox 6"	chr14	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SP6	0	"Sp6 transcription factor"	chr17	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SUGCT	0	"succinyl-CoA:glutarate-CoA transferase"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HIVEP2	1	"human immunodeficiency virus type I enhancer binding protein 2"	chr6	1	"Kulakovskiy 2013"	66	"Homo sapiens"	0.00001
GRAMD3	0	"GRAM domain containing 3"	chr5	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TTC13	0	"tetratricopeptide repeat domain 13"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM65B	0	"family with sequence similarity 65, member B"	chr6	10	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ASCC3	0	"activating signal cointegrator 1 complex subunit 3"	chr6	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RXFP1	0	"relaxin/insulin-like family peptide receptor 1"	chr4	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SRCAP	0	"Snf2-related CREBBP activator protein"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PGAP2	0	"post-GPI attachment to proteins 2"	chr11	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PIH1D2	0	"PIH1 domain containing 2"	chr11	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DTNA	0	"dystrobrevin, alpha"	chr18	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SCARF1	0	"scavenger receptor class F, member 1"	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DLG2	0	"discs, large homolog 2 (Drosophila)"	chr11	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HOXC6	1	"homeobox C6"	chr12	3	"Kulakovskiy 2013"	109	"Homo sapiens"	0.00001
SEMA6C	0	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRIM39	0	"tripartite motif containing 39"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MYEOV2	0	"myeloma overexpressed 2"	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PDE4A	0	"phosphodiesterase 4A, cAMP-specific"	chr19	13	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NOS3	0	"nitric oxide synthase 3 (endothelial cell)"	chr7	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PTGES3	0	"prostaglandin E synthase 3 (cytosolic)"	chr12	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SATB2	0	"SATB homeobox 2"	chr2	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
APTX	0	aprataxin	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COA1	0	"cytochrome c oxidase assembly factor 1 homolog"	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PDE1B	0	"phosphodiesterase 1B, calmodulin-dependent"	chr12	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PPP2R2C	0	"protein phosphatase 2, regulatory subunit B, gamma"	chr4	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NME2	0	"NME/NM23 nucleoside diphosphate kinase 2"	chr17	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FUT3	0	"fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GORASP1	0	"golgi reassembly stacking protein 1, 65kDa"	chr3	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MICB	0	"MHC class I polypeptide-related sequence B"	chr6	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RPL17	0	"ribosomal protein L17"	chr18	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SCGB1D4	0	"secretoglobin, family 1D, member 4"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM114A1	0	"family with sequence similarity 114, member A1"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
IFRD1	0	"interferon-related developmental regulator 1"	chr7	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GPM6A	0	"glycoprotein M6A"	chr4	13	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PTCH1	0	"patched 1"	chr9	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LILRB3	0	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CEACAM20	0	"carcinoembryonic antigen-related cell adhesion molecule 20"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COX20	0	"COX20 cytochrome c oxidase assembly factor"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CTNND1	0	"catenin (cadherin-associated protein), delta 1"	chr11	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
STEAP2	0	"STEAP family member 2, metalloreductase"	chr7	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MPLKIP	0	"M-phase specific PLK1 interacting protein"	chr7	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC26A7	0	"solute carrier family 26 (anion exchanger), member 7"	chr8	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC35A3	0	"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
VAV1	0	"vav 1 guanine nucleotide exchange factor"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM62	0	"transmembrane protein 62"	chr15	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
