source	target	MI	distance	row_num	interaction_type	isRegulatory
ENSG00000120738	ENSG00000170345	0.401952	NA	50	Trans	1
ENSG00000275302	ENSG00000277632	0.330047	15334	144	Intra-Cytoband	0
ENSG00000160888	ENSG00000171223	0.315403	358919	201	Intra-Cytoband	0
ENSG00000120129	ENSG00000170345	0.299951	NA	273	Trans	0
ENSG00000128016	ENSG00000170345	0.253736	NA	728	Trans	1
ENSG00000120738	ENSG00000160888	0.242645	NA	929	Trans	0
ENSG00000160888	ENSG00000170345	0.238712	NA	1017	Trans	1
ENSG00000120738	ENSG00000122877	0.230722	NA	1223	Trans	0
ENSG00000120129	ENSG00000120738	0.222515	34302600	1461	Inter-Cytoband	0
ENSG00000120738	ENSG00000128016	0.215478	NA	1702	Trans	1
ENSG00000120129	ENSG00000128016	0.199125	NA	2459	Trans	0
ENSG00000170345	ENSG00000171223	0.193761	NA	2774	Trans	1
ENSG00000118523	ENSG00000142871	0.18992	NA	3035	Trans	0
ENSG00000120129	ENSG00000123358	0.189071	NA	3108	Trans	0
ENSG00000276070	ENSG00000277632	0.184189	122668	3476	Intra-Cytoband	0
ENSG00000128016	ENSG00000171223	0.180619	26615317	3790	Inter-Cytoband	0
ENSG00000123358	ENSG00000162772	0.179116	NA	3935	Trans	0
ENSG00000128016	ENSG00000160888	0.178698	26256398	3982	Inter-Cytoband	1
ENSG00000120738	ENSG00000142871	0.17808	NA	4046	Trans	0
ENSG00000120129	ENSG00000177606	0.176154	NA	4229	Trans	0
ENSG00000123358	ENSG00000128016	0.173607	NA	4512	Trans	1
ENSG00000122877	ENSG00000142871	0.170565	NA	4858	Trans	0
ENSG00000120738	ENSG00000123358	0.169531	NA	4986	Trans	0
ENSG00000122877	ENSG00000275302	0.158693	NA	6552	Trans	0
ENSG00000120738	ENSG00000177606	0.158023	NA	6678	Trans	0
ENSG00000275302	ENSG00000276070	0.15734	107334	6780	Intra-Cytoband	0
ENSG00000160888	ENSG00000177606	0.154532	NA	7267	Trans	0
ENSG00000123358	ENSG00000170345	0.151662	NA	7809	Trans	1
ENSG00000122877	ENSG00000162772	0.149053	NA	8407	Trans	1
ENSG00000120738	ENSG00000171223	0.147966	NA	8661	Trans	0
ENSG00000106366	ENSG00000118523	0.147751	NA	8709	Trans	0
ENSG00000122877	ENSG00000123358	0.147345	NA	8822	Trans	1
ENSG00000173334	ENSG00000177606	0.145355	NA	9350	Trans	0
ENSG00000128016	ENSG00000177606	0.145264	NA	9368	Trans	0
ENSG00000170345	ENSG00000177606	0.145155	NA	9407	Trans	0
ENSG00000123358	ENSG00000160888	0.140893	NA	10544	Trans	1
ENSG00000120129	ENSG00000160888	0.138245	NA	11323	Trans	0
ENSG00000122877	ENSG00000277632	0.137547	NA	11547	Trans	0
ENSG00000162772	ENSG00000177606	0.136857	153784546	11766	Inter-Cytoband	0
ENSG00000128016	ENSG00000162772	0.133437	NA	12936	Trans	0
ENSG00000120738	ENSG00000277632	0.132382	NA	13322	Trans	0
ENSG00000142871	ENSG00000162772	0.132288	126984573	13366	Inter-Cytoband	0
ENSG00000120129	ENSG00000171223	0.124174	NA	16967	Trans	0
ENSG00000123358	ENSG00000144655	0.12337	NA	17410	Trans	0
ENSG00000123358	ENSG00000142871	0.122717	NA	17771	Trans	0
ENSG00000120738	ENSG00000162772	0.121554	NA	18341	Trans	0
ENSG00000110848	ENSG00000128016	0.121297	NA	18487	Trans	0
ENSG00000120129	ENSG00000142871	0.120714	NA	18815	Trans	0
ENSG00000123358	ENSG00000173334	0.11994	NA	19230	Trans	1
ENSG00000113070	ENSG00000123358	0.118715	NA	19905	Trans	0
