gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
IL32	0	"interleukin 32"	chr16	14	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM220A	0	"family with sequence similarity 220, member A"	chr7	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
THRA	1	"thyroid hormone receptor, alpha"	chr17	4	"Kulakovskiy 2013"	175	"Homo sapiens"	0.00001
KIAA0556	0	KIAA0556	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SPHK2	0	"sphingosine kinase 2"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GPSM3	0	"G-protein signaling modulator 3"	chr6	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OTOF	0	otoferlin	chr2	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PEX11G	0	"peroxisomal biogenesis factor 11 gamma"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EVX1	0	"even-skipped homeobox 1"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LRRC8A	0	"leucine rich repeat containing 8 family, member A"	chr9	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LYRM1	0	"LYR motif containing 1"	chr16	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RAD23A	0	"RAD23 homolog A, nucleotide excision repair protein"	chr19	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OXSR1	0	"oxidative stress responsive 1"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CTNNA1	0	"catenin (cadherin-associated protein), alpha 1, 102kDa"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SMARCA5	0	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM76B	0	"family with sequence similarity 76, member B"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SIVA1	0	"SIVA1, apoptosis-inducing factor"	chr14	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
LGR5	0	"leucine-rich repeat containing G protein-coupled receptor 5"	chr12	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EPHA2	0	"EPH receptor A2"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
