gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
SLC39A9	0	"solute carrier family 39, member 9"	chr14	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLAGL1	1	"pleiomorphic adenoma gene-like 1"	chr6	11	"Kulakovskiy 2013"	154	"Homo sapiens"	0.00001
MSH2	0	"mutS homolog 2"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CSRP1	0	"cysteine and glycine-rich protein 1"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGEF3	0	"Rho guanine nucleotide exchange factor (GEF) 3"	chr3	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CXorf40A	0	"chromosome X open reading frame 40A"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NUDT21	0	"nudix (nucleoside diphosphate linked moiety X)-type motif 21"	chr16	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MCFD2	0	"multiple coagulation factor deficiency 2"	chr2	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BARD1	0	"BRCA1 associated RING domain 1"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GPC2	0	"glypican 2"	chr7	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRUB2	0	"TruB pseudouridine (psi) synthase family member 2"	chr9	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RTN4	0	"reticulon 4"	chr2	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
EIF1AX	0	"eukaryotic translation initiation factor 1A, X-linked"	chrX	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF274	0	"zinc finger protein 274"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM50A	0	"transmembrane protein 50A"	chr1	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLA2G12A	0	"phospholipase A2, group XIIA"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBL5	0	"ubiquitin-like 5"	chr19	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DDX6	0	"DEAD (Asp-Glu-Ala-Asp) box helicase 6"	chr11	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HSPD1	0	"heat shock 60kDa protein 1 (chaperonin)"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MCM7	0	"minichromosome maintenance complex component 7"	chr7	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KIAA1324L	0	KIAA1324-like	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RNF40	0	"ring finger protein 40, E3 ubiquitin protein ligase"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RPL10A	0	"ribosomal protein L10a"	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MZT2B	0	"mitotic spindle organizing protein 2B"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DUS1L	0	"dihydrouridine synthase 1-like"	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MRPL13	0	"mitochondrial ribosomal protein L13"	chr8	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MDFI	0	"MyoD family inhibitor"	chr6	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SSR4	0	"signal sequence receptor, delta"	chrX	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DDX46	0	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 46"	chr5	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WNT7B	0	"wingless-type MMTV integration site family, member 7B"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CHSY1	0	"chondroitin sulfate synthase 1"	chr15	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FHIT	0	"fragile histidine triad"	chr3	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COQ10A	0	"coenzyme Q10A"	chr12	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OLIG2	0	"oligodendrocyte lineage transcription factor 2"	chr21	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MTBP	0	"MDM2 binding protein"	chr8	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DEK	0	"DEK proto-oncogene"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
OGFOD1	0	"2-oxoglutarate and iron-dependent oxygenase domain containing 1"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GNB4	0	"guanine nucleotide binding protein (G protein), beta polypeptide 4"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PHF5A	0	"PHD finger protein 5A"	chr22	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HES5	0	"hes family bHLH transcription factor 5"	chr1	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
