gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
COPZ2	0	"coatomer protein complex, subunit zeta 2"	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PRPF38B	0	"pre-mRNA processing factor 38B"	chr1	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NR4A1	1	"nuclear receptor subfamily 4, group A, member 1"	chr12	5	"Kulakovskiy 2013"	19	"Homo sapiens"	0.00001
ETV7	1	"ets variant 7"	chr6	3	"Kulakovskiy 2013"	17	"Homo sapiens"	0.00001
TEX13A	0	"testis expressed 13A"	chrX	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PYGM	0	"phosphorylase, glycogen, muscle"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZCCHC10	0	"zinc finger, CCHC domain containing 10"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
HAVCR2	0	"hepatitis A virus cellular receptor 2"	chr5	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBE2T	0	"ubiquitin-conjugating enzyme E2T"	chr1	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DENND4C	0	"DENN/MADD domain containing 4C"	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CDS1	0	"CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1"	chr4	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C12orf74	0	"chromosome 12 open reading frame 74"	chr12	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PCK1	0	"phosphoenolpyruvate carboxykinase 1 (soluble)"	chr20	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BRF1	0	"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit"	chr14	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TP53BP1	0	"tumor protein p53 binding protein 1"	chr15	7	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLA2G4B	0	"phospholipase A2, group IVB (cytosolic)"	chr15	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ADAMTS13	0	"ADAM metallopeptidase with thrombospondin type 1 motif, 13"	chr9	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GPRC5B	0	"G protein-coupled receptor, class C, group 5, member B"	chr16	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TOLLIP	0	"toll interacting protein"	chr11	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
