gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
AHCYL1	0	"adenosylhomocysteinase-like 1"	chr1	4	TF2DNA	0	"Homo sapiens"	0.00001
PHYKPL	0	"5-phosphohydroxy-L-lysine phospho-lyase"	chr5	2	TF2DNA	0	"Homo sapiens"	0.00001
CYP3A5	0	"cytochrome P450, family 3, subfamily A, polypeptide 5"	chr7	3	TF2DNA	0	"Homo sapiens"	0.00001
SMARCA4	0	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	chr19	9	TF2DNA	0	"Homo sapiens"	0.00001
NPSR1	0	"neuropeptide S receptor 1"	chr7	5	TF2DNA	0	"Homo sapiens"	0.00001
DACT3	0	"dishevelled-binding antagonist of beta-catenin 3"	chr19	2	TF2DNA	0	"Homo sapiens"	0.00001
OR2T29	0	"olfactory receptor, family 2, subfamily T, member 29"	chr1	5	TF2DNA	0	"Homo sapiens"	0.00001
RGAG1	0	"retrotransposon gag domain containing 1"	chrX	3	TF2DNA	0	"Homo sapiens"	0.00001
MAGEA4	0	"melanoma antigen family A4"	chrX	2	TF2DNA	0	"Homo sapiens"	0.00001
EFCC1	0	"EF-hand and coiled-coil domain containing 1"	chr3	2	TF2DNA	0	"Homo sapiens"	0.00001
LIN7A	0	"lin-7 homolog A (C. elegans)"	chr12	3	TF2DNA	0	"Homo sapiens"	0.00001
FAM154A	0	"family with sequence similarity 154, member A"	chr9	4	TF2DNA	0	"Homo sapiens"	0.00001
DMTN	0	"dematin actin binding protein"	chr8	6	TF2DNA	0	"Homo sapiens"	0.00001
KCNQ1	0	"potassium channel, voltage gated KQT-like subfamily Q, member 1"	chr11	3	TF2DNA	0	"Homo sapiens"	0.00001
CD302	0	"CD302 molecule"	chr2	1	TF2DNA	0	"Homo sapiens"	0.00001
CDC14B	0	"cell division cycle 14B"	chr9	4	TF2DNA	0	"Homo sapiens"	0.00001
BRDT	0	"bromodomain, testis-specific"	chr1	5	TF2DNA	0	"Homo sapiens"	0.00001
DST	0	dystonin	chr6	11	TF2DNA	0	"Homo sapiens"	0.00001
PRKACB	0	"protein kinase, cAMP-dependent, catalytic, beta"	chr1	5	TF2DNA	0	"Homo sapiens"	0.00001
GPX8	0	"glutathione peroxidase 8 (putative)"	chr5	2	TF2DNA	0	"Homo sapiens"	0.00001
SH3GLB1	0	"SH3-domain GRB2-like endophilin B1"	chr1	1	TF2DNA	0	"Homo sapiens"	0.00001
DCSTAMP	0	"dendrocyte expressed seven transmembrane protein"	chr8	1	TF2DNA	0	"Homo sapiens"	0.00001
RBMY1F	0	"RNA binding motif protein, Y-linked, family 1, member F"	chrY	3	TF2DNA	0	"Homo sapiens"	0.00001
MAP6	0	"microtubule-associated protein 6"	chr11	3	TF2DNA	0	"Homo sapiens"	0.00001
VWF	0	"von Willebrand factor"	chr12	4	TF2DNA	0	"Homo sapiens"	0.00001
GBA3	0	"glucosidase, beta, acid 3 (gene/pseudogene)"	chr4	3	TF2DNA	0	"Homo sapiens"	0.00001
GCK	0	"glucokinase (hexokinase 4)"	chr7	6	TF2DNA	0	"Homo sapiens"	0.00001
SLC4A7	0	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"	chr3	2	TF2DNA	0	"Homo sapiens"	0.00001
ELAVL4	0	"ELAV like neuron-specific RNA binding protein 4"	chr1	5	TF2DNA	0	"Homo sapiens"	0.00001
HMG20B	0	"high mobility group 20B"	chr19	4	TF2DNA	0	"Homo sapiens"	0.00001
ARSB	0	"arylsulfatase B"	chr5	3	TF2DNA	0	"Homo sapiens"	0.00001
MTHFSD	0	"methenyltetrahydrofolate synthetase domain containing"	chr16	3	TF2DNA	0	"Homo sapiens"	0.00001
CLDN14	0	"claudin 14"	chr21	8	TF2DNA	0	"Homo sapiens"	0.00001
DNAJC28	0	"DnaJ (Hsp40) homolog, subfamily C, member 28"	chr21	7	TF2DNA	0	"Homo sapiens"	0.00001
EIF1AX	0	"eukaryotic translation initiation factor 1A, X-linked"	chrX	2	TF2DNA	0	"Homo sapiens"	0.00001
RNFT2	0	"ring finger protein, transmembrane 2"	chr12	4	TF2DNA	0	"Homo sapiens"	0.00001
RAB6C	0	"RAB6C, member RAS oncogene family"	chr2	4	TF2DNA	0	"Homo sapiens"	0.00001
AMOTL2	0	"angiomotin like 2"	chr3	4	TF2DNA	0	"Homo sapiens"	0.00001
IQCJ-SCHIP1	0	"IQCJ-SCHIP1 readthrough"	chr3	1	TF2DNA	0	"Homo sapiens"	0.00001
ZNF565	0	"zinc finger protein 565"	chr19	6	TF2DNA	0	"Homo sapiens"	0.00001
ASB9	0	"ankyrin repeat and SOCS box containing 9"	chrX	3	TF2DNA	0	"Homo sapiens"	0.00001
IPCEF1	0	"interaction protein for cytohesin exchange factors 1"	chr6	6	TF2DNA	0	"Homo sapiens"	0.00001
MYL6B	0	"myosin, light chain 6B, alkali, smooth muscle and non-muscle"	chr12	6	TF2DNA	0	"Homo sapiens"	0.00001
LAPTM4B	0	"lysosomal protein transmembrane 4 beta"	chr8	2	TF2DNA	0	"Homo sapiens"	0.00001
NDUFA5	0	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5"	chr7	4	TF2DNA	0	"Homo sapiens"	0.00001
CAMK2G	0	"calcium/calmodulin-dependent protein kinase II gamma"	chr10	3	TF2DNA	0	"Homo sapiens"	0.00001
FGFR1	0	"fibroblast growth factor receptor 1"	chr8	3	TF2DNA	0	"Homo sapiens"	0.00001
LHX1	0	"LIM homeobox 1"	chr17	1	TF2DNA	0	"Homo sapiens"	0.00001
MAPK4	0	"mitogen-activated protein kinase 4"	chr18	3	TF2DNA	0	"Homo sapiens"	0.00001
CELF1	0	"CUGBP, Elav-like family member 1"	chr11	7	TF2DNA	0	"Homo sapiens"	0.00001
SSTR3	0	"somatostatin receptor 3"	chr22	3	TF2DNA	0	"Homo sapiens"	0.00001
CARD16	0	"caspase recruitment domain family, member 16"	chr11	2	TF2DNA	0	"Homo sapiens"	0.00001
PAF1	0	"PAF1 homolog, Paf1/RNA polymerase II complex component"	chr19	3	TF2DNA	0	"Homo sapiens"	0.00001
KIAA0586	0	KIAA0586	chr14	3	TF2DNA	0	"Homo sapiens"	0.00001
PGPEP1L	0	"pyroglutamyl-peptidase I-like"	chr15	1	TF2DNA	0	"Homo sapiens"	0.00001
PSMD10	0	"proteasome 26S subunit, non-ATPase 10"	chrX	1	TF2DNA	0	"Homo sapiens"	0.00001
UGT1A7	0	"UDP glucuronosyltransferase 1 family, polypeptide A7"	chr2	3	TF2DNA	0	"Homo sapiens"	0.00001
KRTAP4-2	0	"keratin associated protein 4-2"	chr17	1	TF2DNA	0	"Homo sapiens"	0.00001
GTPBP10	0	"GTP-binding protein 10 (putative)"	chr7	1	TF2DNA	0	"Homo sapiens"	0.00001
SQSTM1	0	"sequestosome 1"	chr5	10	TF2DNA	0	"Homo sapiens"	0.00001
ARHGEF9	0	"Cdc42 guanine nucleotide exchange factor (GEF) 9"	chrX	9	TF2DNA	0	"Homo sapiens"	0.00001
SEPT6	0	"septin 6"	chrX	6	TF2DNA	0	"Homo sapiens"	0.00001
PDE1C	0	"phosphodiesterase 1C, calmodulin-dependent 70kDa"	chr7	7	TF2DNA	0	"Homo sapiens"	0.00001
ATG10	0	"autophagy related 10"	chr5	1	TF2DNA	0	"Homo sapiens"	0.00001
OR2M5	0	"olfactory receptor, family 2, subfamily M, member 5"	chr1	3	TF2DNA	0	"Homo sapiens"	0.00001
ZNF491	1	"zinc finger protein 491"	chr19	2	TF2DNA	159	"Homo sapiens"	0.00001
CLIC5	0	"chloride intracellular channel 5"	chr6	2	TF2DNA	0	"Homo sapiens"	0.00001
RARB	0	"retinoic acid receptor, beta"	chr3	5	TF2DNA	0	"Homo sapiens"	0.00001
