gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
TMEM56	0	"transmembrane protein 56"	chr1	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
CTPS1	0	"CTP synthase 1"	chr1	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
KLF11	0	"Kruppel-like factor 11"	chr2	7	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLMAP	0	"sarcolemma associated protein"	chr3	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ROBO2	0	"roundabout guidance receptor 2"	chr3	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
GCNT1	0	"glucosaminyl (N-acetyl) transferase 1, core 2"	chr9	6	"Jolma 2013"	0	"Homo sapiens"	0.00001
SPATA31C2	0	"SPATA31 subfamily C, member 2"	chr9	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
SMARCD2	0	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"	chr17	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
JDP2	1	"Jun dimerization protein 2"	chr14	3	"Jolma 2013"	22	"Homo sapiens"	0.00001
ALAS2	0	"5'-aminolevulinate synthase 2"	chrX	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
NOSTRIN	0	"nitric oxide synthase trafficking"	chr2	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
C19orf48	0	"chromosome 19 open reading frame 48"	chr19	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
EXOSC9	0	"exosome component 9"	chr4	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
SLCO1C1	0	"solute carrier organic anion transporter family, member 1C1"	chr12	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
GPR160	0	"G protein-coupled receptor 160"	chr3	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
HSD11B1L	0	"hydroxysteroid (11-beta) dehydrogenase 1-like"	chr19	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
CXCL5	0	"chemokine (C-X-C motif) ligand 5"	chr4	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
IFIT1	0	"interferon-induced protein with tetratricopeptide repeats 1"	chr10	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
CAMK2A	0	"calcium/calmodulin-dependent protein kinase II alpha"	chr5	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
FAM167B	0	"family with sequence similarity 167, member B"	chr1	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
CERCAM	0	"cerebral endothelial cell adhesion molecule"	chr9	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
EIF4EBP3	0	"eukaryotic translation initiation factor 4E binding protein 3"	chr5	3	"Jolma 2013"	0	"Homo sapiens"	0.00001
MATN2	0	"matrilin 2"	chr8	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
ESM1	0	"endothelial cell-specific molecule 1"	chr5	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
TPM4	0	"tropomyosin 4"	chr19	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
PIH1D1	0	"PIH1 domain containing 1"	chr19	4	"Jolma 2013"	0	"Homo sapiens"	0.00001
OR51G2	0	"olfactory receptor, family 51, subfamily G, member 2"	chr11	1	"Jolma 2013"	0	"Homo sapiens"	0.00001
GDA	0	"guanine deaminase"	chr9	2	"Jolma 2013"	0	"Homo sapiens"	0.00001
