gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
SAYSD1	0	"SAYSVFN motif domain containing 1"	chr6	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SERPINB6	0	"serpin peptidase inhibitor, clade B (ovalbumin), member 6"	chr6	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CRYAA	0	"crystallin, alpha A"	chr21	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
STARD13	0	"StAR-related lipid transfer (START) domain containing 13"	chr13	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CASP1	0	"caspase 1, apoptosis-related cysteine peptidase"	chr11	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UBE2R2	0	"ubiquitin-conjugating enzyme E2R 2"	chr9	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM106C	0	"transmembrane protein 106C"	chr12	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DMD	0	dystrophin	chrX	8	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MID1	0	"midline 1"	chrX	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SLC35G6	0	"solute carrier family 35, member G6"	chr17	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TRDN	0	triadin	chr6	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GZMH	0	"granzyme H (cathepsin G-like 2, protein h-CCPX)"	chr14	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
UQCC3	0	"ubiquinol-cytochrome c reductase complex assembly factor 3"	chr11	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF331	0	"zinc finger protein 331"	chr19	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SSUH2	0	"ssu-2 homolog (C. elegans)"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NCKAP5	0	"NCK-associated protein 5"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MND1	0	"meiotic nuclear divisions 1"	chr4	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF705G	0	"zinc finger protein 705G"	chr8	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GGCT	0	gamma-glutamylcyclotransferase	chr7	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NR2F2	1	"nuclear receptor subfamily 2, group F, member 2"	chr15	4	"Kulakovskiy 2013"	265	"Homo sapiens"	0.00001
RALY	0	"RALY heterogeneous nuclear ribonucleoprotein"	chr20	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GLIS3	1	"GLIS family zinc finger 3"	chr9	3	"Kulakovskiy 2013"	60	"Homo sapiens"	0.00001
PDCD4	0	"programmed cell death 4 (neoplastic transformation inhibitor)"	chr10	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
WHSC1	0	"Wolf-Hirschhorn syndrome candidate 1"	chr4	9	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
C5orf64	0	"chromosome 5 open reading frame 64"	chr5	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF621	0	"zinc finger protein 621"	chr3	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM52B	0	"transmembrane protein 52B"	chr12	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM179B	0	"family with sequence similarity 179, member B"	chr14	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BTK	0	"Bruton agammaglobulinemia tyrosine kinase"	chrX	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PCDH11Y	0	"protocadherin 11 Y-linked"	chrY	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF451	0	"zinc finger protein 451"	chr6	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MEOX1	0	"mesenchyme homeobox 1"	chr17	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TAX1BP1	0	"Tax1 (human T-cell leukemia virus type I) binding protein 1"	chr7	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM71E2	0	"family with sequence similarity 71, member E2"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
RND3	0	"Rho family GTPase 3"	chr2	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FAM228B	0	"family with sequence similarity 228, member B"	chr2	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SNRNP35	0	"small nuclear ribonucleoprotein 35kDa (U11/U12)"	chr12	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COPG1	0	"coatomer protein complex, subunit gamma 1"	chr3	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZMYM3	0	"zinc finger, MYM-type 3"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
